日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4965158082.46,588951792.0
2019-04-25,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4967472760.54,589226352.0
2019-04-24,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4959602855.06,588292848.0
2019-04-23,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4948029464.66,586920048.0
2019-04-22,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4944210245.83,586467024.0
2019-04-19,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4945193984.02,586583712.0
2019-04-18,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4934835799.61,585355056.0
2019-04-17,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4950749211.41,587242656.0
2019-04-16,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4953758292.91,587599584.0
2019-04-15,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4951501481.78,587331888.0
2019-04-12,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4958445516.02,588155568.0
2019-04-11,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4952948155.58,587503488.0
2019-04-10,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4954336962.43,587668224.0
2019-04-09,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4952658820.82,587469168.0
2019-04-08,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4954163361.58,587647632.0
2019-04-04,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4943457975.46,586377792.0
2019-04-03,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4953700425.96,587592720.0
2019-04-02,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4951212147.02,587297568.0
2019-04-01,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4953411091.2,587558400.0
2019-03-29,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4963769275.61,588787056.0
2019-03-28,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4958561249.93,588169296.0
2019-03-27,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4950054807.98,587160288.0
2019-03-26,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4942937172.89,586316016.0
2019-03-25,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4948492400.28,586974960.0
2019-03-22,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4937092610.74,585622752.0
2019-03-21,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4928470434.89,584600016.0
2019-03-20,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4946524923.91,586741584.0
2019-03-19,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4943747310.22,586412112.0
2019-03-18,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4945714786.58,586645488.0
2019-03-15,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4951443614.83,587325024.0
2019-03-14,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4939870224.43,585952224.0
2019-03-13,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4947508662.1,586858272.0
2019-03-12,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4948550267.23,586981824.0
2019-03-11,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4953931893.77,587620176.0
2019-03-08,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4956420172.7,587915328.0
2019-03-07,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4947277194.29,586830816.0
2019-03-06,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4943052906.79,586329744.0
2019-03-05,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4939175821.01,585869856.0
2019-03-04,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4943342241.55,586364064.0
2019-03-01,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4935877404.74,585478608.0
2019-02-28,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4932058185.91,585025584.0
2019-02-27,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4928933370.5,584654928.0
2019-02-26,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4936166739.5,585512928.0
2019-02-25,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4949765473.22,587125968.0
2019-02-22,'200029,深深房Ｂ,0.0,0.0,0.0,0.0,5.72,None,None,0.0,0,0.0,4951790816.54,587366208.0
