日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600548,深高速,10.18,10.35,10.1,10.26,10.33,-0.15,-1.4521,0.3494,5007907,51273377.0,22200241918.7,14590691918.7
2019-04-25,'600548,深高速,10.33,10.59,10.33,10.45,10.45,-0.12,-1.1483,0.2879,4126900,43109255.0,22527357467.6,14805682467.6
2019-04-24,'600548,深高速,10.45,10.49,10.34,10.47,10.43,0.02,0.1918,0.2322,3328420,34750734.0,22789049906.7,14977674906.7
2019-04-23,'600548,深高速,10.43,10.64,10.3,10.64,10.64,-0.21,-1.9737,0.3844,5509810,57512087.0,22745434500.2,14949009500.2
2019-04-22,'600548,深高速,10.64,10.73,10.6,10.69,10.69,-0.05,-0.4677,0.2368,3393800,36205156.0,23203396268.6,15249996268.6
2019-04-19,'600548,深高速,10.69,10.76,10.61,10.75,10.78,-0.09,-0.8349,0.2583,3701766,39519487.0,23312434784.9,15321659784.9
2019-04-18,'600548,深高速,10.78,10.86,10.64,10.77,10.75,0.03,0.2791,0.2531,3627082,38909586.0,23508704114.3,15450654114.3
2019-04-17,'600548,深高速,10.75,10.85,10.72,10.85,10.85,-0.1,-0.9217,0.283,4056400,43649865.0,23443281004.5,15407656004.5
2019-04-16,'600548,深高速,10.85,10.85,10.56,10.81,10.84,0.01,0.0923,0.4022,5764450,61664365.0,23661358037.1,15550983037.1
2019-04-15,'600548,深高速,10.84,10.92,10.74,10.74,10.66,0.18,1.6886,0.5391,7726697,83880533.0,23639550333.8,15536650333.8
2019-04-12,'600548,深高速,10.66,10.72,10.55,10.59,10.55,0.11,1.0427,0.2406,3449020,36694160.0,23247011675.2,15278661675.2
2019-04-11,'600548,深高速,10.55,10.84,10.55,10.78,10.79,-0.24,-2.2243,0.3843,5507768,58784541.0,23007126939.3,15121001939.3
2019-04-10,'600548,深高速,10.79,10.98,10.75,10.93,10.93,-0.14,-1.2809,0.4046,5799478,62714406.0,23530511817.5,15464986817.5
2019-04-09,'600548,深高速,10.93,11.05,10.83,11.02,11.07,-0.14,-1.2647,0.4098,5874171,64309128.0,23835819663.2,15665644663.2
2019-04-08,'600548,深高速,11.07,11.2,10.77,10.89,10.87,0.2,1.8399,0.8176,11718981,128550152.0,24141127508.8,15866302508.8
2019-04-04,'600548,深高速,10.87,10.87,10.63,10.74,10.71,0.16,1.4939,0.605,8671919,93307054.0,23704973443.6,15579648443.6
2019-04-03,'600548,深高速,10.71,10.81,10.58,10.65,10.65,0.06,0.5634,0.4215,6041723,64731438.0,23356050191.5,15350325191.5
2019-04-02,'600548,深高速,10.65,10.98,10.6,10.98,10.88,-0.23,-2.114,0.5273,7557389,81033223.0,23225203971.9,15264328971.9
2019-04-01,'600548,深高速,10.88,10.95,10.58,10.61,10.55,0.33,3.128,0.8381,12012626,129452367.0,23726781146.9,15593981146.9
2019-03-29,'600548,深高速,10.55,10.66,10.3,10.52,10.51,0.04,0.3806,0.5473,7843597,82531767.0,23007126939.3,15121001939.3
2019-03-28,'600548,深高速,10.51,10.77,10.46,10.65,10.69,-0.18,-1.6838,0.4093,5866694,62240740.0,22919896126.3,15063671126.3
2019-03-27,'600548,深高速,10.69,10.85,10.53,10.8,10.78,-0.09,-0.8349,0.6365,9122301,97134221.0,23312434784.9,15321659784.9
2019-03-26,'600548,深高速,10.78,10.81,10.46,10.54,10.6,0.18,1.6981,0.8653,12401953,131710690.0,23508704114.3,15450654114.3
2019-03-25,'600548,深高速,10.6,11.0,10.0,10.08,10.05,0.55,5.4726,1.7529,25124356,264126779.0,23116165455.6,15192665455.6
2019-03-22,'600548,深高速,10.05,10.09,9.65,9.67,9.71,0.34,3.5015,0.6992,10021726,99081472.0,21916741776.3,14404366776.3
2019-03-21,'600548,深高速,9.71,9.75,9.53,9.53,9.53,0.18,1.8888,0.3715,5325009,51261696.0,21175279865.5,13917054865.5
2019-03-20,'600548,深高速,9.53,9.67,9.47,9.6,9.6,-0.07,-0.7292,0.3097,4439283,42394277.0,20782741206.8,13659066206.8
2019-03-19,'600548,深高速,9.6,9.72,9.56,9.61,9.67,-0.07,-0.7239,0.3251,4659572,44812119.0,20935395129.6,13759395129.6
2019-03-18,'600548,深高速,9.67,9.82,9.5,9.55,9.48,0.19,2.0042,0.6006,8608493,83109436.0,21088049052.4,13859724052.4
2019-03-15,'600548,深高速,9.48,9.56,9.39,9.4,9.43,0.05,0.5302,0.3421,4903315,46415816.0,20673702690.5,13587402690.5
2019-03-14,'600548,深高速,9.43,9.51,9.36,9.48,9.45,-0.02,-0.2116,0.2867,4108694,38655690.0,20564664174.2,13515739174.2
2019-03-13,'600548,深高速,9.45,9.65,9.4,9.49,9.49,-0.04,-0.4215,0.4559,6534947,62255147.0,20608279580.7,13544404580.7
2019-03-12,'600548,深高速,9.49,9.59,9.4,9.45,9.48,0.01,0.1055,0.4138,5931442,56270695.0,20695510393.7,13601735393.7
2019-03-11,'600548,深高速,9.48,9.48,9.32,9.32,9.43,0.05,0.5302,0.4747,6803975,64086303.0,20673702690.5,13587402690.5
2019-03-08,'600548,深高速,9.43,9.67,9.43,9.63,9.78,-0.35,-3.5787,0.6565,9409663,90061843.0,20564664174.2,13515739174.2
2019-03-07,'600548,深高速,9.78,9.78,9.42,9.42,9.49,0.29,3.0558,0.7097,10171809,98330215.0,21327933788.3,14017383788.3
2019-03-06,'600548,深高速,9.49,9.49,9.37,9.44,9.45,0.04,0.4233,0.472,6765409,63865320.0,20695510393.7,13601735393.7
2019-03-05,'600548,深高速,9.45,9.48,9.37,9.46,9.47,-0.02,-0.2112,0.4183,5995444,56480631.0,20608279580.7,13544404580.7
2019-03-04,'600548,深高速,9.47,9.55,9.39,9.48,9.42,0.05,0.5308,0.5972,8559620,80961541.0,20651894987.2,13573069987.2
