日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600652,游久游戏,3.86,4.1,3.82,4.04,4.03,-0.17,-4.2184,2.4177,20131977,80319975.0,3214235502.28,3214235502.28
2019-04-25,'600652,游久游戏,4.03,4.25,4.03,4.25,4.27,-0.24,-5.6206,2.6137,21764682,90114651.0,3355795096.94,3355795096.94
2019-04-24,'600652,游久游戏,4.27,4.35,4.09,4.33,4.37,-0.1,-2.2883,2.8509,23739810,100380165.0,3555643936.46,3555643936.46
2019-04-23,'600652,游久游戏,4.37,4.54,4.19,4.53,4.66,-0.29,-6.2232,3.9099,32557960,141470676.0,3638914286.26,3638914286.26
2019-04-22,'600652,游久游戏,4.66,4.85,4.56,4.64,4.55,0.11,2.4176,6.5607,54631578,256598015.0,3880398300.68,3880398300.68
2019-04-19,'600652,游久游戏,4.55,4.6,4.25,4.3,4.34,0.21,4.8387,3.7434,31171805,137121424.0,3788800915.9,3788800915.9
2019-04-18,'600652,游久游戏,4.34,4.44,4.33,4.44,4.45,-0.11,-2.4719,2.4043,20020902,87509190.0,3613933181.32,3613933181.32
2019-04-17,'600652,游久游戏,4.45,4.47,4.33,4.34,4.48,-0.03,-0.6696,2.6797,22313999,98707816.0,3705530566.1,3705530566.1
2019-04-16,'600652,游久游戏,4.48,4.48,4.21,4.32,4.4,0.08,1.8182,2.8774,23959807,104251998.0,3730511671.04,3730511671.04
2019-04-15,'600652,游久游戏,4.4,4.57,4.39,4.47,4.45,-0.05,-1.1236,2.4668,20540983,92065564.0,3663895391.2,3663895391.2
2019-04-12,'600652,游久游戏,4.45,4.66,4.42,4.64,4.66,-0.21,-4.5064,3.7418,31158160,139731640.0,3705530566.1,3705530566.1
2019-04-11,'600652,游久游戏,4.66,4.8,4.55,4.55,4.55,0.11,2.4176,5.1765,43104575,202195595.0,3880398300.68,3880398300.68
2019-04-10,'600652,游久游戏,4.55,4.69,4.48,4.67,4.68,-0.13,-2.7778,3.8156,31772365,145175203.0,3788800915.9,3788800915.9
2019-04-09,'600652,游久游戏,4.68,4.74,4.62,4.7,4.76,-0.08,-1.6807,4.5864,38191177,178408839.0,3897052370.64,3897052370.64
2019-04-08,'600652,游久游戏,4.76,4.98,4.61,4.81,5.04,-0.28,-5.5556,8.2024,68301551,325254135.0,3963668650.48,3963668650.48
2019-04-04,'600652,游久游戏,5.04,5.4,4.92,5.15,4.92,0.12,2.439,13.0766,108889462,558035947.0,4196825629.92,4196825629.92
2019-04-03,'600652,游久游戏,4.92,4.92,4.47,4.48,4.47,0.45,10.0671,4.9401,41136388,196992767.0,4096901210.16,4096901210.16
2019-04-02,'600652,游久游戏,4.47,4.62,4.44,4.44,4.42,0.05,1.1312,4.4239,36838294,166356045.0,3722184636.06,3722184636.06
