日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600731,湖南海利,7.46,7.66,7.24,7.58,7.44,0.02,0.2688,4.2064,13740220,101599616.0,2649961327.08,2436832252.82
2019-04-25,'600731,湖南海利,7.44,7.56,7.24,7.27,7.32,0.12,1.6393,4.7267,15439754,114625845.0,2642856873.12,2430299190.48
2019-04-24,'600731,湖南海利,7.32,7.42,7.17,7.18,7.3,0.02,0.274,2.5466,8318496,60568361.0,2600230149.36,2391100816.44
2019-04-23,'600731,湖南海利,7.3,7.48,6.78,6.93,6.98,0.32,4.5845,5.8576,19134017,137305451.0,2593125695.4,2384567754.1
2019-04-22,'600731,湖南海利,6.98,7.11,6.85,7.05,7.0,-0.02,-0.2857,2.0686,6757234,47056646.0,2479454432.04,2280038756.66
2019-04-19,'600731,湖南海利,7.0,7.14,6.84,7.0,7.0,0.0,0.0,2.9159,9524853,66252415.0,2486558886.0,2286571819.0
2019-04-18,'600731,湖南海利,7.0,7.76,7.0,7.49,7.21,-0.21,-2.9126,5.2549,17165409,125675508.0,2486558886.0,2286571819.0
2019-04-17,'600731,湖南海利,7.21,7.27,6.9,7.08,7.06,0.15,2.1246,5.6881,18580250,131480492.0,2561155652.58,2355168973.57
2019-04-16,'600731,湖南海利,7.06,7.06,6.4,6.46,6.42,0.64,9.9688,7.1903,23487187,162143054.0,2507872247.88,2306171006.02
2019-04-15,'600731,湖南海利,6.42,6.78,6.41,6.6,6.37,0.05,0.7849,3.1592,10319629,68151081.0,2280529721.16,2097113011.14
2019-04-12,'600731,湖南海利,6.37,6.42,6.27,6.33,6.32,0.05,0.7911,1.869,6105101,38792097.0,2262768586.26,2080780355.29
2019-04-11,'600731,湖南海利,6.32,6.7,6.28,6.7,6.55,-0.23,-3.5115,2.2164,7239881,46328252.0,2245007451.36,2064447699.44
2019-04-10,'600731,湖南海利,6.55,6.74,6.24,6.3,6.45,0.1,1.5504,4.2939,14026295,91276933.0,2326708671.9,2139577916.35
2019-04-09,'600731,湖南海利,6.45,6.54,6.24,6.3,6.66,-0.21,-3.1532,7.0547,23044253,146581534.0,2291186402.1,2106912604.65
2019-04-08,'600731,湖南海利,6.66,6.94,6.46,6.93,6.32,0.34,5.3797,9.6692,31584696,213915900.0,2365783168.68,2175509759.22
2019-04-04,'600731,湖南海利,6.32,6.35,6.12,6.14,6.14,0.18,2.9316,3.4046,11121201,69378212.0,2245007451.36,2064447699.44
2019-04-03,'600731,湖南海利,6.14,6.16,5.9,5.95,5.98,0.16,2.6756,2.3307,7613163,45963146.0,2181067365.72,2005650138.38
2019-04-02,'600731,湖南海利,5.98,6.03,5.86,5.92,5.9,0.08,1.3559,2.3056,7531202,44810811.0,2124231734.04,1953385639.66
2019-04-01,'600731,湖南海利,5.9,5.95,5.75,5.8,5.76,0.14,2.4306,3.0043,9813541,57491383.0,2095813918.2,1927253390.3
2019-03-29,'600731,湖南海利,5.76,5.77,5.51,5.62,5.63,0.13,2.3091,1.6522,5396818,30528414.0,2046082740.48,1881521953.92
2019-03-28,'600731,湖南海利,5.63,5.87,5.61,5.69,5.74,-0.11,-1.9164,1.4226,4647106,26682780.0,1999903789.74,1839057048.71
2019-03-27,'600731,湖南海利,5.74,5.78,5.5,5.74,5.63,0.11,1.9538,1.8752,6125389,34820172.0,2038978286.52,1874988891.58
2019-03-26,'600731,湖南海利,5.63,5.97,5.62,5.76,5.76,-0.13,-2.2569,2.2581,7376135,42944252.0,1999903789.74,1839057048.71
2019-03-25,'600731,湖南海利,5.76,5.84,5.62,5.67,5.77,-0.01,-0.1733,1.2081,3946421,22743363.0,2046082740.48,1881521953.92
2019-03-22,'600731,湖南海利,5.77,5.79,5.62,5.71,5.7,0.07,1.2281,1.3767,4497013,25661616.0,2049634967.46,1884788485.09
2019-03-21,'600731,湖南海利,5.7,5.76,5.52,5.52,5.57,0.13,2.3339,1.9405,6338731,36088905.0,2024769378.6,1861922766.9
2019-03-20,'600731,湖南海利,5.57,5.6,5.45,5.54,5.55,0.02,0.3604,1.6809,5490796,30384282.0,1978590427.86,1819457861.69
2019-03-19,'600731,湖南海利,5.55,5.57,5.42,5.46,5.46,0.09,1.6484,1.5263,4985863,27466152.0,1971485973.9,1812924799.35
2019-03-18,'600731,湖南海利,5.46,5.49,5.32,5.34,5.32,0.14,2.6316,1.2059,3938969,21336348.0,1939515931.08,1783526018.82
2019-03-15,'600731,湖南海利,5.32,5.39,5.22,5.23,5.18,0.14,2.7027,1.2645,4130384,21903205.0,1889784753.36,1737794582.44
2019-03-14,'600731,湖南海利,5.18,5.45,5.11,5.36,5.41,-0.23,-4.2514,1.4469,4726254,24715223.0,1840053575.64,1692063146.06
2019-03-13,'600731,湖南海利,5.41,5.59,5.38,5.49,5.44,-0.03,-0.5515,1.8321,5984774,32851106.0,1921754796.18,1767193362.97
2019-03-12,'600731,湖南海利,5.44,5.51,5.36,5.43,5.41,0.03,0.5545,1.8261,5965006,32440449.0,1932411477.12,1776992956.48
2019-03-11,'600731,湖南海利,5.41,5.42,5.12,5.13,5.1,0.31,6.0784,1.9982,6527217,34579400.0,1921754796.18,1767193362.97
2019-03-08,'600731,湖南海利,5.1,5.38,5.1,5.37,5.43,-0.33,-6.0773,2.3739,7754364,40760879.0,1811635759.8,1665930896.7
2019-03-07,'600731,湖南海利,5.43,5.44,5.3,5.33,5.32,0.11,2.0677,1.8897,6172927,33149122.0,1928859250.14,1773726425.31
2019-03-06,'600731,湖南海利,5.32,5.35,5.24,5.28,5.25,0.07,1.3333,1.7653,5766438,30520393.0,1889784753.36,1737794582.44
2019-03-05,'600731,湖南海利,5.25,5.26,5.18,5.23,5.23,0.02,0.3824,1.4917,4872597,25422939.0,1864919164.5,1714928864.25
2019-03-04,'600731,湖南海利,5.23,5.23,5.08,5.08,5.08,0.15,2.9528,1.9413,6341291,32808683.0,1857814710.54,1708395801.91
2019-03-01,'600731,湖南海利,5.08,5.1,5.01,5.09,5.06,0.02,0.3953,1.0182,3326100,16842823.0,1804531305.84,1659397834.36
2019-02-28,'600731,湖南海利,5.06,5.1,5.02,5.07,5.07,-0.01,-0.1972,1.1133,3636761,18406119.0,1797426851.88,1652864772.02
2019-02-27,'600731,湖南海利,5.07,5.16,4.98,5.05,5.07,0.0,0.0,1.4832,4845021,24605761.0,1800979078.86,1656131303.19
2019-02-26,'600731,湖南海利,5.07,5.24,5.03,5.08,5.08,-0.01,-0.1969,2.3061,7532999,38663672.0,1800979078.86,1656131303.19
2019-02-25,'600731,湖南海利,5.08,5.08,4.84,4.87,4.85,0.23,4.7423,1.9843,6481845,32160205.0,1804531305.84,1659397834.36
2019-02-22,'600731,湖南海利,4.85,4.86,4.76,4.79,4.81,0.04,0.8316,1.1395,3722207,17918245.0,1722830085.3,1584267617.45
