日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600929,湖南盐业,8.54,8.77,8.52,8.77,8.78,-0.24,-2.7335,2.3643,7976007,68732252.0,7837594803.92,2880928298.36
2019-04-25,'600929,湖南盐业,8.78,9.26,8.77,9.22,9.28,-0.5,-5.3879,3.1974,10786174,97271387.0,8057855079.44,2961891154.52
2019-04-24,'600929,湖南盐业,9.28,9.31,9.16,9.23,9.21,0.07,0.76,1.6698,5632983,52035103.0,8516730653.44,3130563771.52
2019-04-23,'600929,湖南盐业,9.21,9.43,9.14,9.43,9.42,-0.21,-2.2293,2.3874,8053800,74655941.0,8452488073.08,3106949605.14
2019-04-22,'600929,湖南盐业,9.42,9.7,9.4,9.66,9.62,-0.2,-2.079,3.1031,10468134,99730143.0,8645215814.16,3177792104.28
2019-04-19,'600929,湖南盐业,9.62,9.64,9.37,9.53,9.5,0.12,1.2632,3.351,11304516,107447717.0,8828766043.76,3245261151.08
2019-04-18,'600929,湖南盐业,9.5,9.69,9.5,9.6,9.66,-0.16,-1.6563,2.974,10032759,96021464.0,8718635906.0,3204779723.0
2019-04-17,'600929,湖南盐业,9.66,9.85,9.46,9.5,9.48,0.18,1.8987,5.7972,19556464,188483906.0,8865476089.68,3258754960.44
2019-04-16,'600929,湖南盐业,9.48,9.49,9.11,9.27,9.36,0.12,1.2821,3.4661,11692808,109060936.0,8700280883.04,3198032818.32
2019-04-15,'600929,湖南盐业,9.36,9.65,9.31,9.5,9.46,-0.1,-1.0571,2.7737,9356878,89239467.0,8590150745.28,3157551390.24
2019-04-12,'600929,湖南盐业,9.46,9.51,9.36,9.38,9.38,0.08,0.8529,2.085,7033646,66283105.0,8681925860.08,3191285913.64
2019-04-11,'600929,湖南盐业,9.38,9.61,9.33,9.57,9.55,-0.17,-1.7801,2.7788,9374187,88838596.0,8608505768.24,3164298294.92
2019-04-10,'600929,湖南盐业,9.55,9.64,9.41,9.59,9.62,-0.07,-0.7277,3.039,10252083,97591387.0,8764523463.4,3221646984.7
2019-04-09,'600929,湖南盐业,9.62,9.65,9.48,9.61,9.68,-0.06,-0.6198,3.0935,10435700,99907466.0,8828766043.76,3245261151.08
2019-04-08,'600929,湖南盐业,9.68,9.96,9.51,9.9,9.81,-0.13,-1.3252,4.1374,13957217,136351742.0,8883831112.64,3265501865.12
2019-04-04,'600929,湖南盐业,9.81,9.98,9.77,9.94,9.9,-0.09,-0.9091,3.4212,11541092,113847467.0,9003138761.88,3309356745.54
2019-04-03,'600929,湖南盐业,9.9,9.95,9.72,9.83,9.98,-0.08,-0.8016,4.1244,13913378,137237308.0,9085736365.2,3339717816.6
2019-04-02,'600929,湖南盐业,9.98,10.3,9.56,9.63,9.63,0.35,3.6345,7.7722,26219274,259163729.0,9159156457.04,3366705435.32
2019-04-01,'600929,湖南盐业,9.63,9.68,9.39,9.45,9.38,0.25,2.6652,5.2358,17662796,168924060.0,8837943555.24,3248634603.42
2019-03-29,'600929,湖南盐业,9.38,9.39,9.12,9.12,9.15,0.23,2.5137,3.3994,11467680,106521143.0,8608505768.24,3164298294.92
2019-03-28,'600929,湖南盐业,9.15,9.32,9.15,9.26,9.34,-0.19,-2.0343,2.5283,8529200,78560174.0,8397423004.2,3086708891.1
2019-03-27,'600929,湖南盐业,9.34,9.4,9.1,9.28,9.38,-0.04,-0.4264,4.7278,15949067,147033095.0,8571795722.32,3150804485.56
2019-03-26,'600929,湖南盐业,9.38,9.83,9.09,9.8,9.7,-0.32,-3.299,8.7502,29518378,274980465.0,8608505768.24,3164298294.92
2019-03-25,'600929,湖南盐业,9.7,9.95,9.7,9.8,10.06,-0.36,-3.5785,6.8704,10305629,101057292.0,8902186135.6,1455000000.0
2019-03-22,'600929,湖南盐业,10.06,10.25,9.93,10.25,10.2,-0.14,-1.3725,6.8202,10230313,102791531.0,9232576548.88,1509000000.0
2019-03-21,'600929,湖南盐业,10.2,10.26,10.11,10.15,10.16,0.04,0.3937,7.5107,11266000,114865748.0,9361061709.6,1530000000.0
2019-03-20,'600929,湖南盐业,10.16,10.37,10.02,10.37,10.39,-0.23,-2.2137,6.6078,9911650,100609074.0,9324351663.68,1524000000.0
2019-03-19,'600929,湖南盐业,10.39,10.51,10.27,10.5,10.59,-0.2,-1.8886,7.5547,11332034,117692035.0,9535434427.72,1558500000.0
2019-03-18,'600929,湖南盐业,10.59,10.61,9.96,10.07,10.09,0.5,4.9554,11.534,17301036,180117283.0,9718984657.32,1588500000.0
2019-03-15,'600929,湖南盐业,10.09,10.15,9.89,10.14,10.0,0.09,0.9,7.0654,10598101,106312226.0,9260109083.32,1513500000.0
2019-03-14,'600929,湖南盐业,10.0,10.61,9.78,10.42,10.4,-0.4,-3.8462,10.2713,15406974,156898559.0,9177511480.0,1500000000.0
2019-03-13,'600929,湖南盐业,10.4,11.05,10.26,11.03,11.03,-0.63,-5.7117,14.5744,21861660,231563830.0,9544611939.2,1560000000.0
2019-03-12,'600929,湖南盐业,11.03,11.24,10.91,11.2,11.19,-0.16,-1.4298,16.7609,25141336,277115209.0,10122795162.4,1654500000.0
2019-03-11,'600929,湖南盐业,11.19,11.22,10.62,10.63,10.96,0.23,2.0985,19.1045,28656695,313762590.0,10269635346.1,1678500000.0
2019-03-08,'600929,湖南盐业,10.96,11.5,10.25,10.69,10.69,0.27,2.5257,35.5989,53398277,590498786.0,10058552582.1,1644000000.0
2019-03-07,'600929,湖南盐业,10.69,10.69,9.66,9.72,9.72,0.97,9.9794,22.2203,33330400,343680174.0,9810759772.12,1603500000.0
2019-03-06,'600929,湖南盐业,9.72,9.77,9.45,9.6,9.59,0.13,1.3556,17.0807,25621095,247044383.0,8920541158.56,1458000000.0
2019-03-05,'600929,湖南盐业,9.59,9.6,9.32,9.4,9.55,0.04,0.4188,11.5404,17310671,163415170.0,8801233509.32,1438500000.0
2019-03-04,'600929,湖南盐业,9.55,9.78,9.5,9.75,9.58,-0.03,-0.3132,16.1494,24224117,233373237.0,8764523463.4,1432500000.0
