日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300191,潜能恒信,18.58,19.2,18.41,19.13,19.2,-0.62,-3.2292,1.1347,3631090,67960524.1,5945600000.0,5945600000.0
2019-04-25,'300191,潜能恒信,19.2,20.65,19.08,20.39,19.83,-0.63,-3.177,1.5976,5112244,101725169.82,6144000000.0,6144000000.0
2019-04-24,'300191,潜能恒信,19.83,19.95,19.2,19.36,19.75,0.08,0.4051,1.1984,3834833,75303541.53,6345600000.0,6345600000.0
2019-04-23,'300191,潜能恒信,19.75,21.09,19.7,20.76,20.34,-0.59,-2.9007,2.1772,6967080,141627334.18,6320000000.0,6320000000.0
2019-04-22,'300191,潜能恒信,20.34,21.48,19.7,19.77,19.6,0.74,3.7755,2.6473,8471241,173688108.86,6508800000.0,6508800000.0
2019-04-19,'300191,潜能恒信,19.6,19.97,19.4,19.4,19.74,-0.14,-0.7092,1.2416,3973138,77855569.89,6272000000.0,6272000000.0
2019-04-18,'300191,潜能恒信,19.74,20.77,19.74,20.02,20.42,-0.68,-3.3301,2.2654,7249301,146327203.81,6316800000.0,6316800000.0
2019-04-17,'300191,潜能恒信,20.42,21.0,20.22,20.22,20.82,-0.4,-1.9212,3.2463,10388242,213296163.32,6534400000.0,6534400000.0
2019-04-16,'300191,潜能恒信,20.82,21.58,20.38,21.58,19.62,1.2,6.1162,6.1452,19664564,415677620.4,6662400000.0,6662400000.0
2019-04-15,'300191,潜能恒信,19.62,19.62,19.62,19.62,17.84,1.78,9.9776,0.6466,2069013,40594035.06,6278400000.0,6278400000.0
2019-04-12,'300191,潜能恒信,17.84,17.87,17.54,17.75,17.66,0.18,1.0193,0.4902,1568663,27853270.32,5708800000.0,5708800000.0
2019-04-11,'300191,潜能恒信,17.66,18.18,17.6,18.04,18.03,-0.37,-2.0521,0.7148,2287249,40935512.55,5651200000.0,5651200000.0
2019-04-10,'300191,潜能恒信,18.03,18.25,17.93,18.21,18.4,-0.37,-2.0109,1.1564,3700502,66849891.88,5769600000.0,5769600000.0
2019-04-09,'300191,潜能恒信,18.4,19.01,18.28,18.68,18.5,-0.1,-0.5405,1.111,3555149,66181402.36,5888000000.0,5888000000.0
