日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300566,激智科技,18.23,18.77,16.89,17.0,17.91,0.32,1.7867,5.2561,6057490,109270965.49,2829305115.0,2100933832.57
2019-04-25,'300566,激智科技,17.91,18.17,17.22,17.51,17.65,0.26,1.4731,4.3689,5035035,89617500.3,2779640955.0,2064055125.69
2019-04-24,'300566,激智科技,17.65,17.82,16.5,16.94,17.03,0.62,3.6406,2.953,3403158,58881782.6,2739288825.0,2034091176.35
2019-04-23,'300566,激智科技,17.03,18.26,16.9,18.0,17.92,-0.89,-4.9665,2.8973,3339009,58312754.63,2643064515.0,1962638681.77
2019-04-22,'300566,激智科技,17.92,18.29,17.61,17.73,17.73,0.19,1.0716,3.1841,3669560,66051732.75,2781192960.0,2065207585.28
2019-04-19,'300566,激智科技,17.73,17.98,17.4,17.6,17.85,-0.12,-0.6723,2.0654,2380319,42067998.22,2751704865.0,2043310853.07
2019-04-18,'300566,激智科技,17.85,18.28,17.3,17.7,17.98,-0.13,-0.723,3.4536,3980093,71259510.97,2770328925.0,2057140368.15
2019-04-17,'300566,激智科技,17.98,18.58,17.31,17.51,17.52,0.46,2.6256,4.6362,5343016,96336990.04,2790504990.0,2072122342.82
2019-04-16,'300566,激智科技,17.52,17.63,16.33,16.98,17.13,0.39,2.2767,2.2343,2574990,43943528.3,2719112760.0,2019109201.68
2019-04-15,'300566,激智科技,17.13,17.88,17.08,17.51,17.51,-0.38,-2.1702,2.3634,2723678,47993878.62,2658584565.0,1974163277.67
2019-04-12,'300566,激智科技,17.51,17.66,16.68,17.12,17.02,0.49,2.879,2.5049,2886831,49536113.92,2717560755.0,2017956742.09
2019-04-11,'300566,激智科技,17.02,17.59,17.0,17.51,17.51,-0.49,-2.7984,2.074,2390235,41145702.15,2641512510.0,1961486222.18
2019-04-10,'300566,激智科技,17.51,17.67,17.3,17.4,17.85,-0.34,-1.9048,1.9542,2252164,39377222.43,2717560755.0,2017956742.09
2019-04-09,'300566,激智科技,17.85,17.89,17.22,17.51,17.45,0.4,2.2923,2.2943,2644075,46561834.85,2770328925.0,2057140368.15
2019-04-08,'300566,激智科技,17.45,17.78,17.2,17.75,17.95,-0.5,-2.7855,3.7674,4341833,75930321.53,2708248725.0,2011041984.55
2019-04-04,'300566,激智科技,17.95,18.47,17.92,18.28,18.42,-0.47,-2.5516,3.8707,4460880,81063692.66,2785848975.0,2068664964.05
2019-04-03,'300566,激智科技,18.42,18.54,18.04,18.48,18.5,-0.08,-0.4324,3.8106,4391524,79999757.04,2858793210.0,2122830564.78
2019-04-02,'300566,激智科技,18.5,19.0,18.0,18.12,18.38,0.12,0.6529,7.8219,9014434,167059586.11,2871209250.0,2132050241.5
