日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600498,烽火通信,30.3,31.29,30.26,30.48,30.82,-0.52,-1.6872,2.2278,24558766,752167086.0,35411629210.2,33401950137.6
2019-04-25,'600498,烽火通信,30.82,32.37,30.81,32.23,32.44,-1.62,-4.9938,2.7972,30835714,973365780.0,36019353539.9,33975184925.4
2019-04-24,'600498,烽火通信,32.44,32.64,31.8,32.0,31.95,0.49,1.5336,2.2282,24563092,792710879.0,37912648567.0,35761031764.5
2019-04-23,'600498,烽火通信,31.95,33.1,31.82,33.1,33.08,-1.13,-3.416,2.9366,32372381,1047782370.0,37339985256.3,35220868214.4
2019-04-22,'600498,烽火通信,33.08,34.0,32.47,32.74,32.47,0.61,1.8787,6.2305,68683750,2295396668.0,38660616972.7,36466551503.4
2019-04-19,'600498,烽火通信,32.47,32.7,31.62,31.97,31.98,0.49,1.5322,3.5709,39364757,1269608296.0,37947709586.0,35794103002.2
2019-04-18,'600498,烽火通信,31.98,32.59,31.72,32.17,32.17,-0.19,-0.5906,2.9053,32027635,1032018891.0,37375046275.3,35253939452.2
2019-04-17,'600498,烽火通信,32.17,32.65,31.88,32.5,32.48,-0.31,-0.9544,3.4157,37653521,1213174505.0,37597099395.8,35463390624.6
2019-04-16,'600498,烽火通信,32.48,32.58,30.31,30.91,30.91,1.57,5.0793,4.6484,51243201,1633911870.0,37959396592.3,35805126748.2
2019-04-15,'600498,烽火通信,30.91,31.99,30.9,31.22,30.81,0.1,0.3246,2.1918,24161505,761516425.0,36124536596.9,34074398638.7
2019-04-12,'600498,烽火通信,30.81,31.29,30.55,31.01,31.11,-0.3,-0.9643,1.4506,15990716,493211931.0,36007666533.5,33964161179.5
2019-04-11,'600498,烽火通信,31.11,32.63,31.09,32.49,32.03,-0.92,-2.8723,2.8116,30994846,989212411.0,36358276723.7,34294873557.1
2019-04-10,'600498,烽火通信,32.03,32.3,31.12,31.58,31.69,0.34,1.0729,2.5724,28357643,899900250.0,37433481307.0,35309058181.8
