ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'000729,Ñà¾©Æ¡¾Æ,7.06,7.2,7.03,7.13,7.12,-0.06,-0.8427,0.6997,17560122,124768673.57,19898887747.5,17717950149.0
2019-04-25,'000729,Ñà¾©Æ¡¾Æ,7.12,7.42,7.09,7.35,7.38,-0.26,-3.523,0.9905,24858597,180580478.26,20068000107.9,17868527629.0
2019-04-24,'000729,Ñà¾©Æ¡¾Æ,7.38,7.48,7.26,7.38,7.38,0.0,0.0,0.6661,16717141,122780994.06,20800820336.6,18521030042.5
2019-04-23,'000729,Ñà¾©Æ¡¾Æ,7.38,7.56,7.26,7.56,7.62,-0.24,-3.1496,1.0162,25503474,188847388.32,20800820336.6,18521030042.5
2019-04-22,'000729,Ñà¾©Æ¡¾Æ,7.62,7.72,7.52,7.55,7.58,0.04,0.5277,1.0731,26931185,204591305.78,21477269778.4,19123339962.5
2019-04-19,'000729,Ñà¾©Æ¡¾Æ,7.58,7.63,7.46,7.56,7.64,-0.06,-0.7853,1.0868,27275081,205445976.6,21364528204.8,19022954975.9
2019-04-18,'000729,Ñà¾©Æ¡¾Æ,7.64,7.78,7.34,7.42,7.42,0.22,2.965,2.1635,54296526,412817211.35,21533640565.2,19173532455.9
2019-04-17,'000729,Ñà¾©Æ¡¾Æ,7.42,7.46,7.3,7.42,7.42,0.0,0.0,1.1434,28696193,211757864.09,20913561910.2,18621415029.1
2019-04-16,'000729,Ñà¾©Æ¡¾Æ,7.42,7.42,7.2,7.21,7.25,0.17,2.3448,1.3405,33640906,247099915.32,20913561910.2,18621415029.1
2019-04-15,'000729,Ñà¾©Æ¡¾Æ,7.25,7.59,7.24,7.5,7.38,-0.13,-1.7615,1.6908,42431791,315175914.72,20434410222.2,18194778835.8
2019-04-12,'000729,Ñà¾©Æ¡¾Æ,7.38,7.62,7.38,7.5,7.43,-0.05,-0.6729,1.4847,37261208,278261437.55,20800820336.6,18521030042.5
2019-04-11,'000729,Ñà¾©Æ¡¾Æ,7.43,7.81,7.4,7.79,7.79,-0.36,-4.6213,2.4779,62185193,471412167.56,20941747303.6,18646511275.8
2019-04-10,'000729,Ñà¾©Æ¡¾Æ,7.79,8.0,7.72,7.81,7.89,-0.1,-1.2674,2.4895,62477480,490476728.29,21956421466.4,19549976155.9
2019-04-09,'000729,Ñà¾©Æ¡¾Æ,7.89,8.04,7.81,7.96,8.15,-0.26,-3.1902,2.4917,62532179,495674828.17,22238275400.5,19800938622.6
2019-04-08,'000729,Ñà¾©Æ¡¾Æ,8.15,8.44,7.82,8.3,8.0,0.15,1.875,4.4214,110959718,893430319.6,22971095629.2,20453441036.0
2019-04-04,'000729,Ñà¾©Æ¡¾Æ,8.0,8.0,7.12,7.38,7.27,0.73,10.0413,5.9559,149471465,1146783529.54,22548314728.0,20076997336.0
2019-04-03,'000729,Ñà¾©Æ¡¾Æ,7.27,7.27,6.62,6.62,6.61,0.66,9.9849,2.2125,55524920,394425763.34,20490781009.1,18244971329.1
2019-04-02,'000729,Ñà¾©Æ¡¾Æ,6.61,6.78,6.6,6.64,6.63,-0.02,-0.3017,2.258,56667632,378770930.7,18630545044.0,16588619048.9
2019-04-01,'000729,Ñà¾©Æ¡¾Æ,6.63,6.66,6.42,6.43,6.41,0.22,3.4321,2.4182,60686573,399144641.96,18686915830.8,16638811542.2
2019-03-29,'000729,Ñà¾©Æ¡¾Æ,6.41,6.44,6.23,6.28,6.25,0.16,2.56,1.4581,36591713,233604716.9,18066837175.8,16086694115.5
2019-03-28,'000729,Ñà¾©Æ¡¾Æ,6.25,6.37,6.23,6.26,6.29,-0.04,-0.6359,0.7501,18824675,118533378.18,17615870881.2,15685154168.8
2019-03-27,'000729,Ñà¾©Æ¡¾Æ,6.29,6.32,6.14,6.17,6.17,0.12,1.9449,0.8825,22147549,138369075.34,17728612454.9,15785539155.4
2019-03-26,'000729,Ñà¾©Æ¡¾Æ,6.17,6.32,6.14,6.29,6.28,-0.11,-1.7516,0.8864,22245987,138498912.65,17390387734.0,15484384195.4
2019-03-25,'000729,Ñà¾©Æ¡¾Æ,6.28,6.37,6.19,6.31,6.43,-0.15,-2.3328,1.092,27405300,172822228.0,17700427061.5,15760442908.8
2019-03-22,'000729,Ñà¾©Æ¡¾Æ,6.43,6.49,6.34,6.44,6.43,0.0,0.0,0.9274,23275006,149239402.59,18123207962.6,16136886608.8
2019-03-21,'000729,Ñà¾©Æ¡¾Æ,6.43,6.46,6.38,6.4,6.44,-0.01,-0.1553,1.4239,35735290,229510866.48,18123207962.6,16136886608.8
2019-03-20,'000729,Ñà¾©Æ¡¾Æ,6.44,6.55,6.37,6.51,6.51,-0.07,-1.0753,1.7876,44861670,289651855.46,18151393356.0,16161982855.5
2019-03-19,'000729,Ñà¾©Æ¡¾Æ,6.51,6.72,6.46,6.7,6.76,-0.25,-3.6982,2.2881,57422814,375322591.68,18348691109.9,16337656582.2
2019-03-18,'000729,Ñà¾©Æ¡¾Æ,6.76,6.78,6.31,6.32,6.32,0.44,6.962,2.4672,61918697,408271471.69,19053325945.2,16965062748.9
2019-03-15,'000729,Ñà¾©Æ¡¾Æ,6.32,6.41,6.28,6.36,6.34,-0.02,-0.3155,0.8477,21273924,134959742.02,17813168635.1,15860827895.4
2019-03-14,'000729,Ñà¾©Æ¡¾Æ,6.34,6.45,6.29,6.42,6.43,-0.09,-1.3997,0.6527,16379199,104347104.4,17869539421.9,15911020388.8
2019-03-13,'000729,Ñà¾©Æ¡¾Æ,6.43,6.48,6.39,6.47,6.47,-0.04,-0.6182,0.6492,16291274,104848275.74,18123207962.6,16136886608.8
2019-03-12,'000729,Ñà¾©Æ¡¾Æ,6.47,6.54,6.42,6.44,6.45,0.02,0.3101,0.9452,23721213,153654092.29,18235949536.3,16237271595.5
2019-03-11,'000729,Ñà¾©Æ¡¾Æ,6.45,6.46,6.32,6.35,6.39,0.06,0.939,0.7577,19014756,121564608.98,18179578749.5,16187079102.1
2019-03-08,'000729,Ñà¾©Æ¡¾Æ,6.39,6.54,6.38,6.54,6.6,-0.21,-3.1818,1.1631,29189429,187927464.45,18010466389.0,16036501622.1
2019-03-07,'000729,Ñà¾©Æ¡¾Æ,6.6,6.65,6.52,6.62,6.64,-0.04,-0.6024,0.9274,23274540,153039888.35,18602359650.6,16563522802.2
2019-03-06,'000729,Ñà¾©Æ¡¾Æ,6.64,6.65,6.46,6.57,6.57,0.07,1.0654,1.1067,27772868,181854285.81,18715101224.2,16663907788.9
2019-03-05,'000729,Ñà¾©Æ¡¾Æ,6.57,6.66,6.46,6.48,6.47,0.1,1.5456,0.9189,23062131,150927764.07,18517803470.4,16488234062.2
2019-03-04,'000729,Ñà¾©Æ¡¾Æ,6.47,6.6,6.39,6.47,6.46,0.01,0.1548,1.0113,25379791,164904956.6,18235949536.3,16237271595.5
2019-03-01,'000729,Ñà¾©Æ¡¾Æ,6.46,6.57,6.35,6.45,6.4,0.06,0.9375,0.5835,14643348,94213326.63,18207764142.9,16212175348.8
2019-02-28,'000729,Ñà¾©Æ¡¾Æ,6.4,6.56,6.36,6.55,6.46,-0.06,-0.9288,0.4441,11144847,71717239.09,18038651782.4,16061597868.8
2019-02-27,'000729,Ñà¾©Æ¡¾Æ,6.46,6.74,6.44,6.49,6.54,-0.08,-1.2232,0.5106,12813693,84359754.32,18207764142.9,16212175348.8
2019-02-26,'000729,Ñà¾©Æ¡¾Æ,6.54,6.65,6.38,6.48,6.48,0.06,0.9259,0.629,15785580,103101924.72,18433247290.1,16412945322.2
2019-02-25,'000729,Ñà¾©Æ¡¾Æ,6.48,6.5,6.17,6.2,6.2,0.28,4.5161,0.7235,18157480,114802135.47,18264134929.7,16262367842.2
2019-02-22,'000729,Ñà¾©Æ¡¾Æ,6.2,6.21,6.06,6.13,6.16,0.04,0.6494,0.2404,6032070,37109636.65,17474943914.2,15559672935.4
2019-02-21,'000729,Ñà¾©Æ¡¾Æ,6.16,6.25,6.12,6.19,6.19,-0.03,-0.4847,0.2794,7010960,43368450.24,17362202340.6,15459287948.7
2019-02-20,'000729,Ñà¾©Æ¡¾Æ,6.19,6.22,6.1,6.19,6.23,-0.04,-0.6421,0.2357,5915713,36487930.84,17446758520.8,15534576688.7
2019-02-19,'000729,Ñà¾©Æ¡¾Æ,6.23,6.35,6.13,6.3,6.31,-0.08,-1.2678,0.3141,7883408,49105005.77,17559500094.4,15634961675.4
2019-02-18,'000729,Ñà¾©Æ¡¾Æ,6.31,6.36,6.19,6.19,6.17,0.14,2.269,0.2429,6094835,38258652.11,17784983241.7,15835731648.8
2019-02-15,'000729,Ñà¾©Æ¡¾Æ,6.17,6.31,6.14,6.27,6.24,-0.07,-1.1218,0.2174,5455685,34003250.02,17390387734.0,15484384195.4
2019-02-14,'000729,Ñà¾©Æ¡¾Æ,6.24,6.41,6.17,6.22,6.21,0.03,0.4831,0.2819,7075520,44498174.98,17587685487.8,15660057922.1
2019-02-13,'000729,Ñà¾©Æ¡¾Æ,6.21,6.24,6.14,6.19,6.16,0.05,0.8117,0.2691,6754534,41814749.2,17503129307.6,15584769182.1
