»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'002403,∞Æ À¥Ô,8.97,9.1,8.92,9.1,9.1,-0.13,-1.4286,0.6913,2156857,19425561.86,3142377584.97,2798640000.0
2019-04-25,'002403,∞Æ À¥Ô,9.1,9.41,9.05,9.41,9.41,-0.31,-3.2944,0.7254,2263311,20901343.26,3187919289.1,2839200000.0
2019-04-24,'002403,∞Æ À¥Ô,9.41,9.44,9.25,9.33,9.33,0.08,0.8574,0.5231,1632037,15271655.39,3296518737.41,2935920000.0
2019-04-23,'002403,∞Æ À¥Ô,9.33,9.55,9.31,9.47,9.52,-0.19,-1.9958,0.6727,2098714,19702035.87,3268493073.33,2910960000.0
2019-04-22,'002403,∞Æ À¥Ô,9.52,9.75,9.46,9.7,9.71,-0.19,-1.9567,0.7177,2239368,21522229.39,3335054025.52,2970240000.0
2019-04-19,'002403,∞Æ À¥Ô,9.71,9.75,9.5,9.66,9.7,0.01,0.1031,0.9988,3116190,29934608.9,3401614977.71,3029520000.0
2019-04-18,'002403,∞Æ À¥Ô,9.7,9.8,9.68,9.78,9.69,0.01,0.1032,0.926,2889185,28131195.45,3398111769.7,3026400000.0
2019-04-17,'002403,∞Æ À¥Ô,9.69,9.76,9.58,9.6,9.64,0.05,0.5187,1.0606,3309182,31979942.0,3394608561.69,3023280000.0
2019-04-16,'002403,∞Æ À¥Ô,9.64,9.65,9.3,9.43,9.5,0.14,1.4737,1.1684,3645377,34544736.42,3377092521.64,3007680000.0
2019-04-15,'002403,∞Æ À¥Ô,9.5,9.68,9.5,9.55,9.48,0.02,0.211,1.3702,4275060,41103536.58,3328047609.5,2964000000.0
2019-04-12,'002403,∞Æ À¥Ô,9.48,9.57,9.38,9.56,9.56,-0.08,-0.8368,0.9864,3077413,29145889.29,3321041193.48,2957760000.0
2019-04-11,'002403,∞Æ À¥Ô,9.56,9.9,9.56,9.88,9.83,-0.27,-2.7467,1.2419,3874662,37667328.16,3349066857.56,2982720000.0
2019-04-10,'002403,∞Æ À¥Ô,9.83,9.93,9.65,9.76,9.91,-0.08,-0.8073,1.3692,4271800,41810279.5,3443653473.83,3066960000.0
2019-04-09,'002403,∞Æ À¥Ô,9.91,10.02,9.8,9.8,9.83,0.08,0.8138,1.3319,4155452,41213473.98,3471679137.91,3091920000.0
2019-04-08,'002403,∞Æ À¥Ô,9.83,10.14,9.73,10.05,10.05,-0.22,-2.1891,1.4363,4481294,44417620.38,3443653473.83,3066960000.0
2019-04-04,'002403,∞Æ À¥Ô,10.05,10.2,9.75,9.88,9.88,0.17,1.7206,2.359,7360048,73431302.94,3520724050.05,3135600000.0
2019-04-03,'002403,∞Æ À¥Ô,9.88,9.94,9.64,9.7,9.75,0.13,1.3333,1.3588,4239368,41734059.27,3461169513.88,3082560000.0
2019-04-02,'002403,∞Æ À¥Ô,9.75,9.83,9.61,9.69,9.66,0.09,0.9317,1.4368,4482830,43677661.56,3415627809.75,3042000000.0
2019-04-01,'002403,∞Æ À¥Ô,9.66,9.67,9.41,9.42,9.4,0.26,2.766,1.3322,4156609,39848350.15,3384098937.66,3013920000.0
2019-03-29,'002403,∞Æ À¥Ô,9.4,9.43,9.08,9.12,9.14,0.26,2.8446,0.8575,2675404,24794239.29,3293015529.4,2932800000.0
2019-03-28,'002403,∞Æ À¥Ô,9.14,9.38,9.08,9.27,9.28,-0.14,-1.5086,0.696,2171400,20061798.0,3201932121.14,2851680000.0
2019-03-27,'002403,∞Æ À¥Ô,9.28,9.36,9.11,9.29,9.26,0.02,0.216,0.7618,2376728,21976665.68,3250977033.28,2895360000.0
2019-03-26,'002403,∞Æ À¥Ô,9.26,9.62,9.23,9.62,9.55,-0.29,-3.0366,1.0306,3215418,30289848.8,3243970617.26,2889120000.0
2019-03-25,'002403,∞Æ À¥Ô,9.55,9.67,9.5,9.62,9.81,-0.26,-2.6504,1.3311,4152880,39809675.85,3345563649.55,2979600000.0
2019-03-22,'002403,∞Æ À¥Ô,9.81,9.9,9.66,9.73,9.74,0.07,0.7187,1.2887,4020663,39292657.58,3436647057.81,3060720000.0
2019-03-21,'002403,∞Æ À¥Ô,9.74,9.84,9.53,9.58,9.55,0.19,1.9895,1.5107,4713366,45937846.53,3412124601.74,3038880000.0
2019-03-20,'002403,∞Æ À¥Ô,9.55,9.72,9.41,9.72,9.73,-0.18,-1.8499,1.4364,4481540,42824128.87,3345563649.55,2979600000.0
2019-03-19,'002403,∞Æ À¥Ô,9.73,9.81,9.58,9.77,9.8,-0.07,-0.7143,1.2919,4030579,39092019.91,3408621393.73,3035760000.0
2019-03-18,'002403,∞Æ À¥Ô,9.8,9.82,9.49,9.65,9.68,0.12,1.2397,1.6043,5005511,48464480.43,3433143849.8,3057600000.0
2019-03-15,'002403,∞Æ À¥Ô,9.68,9.8,9.05,9.36,9.37,0.31,3.3084,1.7096,5333862,51083162.66,3391105353.68,3020160000.0
2019-03-14,'002403,∞Æ À¥Ô,9.37,9.87,8.99,9.76,9.84,-0.47,-4.7764,1.6738,5222337,49465319.36,3282505905.37,2923440000.0
2019-03-13,'002403,∞Æ À¥Ô,9.84,10.29,9.66,9.72,9.82,0.02,0.2037,2.7245,8500402,85031329.07,3447156681.84,3070080000.0
2019-03-12,'002403,∞Æ À¥Ô,9.82,10.3,9.7,9.97,9.52,0.3,3.1513,3.3628,10491809,103486833.85,3440150265.82,3063840000.0
2019-03-11,'002403,∞Æ À¥Ô,9.52,9.52,9.17,9.17,9.17,0.35,3.8168,1.7476,5452466,51251310.53,3335054025.52,2970240000.0
2019-03-08,'002403,∞Æ À¥Ô,9.17,9.54,9.14,9.4,9.72,-0.55,-5.6584,2.0359,6351937,59458459.72,3212441745.17,2861040000.0
2019-03-07,'002403,∞Æ À¥Ô,9.72,9.87,9.48,9.83,9.72,0.0,0.0,2.3266,7258859,70441847.5,3405118185.72,3032640000.0
2019-03-06,'002403,∞Æ À¥Ô,9.72,9.81,9.53,9.6,9.6,0.12,1.25,2.4515,7648614,73843869.21,3405118185.72,3032640000.0
2019-03-05,'002403,∞Æ À¥Ô,9.6,9.65,9.27,9.27,9.24,0.36,3.8961,2.3293,7267282,68868503.34,3363079689.6,2995200000.0
2019-03-04,'002403,∞Æ À¥Ô,9.24,9.46,9.22,9.29,9.25,-0.01,-0.1081,1.745,5444530,50902033.32,3236964201.24,2882880000.0
