хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-04-26,'603908,да╦ъ╣я,28.8,29.8,28.8,28.8,32.0,-3.2,-10.0,15.2976,3526000,101889589.0,1920672000.0,663819984.0
2019-04-25,'603908,да╦ъ╣я,32.0,34.69,30.89,31.9,31.89,0.11,0.3449,33.8764,7808271,253001276.0,2134080000.0,737577760.0
2019-04-24,'603908,да╦ъ╣я,31.89,32.36,29.79,29.85,30.33,1.56,5.1434,8.9401,2060629,63097102.0,2126744100.0,735042336.45
2019-04-23,'603908,да╦ъ╣я,30.33,30.5,28.86,29.13,29.25,1.08,3.6923,10.2269,2357234,69695253.0,2022707700.0,699085420.65
2019-04-22,'603908,да╦ъ╣я,29.25,29.26,27.8,27.97,27.97,1.28,4.5763,7.3846,1702105,48624502.0,1950682500.0,674192171.25
2019-04-19,'603908,да╦ъ╣я,27.97,28.23,27.53,28.0,27.72,0.25,0.9019,3.9667,914305,25436198.0,1865319300.0,644689060.85
2019-04-18,'603908,да╦ъ╣я,27.72,28.0,27.6,27.85,27.8,-0.08,-0.2878,2.3029,530800,14740888.0,1848646800.0,638926734.6
2019-04-17,'603908,да╦ъ╣я,27.8,28.17,27.51,27.87,27.9,-0.1,-0.3584,3.5363,815100,22619109.0,1853982000.0,640770679.0
2019-04-16,'603908,да╦ъ╣я,27.9,28.0,26.72,27.0,27.0,0.9,3.3333,4.4778,1032100,28444746.0,1860651000.0,643075609.5
2019-04-15,'603908,да╦ъ╣я,27.0,27.65,26.97,27.07,26.93,0.07,0.2599,3.2001,737600,20091703.0,1800630000.0,622331235.0
2019-04-12,'603908,да╦ъ╣я,26.93,27.6,26.91,27.4,27.2,-0.27,-0.9926,3.0652,706500,19142256.0,1795961700.0,620717783.65
2019-04-11,'603908,да╦ъ╣я,27.2,28.14,27.03,27.89,27.9,-0.7,-2.509,3.9216,903900,24869097.0,1813968000.0,626941096.0
2019-04-10,'603908,да╦ъ╣я,27.9,28.78,27.66,28.78,28.99,-1.09,-3.7599,6.9369,1598908,44857129.0,1860651000.0,643075609.5
2019-04-09,'603908,да╦ъ╣я,28.99,30.88,28.4,29.6,29.98,-0.99,-3.3022,11.7245,2702408,79972015.0,1933343100.0,668199351.95
2019-04-08,'603908,да╦ъ╣я,29.98,30.88,28.5,29.3,29.3,0.68,2.3208,14.2813,3291749,97308029.0,1999366200.0,691018163.9
2019-04-04,'603908,да╦ъ╣я,29.3,29.8,27.2,27.56,27.4,1.9,6.9343,12.3141,2838308,80516164.0,1954017000.0,675344636.5
2019-04-03,'603908,да╦ъ╣я,27.4,28.1,26.88,26.88,27.08,0.32,1.1817,7.1594,1650200,45166084.0,1827306000.0,631550957.0
2019-04-02,'603908,да╦ъ╣я,27.08,27.26,26.8,27.01,27.18,-0.1,-0.3679,6.8852,1587000,42981662.0,1805965200.0,624175179.4
2019-04-01,'603908,да╦ъ╣я,27.18,27.66,26.9,27.65,26.94,0.24,0.8909,11.0186,2539708,68932195.0,1812634200.0,626480109.9
2019-03-29,'603908,да╦ъ╣я,26.94,26.97,25.71,25.93,25.93,1.01,3.8951,6.9473,1601308,42466105.0,1796628600.0,620948276.7
2019-03-28,'603908,да╦ъ╣я,25.93,27.01,25.92,27.01,27.0,-1.07,-3.963,6.1934,1427526,37761613.0,1729271700.0,597668478.65
2019-03-27,'603908,да╦ъ╣я,27.0,27.13,26.08,26.08,26.15,0.85,3.2505,9.2182,2124728,56931540.0,1800630000.0,622331235.0
2019-03-26,'603908,да╦ъ╣я,26.15,26.57,26.0,26.0,26.19,-0.04,-0.1527,5.1624,1189908,31219207.0,1743943500.0,602739325.75
2019-03-25,'603908,да╦ъ╣я,26.19,26.6,25.05,25.31,25.75,0.44,1.7087,6.5886,1518628,39613539.0,1746611100.0,603661297.95
2019-03-22,'603908,да╦ъ╣я,25.75,25.78,25.14,25.64,25.45,0.3,1.1788,3.4092,785800,20063975.0,1717267500.0,593519603.75
2019-03-21,'603908,да╦ъ╣я,25.45,25.74,25.35,25.48,25.35,0.1,0.3945,3.9026,899526,22972129.0,1697260500.0,586604812.25
2019-03-20,'603908,да╦ъ╣я,25.35,25.64,24.67,25.54,25.55,-0.2,-0.7828,3.6973,852200,21513078.0,1690591500.0,584299881.75
2019-03-19,'603908,да╦ъ╣я,25.55,25.68,25.21,25.48,25.34,0.21,0.8287,3.989,919428,23346281.0,1703929500.0,588909742.75
2019-03-18,'603908,да╦ъ╣я,25.34,25.4,24.75,24.85,24.85,0.49,1.9718,4.3351,999200,25141636.0,1689924600.0,584069388.7
2019-03-15,'603908,да╦ъ╣я,24.85,24.98,24.4,24.45,24.43,0.42,1.7192,3.1624,728900,18018136.0,1657246500.0,572775229.25
2019-03-14,'603908,да╦ъ╣я,24.43,25.46,24.24,25.21,25.36,-0.93,-3.6672,3.49,804428,19901241.0,1629236700.0,563094521.15
2019-03-13,'603908,да╦ъ╣я,25.36,26.79,25.16,25.9,25.78,-0.42,-1.6292,5.1359,1183782,30763867.0,1691258400.0,584530374.8
2019-03-12,'603908,да╦ъ╣я,25.78,26.2,25.41,25.69,25.68,0.1,0.3894,5.2782,1216590,31449393.0,1719268200.0,594211082.9
2019-03-11,'603908,да╦ъ╣я,25.68,25.8,24.54,25.57,25.57,0.11,0.4302,6.6149,1524683,38323600.0,1712599200.0,591906152.4
2019-03-08,'603908,да╦ъ╣я,25.57,27.6,25.2,25.93,26.2,-0.63,-2.4046,10.868,2505007,66827477.0,1705263300.0,589370728.85
2019-03-07,'603908,да╦ъ╣я,26.2,27.07,24.9,25.01,24.99,1.21,4.8419,6.431,1482300,38173582.0,1747278000.0,603891791.0
2019-03-06,'603908,да╦ъ╣я,24.99,25.05,24.5,24.54,24.54,0.45,1.8337,4.6774,1078119,26779100.0,1666583100.0,576002131.95
2019-03-05,'603908,да╦ъ╣я,24.54,24.72,24.02,24.15,24.14,0.4,1.657,3.8196,880400,21477826.0,1636572600.0,565629944.7
2019-03-04,'603908,да╦ъ╣я,24.14,24.63,23.89,24.09,24.08,0.06,0.2492,4.3611,1005200,24430962.0,1609896600.0,556410222.7
2019-03-01,'603908,да╦ъ╣я,24.08,24.45,23.75,23.86,23.94,0.14,0.5848,4.486,1034000,24948772.0,1605895200.0,555027264.4
2019-02-28,'603908,да╦ъ╣я,23.94,23.98,23.49,23.61,23.6,0.34,1.4407,2.7402,631600,15068879.0,1596558600.0,551800361.7
2019-02-27,'603908,да╦ъ╣я,23.6,24.0,23.44,23.56,23.57,0.03,0.1273,3.5849,826300,19645411.0,1573884000.0,543963598.0
2019-02-26,'603908,да╦ъ╣я,23.57,23.97,23.4,23.46,23.66,-0.09,-0.3804,4.4991,1037000,24537539.0,1571883300.0,543272118.85
2019-02-25,'603908,да╦ъ╣я,23.66,23.77,22.55,22.89,22.82,0.84,3.681,4.4366,1022600,23897299.0,1577885400.0,545346556.3
2019-02-22,'603908,да╦ъ╣я,22.82,22.9,22.53,22.53,22.62,0.2,0.8842,1.9853,457600,10421298.0,1521865800.0,525985140.1
2019-02-21,'603908,да╦ъ╣я,22.62,23.08,22.61,22.84,22.74,-0.12,-0.5277,1.8907,435800,9949810.0,1508527800.0,521375279.1
2019-02-20,'603908,да╦ъ╣я,22.74,22.79,22.43,22.7,22.67,0.07,0.3088,1.3233,305000,6907838.0,1516530600.0,524141195.7
2019-02-19,'603908,да╦ъ╣я,22.67,22.89,22.31,22.7,22.7,-0.03,-0.1322,2.0178,465100,10517007.0,1511862300.0,522527744.35
2019-02-18,'603908,да╦ъ╣я,22.7,22.75,22.25,22.25,22.24,0.46,2.0683,1.6985,391500,8836577.0,1513863000.0,523219223.5
2019-02-15,'603908,да╦ъ╣я,22.24,22.24,22.05,22.15,22.15,0.09,0.4063,1.1731,270400,6000961.0,1483185600.0,512616543.2
2019-02-14,'603908,да╦ъ╣я,22.15,22.24,22.0,22.11,22.13,0.02,0.0904,1.0582,243900,5386355.0,1477183500.0,510542105.75
2019-02-13,'603908,да╦ъ╣я,22.13,22.26,21.78,21.96,21.82,0.31,1.4207,1.4612,336800,7413081.0,1475849700.0,510081119.65
2019-02-12,'603908,да╦ъ╣я,21.82,21.94,21.62,21.89,21.78,0.04,0.1837,0.9723,224100,4889333.0,1455175800.0,502935835.1
2019-02-11,'603908,да╦ъ╣я,21.78,21.87,21.19,21.45,21.19,0.59,2.7843,0.9202,212100,4559211.0,1452508200.0,502013862.9
2019-02-01,'603908,да╦ъ╣я,21.19,21.24,20.63,20.71,20.72,0.47,2.2683,0.6742,155400,3266108.0,1413161100.0,488414772.95
2019-01-31,'603908,да╦ъ╣я,20.72,21.8,20.0,21.68,21.67,-0.95,-4.3839,1.1948,275400,5801643.0,1381816800.0,477581599.6
2019-01-30,'603908,да╦ъ╣я,21.67,22.0,21.67,22.0,21.86,-0.19,-0.8692,0.4803,110700,2413378.0,1445172300.0,499478439.35
2019-01-29,'603908,да╦ъ╣я,21.86,22.82,21.61,22.75,22.54,-0.68,-3.0169,0.9837,226728,4994468.0,1457843400.0,503857807.3
2019-01-28,'603908,да╦ъ╣я,22.54,22.95,22.5,22.75,22.74,-0.2,-0.8795,0.7979,183900,4183493.0,1503192600.0,519531334.7
2019-01-25,'603908,да╦ъ╣я,22.74,23.2,22.52,22.79,22.79,-0.05,-0.2194,1.6574,382028,8697449.0,1516530600.0,524141195.7
2019-01-24,'603908,да╦ъ╣я,22.79,23.18,22.6,23.05,23.08,-0.29,-1.2565,1.558,359100,8193958.0,1519865100.0,525293660.95
2019-01-23,'603908,да╦ъ╣я,23.08,24.04,22.96,23.79,23.88,-0.8,-3.3501,5.3017,1222000,28679775.0,1539205200.0,531977959.4
2019-01-22,'603908,да╦ъ╣я,23.88,23.95,23.42,23.59,23.48,0.4,1.7036,2.3866,550100,13057072.0,1592557200.0,550417403.4
2019-01-21,'603908,да╦ъ╣я,23.48,23.61,23.32,23.39,23.48,0.0,0.0,0.8482,195500,4586405.0,1565881200.0,541197681.4
2019-01-18,'603908,да╦ъ╣я,23.48,23.67,23.3,23.65,23.7,-0.22,-0.9283,1.1809,272200,6370427.0,1565881200.0,541197681.4
2019-01-17,'603908,да╦ъ╣я,23.7,24.07,23.19,23.93,23.93,-0.23,-0.9611,1.6517,380700,8986793.0,1580553000.0,546268528.5
2019-01-16,'603908,да╦ъ╣я,23.93,24.0,23.61,23.65,23.64,0.29,1.2267,1.8868,434900,10359814.0,1595891700.0,551569868.65
2019-01-15,'603908,да╦ъ╣я,23.64,23.78,23.51,23.64,23.62,0.02,0.0847,1.0794,248800,5884524.0,1576551600.0,544885570.2
2019-01-14,'603908,да╦ъ╣я,23.62,23.83,23.53,23.73,23.73,-0.11,-0.4635,0.9701,223600,5287886.0,1575217800.0,544424584.1
2019-01-11,'603908,да╦ъ╣я,23.73,24.0,23.51,24.0,23.64,0.09,0.3807,1.0994,253400,6008720.0,1582553700.0,546960007.65
2019-01-10,'603908,да╦ъ╣я,23.64,23.95,23.38,23.54,23.62,0.02,0.0847,1.6974,391241,9260388.0,1576551600.0,544885570.2
2019-01-09,'603908,да╦ъ╣я,23.62,24.0,23.6,23.86,23.8,-0.18,-0.7563,2.0265,467100,11126626.0,1575217800.0,544424584.1
2019-01-08,'603908,да╦ъ╣я,23.8,24.03,23.31,23.9,23.89,-0.09,-0.3767,1.8886,435300,10279498.0,1587222000.0,548573459.0
2019-01-07,'603908,да╦ъ╣я,23.89,24.0,23.65,23.89,23.88,0.01,0.0419,1.82,419500,10015893.0,1593224100.0,550647896.45
2019-01-04,'603908,да╦ъ╣я,23.88,24.06,23.39,23.55,24.2,-0.32,-1.3223,2.7541,634800,15093035.0,1592557200.0,550417403.4
2019-01-03,'603908,да╦ъ╣я,24.2,25.0,23.24,24.26,24.51,-0.31,-1.2648,5.7221,1318900,31937498.0,1613898000.0,557793181.0
2019-01-02,'603908,да╦ъ╣я,24.51,24.68,23.88,24.38,24.38,0.13,0.5332,4.1806,963600,23422673.0,1634571900.0,564938465.55
2018-12-28,'603908,да╦ъ╣я,24.38,24.46,23.4,23.41,23.83,0.55,2.308,5.0323,1159900,27938625.0,1625902200.0,561942055.9
2018-12-27,'603908,да╦ъ╣я,23.83,23.98,23.25,23.71,23.68,0.15,0.6334,3.0279,697900,16507014.0,1589222700.0,549264938.15
2018-12-26,'603908,да╦ъ╣я,23.68,23.8,23.41,23.42,23.56,0.12,0.5093,2.7584,635800,15003998.0,1579219200.0,545807542.4
2018-12-25,'603908,да╦ъ╣я,23.56,23.64,22.29,22.98,23.29,0.27,1.1593,3.0955,713500,16460762.0,1571216400.0,543041625.8
2018-12-24,'603908,да╦ъ╣я,23.29,23.33,22.71,22.91,22.89,0.4,1.7475,1.5115,348400,8083072.0,1553210100.0,536818313.45
2018-12-21,'603908,да╦ъ╣я,22.89,23.34,22.43,22.82,22.62,0.27,1.1936,2.0643,475800,10949613.0,1526534100.0,527598591.45
2018-12-20,'603908,да╦ъ╣я,22.62,22.78,22.22,22.22,22.6,0.02,0.0885,0.9284,214000,4848162.0,1508527800.0,521375279.1
2018-12-19,'603908,да╦ъ╣я,22.6,23.0,22.45,22.67,22.7,-0.1,-0.4405,0.9675,223000,5064190.0,1507194000.0,520914293.0
2018-12-18,'603908,да╦ъ╣я,22.7,22.87,22.22,22.49,22.55,0.15,0.6652,1.1055,254800,5769344.0,1513863000.0,523219223.5
2018-12-17,'603908,да╦ъ╣я,22.55,22.65,22.1,22.1,22.46,0.09,0.4007,1.1547,266141,5971824.0,1503859500.0,519761827.75
2018-12-14,'603908,да╦ъ╣я,22.46,23.32,22.23,23.31,23.49,-1.03,-4.3848,3.4196,788200,17966106.0,1497857400.0,517687390.3
2018-12-13,'603908,да╦ъ╣я,23.49,24.31,23.49,24.11,24.11,-0.62,-2.5715,6.0459,1393541,33413844.0,1566548100.0,541428174.45
2018-12-12,'603908,да╦ъ╣я,24.11,24.35,23.36,23.36,24.0,0.11,0.4583,4.0934,943500,22559275.0,1607895900.0,555718743.55
2018-12-11,'603908,да╦ъ╣я,24.0,24.46,23.64,23.64,23.72,0.28,1.1804,6.5505,1509841,36483796.0,1600560000.0,553183320.0
2018-12-10,'603908,да╦ъ╣я,23.72,23.9,22.38,23.11,23.01,0.71,3.0856,2.9159,672100,15667274.0,1581886800.0,546729514.6
2018-12-07,'603908,да╦ъ╣я,23.01,23.55,23.0,23.36,23.61,-0.6,-2.5413,1.6803,387300,8958448.0,1534536900.0,530364508.05
2018-12-06,'603908,да╦ъ╣я,23.61,24.12,23.33,24.0,24.0,-0.39,-1.625,1.9202,442600,10448809.0,1574550900.0,544194091.05
2018-12-05,'603908,да╦ъ╣я,24.0,24.5,23.61,23.73,24.18,-0.18,-0.7444,4.2101,970400,23400717.0,1600560000.0,553183320.0
2018-12-04,'603908,да╦ъ╣я,24.18,24.26,23.03,23.27,23.28,0.9,3.866,3.9984,921600,21951744.0,1612564200.0,557332194.9
2018-12-03,'603908,да╦ъ╣я,23.28,23.49,23.04,23.04,22.56,0.72,3.1915,1.5727,362500,8427336.0,1552543200.0,536587820.4
2018-11-30,'603908,да╦ъ╣я,22.56,22.68,21.66,21.85,21.81,0.75,3.4388,1.6092,370900,8228967.0,1504526400.0,519992320.8
2018-11-29,'603908,да╦ъ╣я,21.81,23.05,21.4,22.72,22.7,-0.89,-3.9207,2.1836,503300,11383874.0,1454508900.0,502705342.05
2018-11-28,'603908,да╦ъ╣я,22.7,22.72,22.1,22.1,22.27,0.43,1.9308,1.5085,347700,7795840.0,1513863000.0,523219223.5
2018-11-27,'603908,да╦ъ╣я,22.27,22.69,22.19,22.38,22.21,0.06,0.2701,1.2551,289300,6474303.0,1485186300.0,513308022.35
2018-11-26,'603908,да╦ъ╣я,22.21,23.1,22.01,22.6,22.8,-0.59,-2.5877,1.8912,435900,9788249.0,1481184900.0,511925064.05
2018-11-23,'603908,да╦ъ╣я,22.8,24.19,22.59,23.95,24.11,-1.31,-5.4334,2.7923,643600,14917928.0,1520532000.0,525524154.0
2018-11-22,'603908,да╦ъ╣я,24.11,24.6,23.92,24.3,24.15,-0.04,-0.1656,2.1302,491000,11876235.0,1607895900.0,555718743.55
2018-11-21,'603908,да╦ъ╣я,24.15,24.15,23.24,23.24,23.41,0.74,3.161,2.4396,562300,13324642.0,1610563500.0,556640715.75
2018-11-20,'603908,да╦ъ╣я,23.41,24.42,23.22,23.91,24.41,-1.0,-4.0967,2.3367,538600,12888327.0,1561212900.0,539584230.05
2018-11-19,'603908,да╦ъ╣я,24.41,24.55,23.85,24.21,24.41,0.0,0.0,2.8409,654800,15796827.0,1627902900.0,562633535.05
2018-11-16,'603908,да╦ъ╣я,24.41,25.44,23.91,24.35,24.36,0.05,0.2053,4.7136,1086441,26822269.0,1627902900.0,562633535.05
