日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600704,物产中大,5.64,5.74,5.59,5.7,5.72,-0.08,-1.3986,0.4689,20192702,114205976.0,24289688831.9,24289688831.9
2019-04-25,'600704,物产中大,5.72,6.0,5.69,6.0,6.02,-0.3,-4.9834,0.5228,22513944,131737927.0,24634223425.2,24634223425.2
2019-04-24,'600704,物产中大,6.02,6.06,5.96,6.0,6.01,0.01,0.1664,0.3753,16161805,97078116.0,25926228150.3,25926228150.3
2019-04-23,'600704,物产中大,6.01,6.18,5.98,6.15,6.2,-0.19,-3.0645,0.7545,32494443,196265811.0,25883161326.2,25883161326.2
2019-04-22,'600704,物产中大,6.2,6.55,6.18,6.38,6.09,0.11,1.8062,1.509,64989869,413807135.0,26701430985.4,26701430985.4
2019-04-19,'600704,物产中大,6.09,6.1,5.99,6.01,6.05,0.04,0.6612,0.3562,15341142,92670074.0,26227695919.5,26227695919.5
2019-04-18,'600704,物产中大,6.05,6.12,5.99,6.12,6.09,-0.04,-0.6568,0.3849,16576318,100414626.0,26055428622.8,26055428622.8
2019-04-17,'600704,物产中大,6.09,6.19,6.04,6.12,6.13,-0.04,-0.6525,0.4028,17346420,106025395.0,26227695919.5,26227695919.5
2019-04-16,'600704,物产中大,6.13,6.14,5.9,6.04,6.1,0.03,0.4918,0.5751,24766322,149036556.0,26399963216.2,26399963216.2
2019-04-15,'600704,物产中大,6.1,6.32,6.09,6.26,6.18,-0.08,-1.2945,0.7733,33304355,207116976.0,26270762743.7,26270762743.7
2019-04-12,'600704,物产中大,6.18,6.23,5.98,6.0,5.96,0.22,3.6913,0.8502,36616433,224750814.0,26615297337.1,26615297337.1
2019-04-11,'600704,物产中大,5.96,6.11,5.96,6.04,6.04,-0.08,-1.3245,0.4761,20502317,123534542.0,25667827205.3,25667827205.3
2019-04-10,'600704,物产中大,6.04,6.1,5.99,6.01,6.05,-0.01,-0.1653,0.4697,20229292,122240084.0,26012361798.7,26012361798.7
2019-04-09,'600704,物产中大,6.05,6.14,5.99,6.14,6.1,-0.05,-0.8197,0.4961,21365563,129687160.0,26055428622.8,26055428622.8
2019-04-08,'600704,物产中大,6.1,6.18,5.98,6.1,6.06,0.04,0.6601,0.6896,29697501,180710097.0,26270762743.7,26270762743.7
2019-04-04,'600704,物产中大,6.06,6.18,6.0,6.15,6.15,-0.09,-1.4634,0.8263,35587875,216340947.0,26098495447.0,26098495447.0
2019-04-03,'600704,物产中大,6.15,6.2,5.8,5.9,5.97,0.18,3.0151,1.1272,48545351,294266983.0,26486096864.5,26486096864.5
2019-04-02,'600704,物产中大,5.97,6.03,5.82,5.82,5.84,0.13,2.226,1.0662,45917189,272699548.0,25710894029.5,25710894029.5
2019-04-01,'600704,物产中大,5.84,5.86,5.68,5.68,5.66,0.18,3.1802,0.6965,29994351,174057930.0,25151025315.3,25151025315.3
2019-03-29,'600704,物产中大,5.66,5.66,5.44,5.47,5.47,0.19,3.4735,0.4251,18307141,102295360.0,24375822480.2,24375822480.2
2019-03-28,'600704,物产中大,5.47,5.54,5.38,5.45,5.46,0.01,0.1832,0.3057,13166933,72163234.0,23557552821.0,23557552821.0
2019-03-27,'600704,物产中大,5.46,5.57,5.42,5.53,5.51,-0.05,-0.9074,0.3414,14701174,80426235.0,23514485996.8,23514485996.8
2019-03-26,'600704,物产中大,5.51,5.76,5.48,5.73,5.71,-0.2,-3.5026,0.4861,20935761,117157116.0,23729820117.7,23729820117.7
2019-03-25,'600704,物产中大,5.71,5.81,5.7,5.75,5.84,-0.13,-2.226,0.456,19636817,113122935.0,24591156601.1,24591156601.1
2019-03-22,'600704,物产中大,5.84,5.9,5.69,5.78,5.77,0.07,1.2132,0.6169,26568364,154177992.0,25151025315.3,25151025315.3
