日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601028,玉龙股份,5.46,5.5,5.34,5.43,5.44,0.02,0.3676,0.9777,7655829,41625584.0,4275320649.6,4275320649.6
2019-04-25,'601028,玉龙股份,5.44,5.68,5.4,5.66,5.75,-0.31,-5.3913,1.8731,14667156,81312300.0,4259660134.4,4259660134.4
2019-04-24,'601028,玉龙股份,5.75,5.86,5.51,5.82,6.0,-0.25,-4.1667,3.5617,27888829,158710352.0,4502398120.0,4502398120.0
2019-04-23,'601028,玉龙股份,6.0,6.23,5.9,6.14,6.33,-0.33,-5.2133,3.0112,23578614,143093070.0,4698154560.0,4698154560.0
2019-04-22,'601028,玉龙股份,6.33,6.84,6.31,6.61,6.41,-0.08,-1.248,6.3607,49805986,325305440.0,4956553060.8,4956553060.8
2019-04-19,'601028,玉龙股份,6.41,6.41,5.78,5.83,5.83,0.58,9.9485,3.3838,26495761,166367846.0,5019195121.6,5019195121.6
2019-04-18,'601028,玉龙股份,5.83,6.03,5.8,5.99,5.96,-0.13,-2.1812,0.9383,7347182,43257384.0,4565040180.8,4565040180.8
2019-04-17,'601028,玉龙股份,5.96,6.03,5.85,5.9,6.0,-0.04,-0.6667,1.2295,9627431,57338210.0,4666833529.6,4666833529.6
2019-04-16,'601028,玉龙股份,6.0,6.05,5.46,5.79,5.8,0.2,3.4483,1.8597,14562198,83489587.0,4698154560.0,4698154560.0
2019-04-15,'601028,玉龙股份,5.8,5.9,5.76,5.76,5.72,0.08,1.3986,0.6245,4889802,28437852.0,4541549408.0,4541549408.0
2019-04-12,'601028,玉龙股份,5.72,5.85,5.65,5.8,5.83,-0.11,-1.8868,0.7674,6008716,34379679.0,4478907347.2,4478907347.2
2019-04-11,'601028,玉龙股份,5.83,5.96,5.82,5.88,5.85,-0.02,-0.3419,0.6965,5453662,32090459.0,4565040180.8,4565040180.8
2019-04-10,'601028,玉龙股份,5.85,5.97,5.81,5.89,5.98,-0.13,-2.1739,0.8792,6884502,40325110.0,4580700696.0,4580700696.0
2019-04-09,'601028,玉龙股份,5.98,6.08,5.82,5.9,5.9,0.08,1.3559,1.2772,10000660,59687394.0,4682494044.8,4682494044.8
