日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000791,甘肃电投,4.27,4.37,4.24,4.37,4.39,-0.12,-2.7335,0.9806,13331636,57075851.97,5805392423.6,5805392423.6
2019-04-25,'000791,甘肃电投,4.39,4.66,4.34,4.65,4.69,-0.3,-6.3966,1.6647,22632600,101337300.1,5968541625.2,5968541625.2
2019-04-24,'000791,甘肃电投,4.69,4.72,4.63,4.64,4.69,0.0,0.0,0.789,10726890,50059411.98,6376414629.2,6376414629.2
2019-04-23,'000791,甘肃电投,6.72,6.85,6.61,6.85,6.86,-0.14,-2.0408,1.3126,12746935,85602462.16,6525968064.0,6525968064.0
2019-04-22,'000791,甘肃电投,6.86,6.99,6.81,6.98,6.88,-0.02,-0.2907,1.3904,13502328,92906772.36,6661925732.0,6661925732.0
2019-04-19,'000791,甘肃电投,6.88,6.98,6.8,6.9,6.94,-0.06,-0.8646,1.5469,15021999,103283617.16,6681348256.0,6681348256.0
2019-04-18,'000791,甘肃电投,6.94,6.94,6.71,6.75,6.77,0.17,2.5111,2.0866,20263563,138421580.0,6739615828.0,6739615828.0
2019-04-17,'000791,甘肃电投,6.77,6.95,6.63,6.65,6.58,0.19,2.8875,2.3346,22672340,154082484.11,6574524374.0,6574524374.0
2019-04-16,'000791,甘肃电投,6.58,6.59,6.39,6.55,6.55,0.03,0.458,1.0787,10475438,67958742.65,6390010396.0,6390010396.0
2019-04-15,'000791,甘肃电投,6.55,6.71,6.55,6.62,6.56,-0.01,-0.1524,1.3115,12735855,84208592.27,6360876610.0,6360876610.0
2019-04-12,'000791,甘肃电投,6.56,6.6,6.43,6.45,6.48,0.08,1.2346,1.0336,10037304,65585088.76,6370587872.0,6370587872.0
2019-04-11,'000791,甘肃电投,6.48,6.63,6.43,6.61,6.61,-0.13,-1.9667,1.2557,12194100,79475891.13,6292897776.0,6292897776.0
