日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600653,申华控股,2.62,2.67,2.54,2.61,2.62,0.0,0.0,1.9569,34174140,88687543.0,5099516430.54,4575516430.54
2019-04-25,'600653,申华控股,2.62,2.76,2.61,2.76,2.77,-0.15,-5.4152,1.7517,30592206,82128386.0,5099516430.54,4575516430.54
2019-04-24,'600653,申华控股,2.77,2.8,2.72,2.79,2.77,0.0,0.0,1.2532,21886412,60388471.0,5391473478.09,4837473478.09
2019-04-23,'600653,申华控股,2.77,2.84,2.76,2.83,2.81,-0.04,-1.4235,1.6591,28973553,80950086.0,5391473478.09,4837473478.09
2019-04-22,'600653,申华控股,2.81,2.91,2.81,2.85,2.87,-0.06,-2.0906,1.6813,29361429,83991728.0,5469328690.77,4907328690.77
2019-04-19,'600653,申华控股,2.87,2.91,2.81,2.9,2.88,-0.01,-0.3472,1.968,34369204,97953038.0,5586111509.79,5012111509.79
2019-04-18,'600653,申华控股,2.88,2.98,2.86,2.92,2.93,-0.05,-1.7065,2.5075,43789849,127684766.0,5605575312.96,5029575312.96
2019-04-17,'600653,申华控股,2.93,2.97,2.81,2.83,2.85,0.08,2.807,3.0474,53219835,154865756.0,5702894328.81,5116894328.81
2019-04-16,'600653,申华控股,2.85,2.85,2.73,2.82,2.84,0.01,0.3521,2.7177,47460754,132571132.0,5547183903.45,4977183903.45
2019-04-15,'600653,申华控股,2.84,3.05,2.77,2.82,2.8,0.04,1.4286,3.9713,69354129,200168219.0,5527720100.28,4959720100.28
2019-04-12,'600653,申华控股,2.8,2.8,2.7,2.72,2.73,0.07,2.5641,1.6425,28684082,78915574.0,5449864887.6,4889864887.6
2019-04-11,'600653,申华控股,2.73,2.84,2.73,2.74,2.74,-0.01,-0.365,2.0162,35210888,97686039.0,5313618265.41,4767618265.41
2019-04-10,'600653,申华控股,2.74,2.84,2.67,2.73,2.74,0.0,0.0,2.2871,39942243,109847169.0,5333082068.58,4785082068.58
2019-04-09,'600653,申华控股,2.74,2.81,2.69,2.77,2.85,-0.11,-3.8596,3.5827,62567589,171223386.0,5333082068.58,4785082068.58
2019-04-08,'600653,申华控股,2.85,2.97,2.73,2.79,2.71,0.14,5.1661,5.7641,100663431,286814835.0,5547183903.45,4977183903.45
2019-04-04,'600653,申华控股,2.71,2.85,2.7,2.8,2.72,-0.01,-0.3676,2.8489,49753271,137063963.0,5274690659.07,4732690659.07
2019-04-03,'600653,申华控股,2.72,2.73,2.59,2.62,2.62,0.1,3.8168,2.8036,48962384,131543393.0,5294154462.24,4750154462.24
2019-04-02,'600653,申华控股,2.62,2.65,2.61,2.65,2.62,0.0,0.0,1.5268,26663029,70112926.0,5099516430.54,4575516430.54
2019-04-01,'600653,申华控股,2.62,2.64,2.55,2.55,2.54,0.08,3.1496,1.6026,27988314,72860193.0,5099516430.54,4575516430.54
2019-03-29,'600653,申华控股,2.54,2.55,2.45,2.46,2.46,0.08,3.252,1.1007,19222892,48061435.0,4943806005.18,4435806005.18
2019-03-28,'600653,申华控股,2.46,2.54,2.45,2.53,2.54,-0.08,-3.1496,1.16,20257176,50623238.0,4788095579.82,4296095579.82
2019-03-27,'600653,申华控股,2.54,2.56,2.49,2.53,2.52,0.02,0.7937,1.0232,17868634,45223533.0,4943806005.18,4435806005.18
2019-03-26,'600653,申华控股,2.52,2.67,2.52,2.65,2.64,-0.12,-4.5455,1.7567,30679400,79320473.0,4904878398.84,4400878398.84
2019-03-25,'600653,申华控股,2.64,2.69,2.62,2.63,2.69,-0.05,-1.8587,1.8622,32521017,86532858.0,5138444036.88,4610444036.88
2019-03-22,'600653,申华控股,2.69,2.71,2.62,2.67,2.66,0.03,1.1278,1.9251,33619681,89865205.0,5235763052.73,4697763052.73
2019-03-21,'600653,申华控股,2.66,2.7,2.62,2.64,2.65,0.01,0.3774,2.1452,37463744,99825294.0,5177371643.22,4645371643.22
2019-03-20,'600653,申华控股,2.65,2.67,2.58,2.62,2.61,0.04,1.5326,1.8346,32039067,84181880.0,5157907840.05,4627907840.05
2019-03-19,'600653,申华控股,2.61,2.66,2.59,2.65,2.64,-0.03,-1.1364,1.7583,30706820,80551425.0,5080052627.37,4558052627.37
2019-03-18,'600653,申华控股,2.64,2.65,2.51,2.62,2.62,0.02,0.7634,2.4602,42964708,111382800.0,5138444036.88,4610444036.88
2019-03-15,'600653,申华控股,2.62,2.73,2.49,2.5,2.49,0.13,5.2209,3.687,64388591,169611915.0,5099516430.54,4575516430.54
2019-03-14,'600653,申华控股,2.49,2.62,2.45,2.58,2.58,-0.09,-3.4884,2.0442,35700166,89673053.0,4846486989.33,4348486989.33
2019-03-13,'600653,申华控股,2.58,2.68,2.53,2.67,2.68,-0.1,-3.7313,2.3944,41815830,109467325.0,5021661217.86,4505661217.86
2019-03-12,'600653,申华控股,2.68,2.74,2.61,2.71,2.68,0.0,0.0,3.1488,54989166,147581553.0,5216299249.56,4680299249.56
2019-03-11,'600653,申华控股,2.68,2.7,2.54,2.54,2.53,0.15,5.9289,2.5911,45250472,118384000.0,5216299249.56,4680299249.56
2019-03-08,'600653,申华控股,2.53,2.79,2.52,2.75,2.8,-0.27,-9.6429,4.3748,76401274,204190169.0,4924342202.01,4418342202.01
