日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600642,申能股份,5.49,5.58,5.49,5.52,5.5,-0.01,-0.1818,0.2753,12533790,69287096.0,24990690354.8,24990690354.8
2019-04-25,'600642,申能股份,5.5,5.7,5.49,5.68,5.64,-0.14,-2.4823,0.3057,13914381,77799159.0,25036210738.0,25036210738.0
2019-04-24,'600642,申能股份,5.64,5.7,5.59,5.68,5.69,-0.05,-0.8787,0.3175,14452590,81545069.0,25673496102.2,25673496102.2
2019-04-23,'600642,申能股份,5.69,5.79,5.67,5.77,5.77,-0.08,-1.3865,0.3286,14959312,85630240.0,25901098018.0,25901098018.0
2019-04-22,'600642,申能股份,5.77,5.79,5.74,5.77,5.77,0.0,0.0,0.2432,11069848,63851752.0,26265261083.3,26265261083.3
2019-04-19,'600642,申能股份,5.77,5.78,5.71,5.74,5.74,0.03,0.5226,0.229,10425332,59869060.0,26265261083.3,26265261083.3
2019-04-18,'600642,申能股份,5.74,5.77,5.71,5.76,5.75,-0.01,-0.1739,0.1774,8074870,46302607.0,26128699933.8,26128699933.8
2019-04-17,'600642,申能股份,5.75,5.79,5.73,5.76,5.77,-0.02,-0.3466,0.3009,13699201,78887841.0,26174220317.0,26174220317.0
2019-04-16,'600642,申能股份,5.77,5.78,5.65,5.73,5.74,0.03,0.5226,0.2774,12628636,72211140.0,26265261083.3,26265261083.3
2019-04-15,'600642,申能股份,5.74,5.82,5.73,5.76,5.78,-0.04,-0.692,0.3288,14965395,86453252.0,26128699933.8,26128699933.8
2019-04-12,'600642,申能股份,5.78,5.82,5.66,5.69,5.69,0.09,1.5817,0.3618,16470850,94701502.0,26310781466.5,26310781466.5
2019-04-11,'600642,申能股份,5.69,5.74,5.66,5.72,5.72,-0.03,-0.5245,0.2731,12432206,70831713.0,25901098018.0,25901098018.0
2019-04-10,'600642,申能股份,5.72,5.77,5.7,5.77,5.75,-0.03,-0.5217,0.2976,13548695,77513154.0,26037659167.5,26037659167.5
2019-04-09,'600642,申能股份,5.75,5.8,5.72,5.73,5.78,-0.03,-0.519,0.252,11468920,65986050.0,26174220317.0,26174220317.0
2019-04-08,'600642,申能股份,5.78,5.88,5.74,5.84,5.84,-0.06,-1.0274,0.4797,21834411,126868558.0,26310781466.5,26310781466.5
2019-04-04,'600642,申能股份,5.84,5.86,5.77,5.8,5.77,0.07,1.2132,0.4207,19149840,111407284.0,26583903765.4,26583903765.4
2019-04-03,'600642,申能股份,5.77,5.79,5.69,5.71,5.72,0.05,0.8741,0.3146,14322973,82553332.0,26265261083.3,26265261083.3
2019-04-02,'600642,申能股份,5.72,5.81,5.71,5.78,5.78,-0.06,-1.0381,0.3551,16163035,92923010.0,26037659167.5,26037659167.5
2019-04-01,'600642,申能股份,5.78,5.78,5.63,5.67,5.62,0.16,2.847,0.5023,22864488,130784215.0,26310781466.5,26310781466.5
2019-03-29,'600642,申能股份,5.62,5.62,5.49,5.52,5.52,0.1,1.8116,0.2977,13549224,75486148.0,25582455335.9,25582455335.9
2019-03-28,'600642,申能股份,5.52,5.56,5.5,5.55,5.54,-0.02,-0.361,0.1854,8440007,46642990.0,25127251504.3,25127251504.3
2019-03-27,'600642,申能股份,5.54,5.59,5.51,5.56,5.55,-0.01,-0.1802,0.2074,9439201,52264433.0,25218292270.6,25218292270.6
2019-03-26,'600642,申能股份,5.55,5.7,5.55,5.67,5.68,-0.13,-2.2887,0.3529,16066307,90139371.0,25263812653.8,25263812653.8
