日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300215,电科院,6.85,7.03,6.84,6.97,6.96,-0.11,-1.5805,0.8937,6776914,46891789.13,5194509035.95,5194509035.95
2019-04-25,'300215,电科院,6.96,7.47,6.96,7.28,7.19,-0.23,-3.1989,1.7084,12955263,94051041.98,5277924509.52,5277924509.52
2019-04-24,'300215,电科院,7.19,7.22,6.97,7.09,7.06,0.13,1.8414,0.835,6332319,45043955.64,5452338681.53,5452338681.53
2019-04-23,'300215,电科院,7.06,7.21,6.99,7.2,7.25,-0.19,-2.6207,1.037,7864104,55740275.28,5353756758.22,5353756758.22
2019-04-22,'300215,电科院,7.25,7.37,7.21,7.34,7.29,-0.04,-0.5487,1.1785,8937200,65269550.0,5497838030.75,5497838030.75
2019-04-19,'300215,电科院,7.29,7.33,7.07,7.12,7.12,0.17,2.3876,1.3832,10489400,75707260.0,5528170930.23,5528170930.23
2019-04-18,'300215,电科院,7.12,7.23,7.1,7.23,7.21,-0.09,-1.2483,0.6759,5125827,36603392.78,5399256107.44,5399256107.44
2019-04-17,'300215,电科院,7.21,7.24,7.12,7.15,7.14,0.07,0.9804,1.0698,8112572,58349257.67,5467505131.27,5467505131.27
2019-04-16,'300215,电科院,7.14,7.15,6.86,6.98,7.0,0.14,2.0,0.92,6976594,48905570.54,5414422557.18,5414422557.18
2019-04-15,'300215,电科院,7.0,7.27,7.0,7.24,7.13,-0.13,-1.8233,1.0026,7602925,54380160.2,5308257409.0,5308257409.0
2019-04-12,'300215,电科院,7.13,7.17,7.07,7.1,7.11,0.02,0.2813,0.6032,4574553,32580901.3,5406839332.31,5406839332.31
2019-04-11,'300215,电科院,7.11,7.28,7.1,7.2,7.2,-0.09,-1.25,1.0023,7600570,54672912.8,5391672882.57,5391672882.57
2019-04-10,'300215,电科院,7.2,7.31,7.1,7.21,7.27,-0.07,-0.9629,1.1249,8530535,61186295.55,5459921906.4,5459921906.4
2019-04-09,'300215,电科院,7.27,7.28,7.14,7.26,7.24,0.03,0.4144,1.0662,8085154,58386308.34,5513004480.49,5513004480.49
2019-04-08,'300215,电科院,7.24,7.53,7.13,7.48,7.43,-0.19,-2.5572,1.4584,11059341,80775998.64,5490254805.88,5490254805.88
2019-04-04,'300215,电科院,7.43,7.52,7.34,7.5,7.43,0.0,0.0,1.3036,9885806,73433735.95,5634336078.41,5634336078.41
2019-04-03,'300215,电科院,7.43,7.52,7.3,7.45,7.52,-0.09,-1.1968,1.89,14332636,106127344.6,5634336078.41,5634336078.41
2019-04-02,'300215,电科院,7.52,7.66,7.14,7.27,7.27,0.25,3.4388,3.474,26343822,197896573.48,5702585102.24,5702585102.24
2019-04-01,'300215,电科院,7.27,7.3,7.04,7.04,6.95,0.32,4.6043,1.6623,12605944,90352782.95,5513004480.49,5513004480.49
2019-03-29,'300215,电科院,6.95,6.96,6.62,6.79,6.78,0.17,2.5074,1.1139,8446736,57516282.64,5270341284.65,5270341284.65
2019-03-28,'300215,电科院,6.78,6.93,6.74,6.77,6.82,-0.04,-0.5865,0.7118,5398000,36921817.0,5141426461.86,5141426461.86
2019-03-27,'300215,电科院,6.82,6.93,6.72,6.88,6.84,-0.02,-0.2924,0.8256,6260619,42688526.25,5171759361.34,5171759361.34
2019-03-26,'300215,电科院,6.84,7.3,6.7,7.19,7.2,-0.36,-5.0,1.5454,11719364,82153116.46,5186925811.08,5186925811.08
2019-03-25,'300215,电科院,7.2,7.3,7.01,7.09,7.14,0.06,0.8403,1.6404,12439715,89398696.14,5459921906.4,5459921906.4
2019-03-22,'300215,电科院,7.14,7.26,7.0,7.26,7.22,-0.08,-1.108,1.0927,8286059,58882198.11,5414422557.18,5414422557.18
2019-03-21,'300215,电科院,7.22,7.32,6.98,7.05,7.04,0.18,2.5568,1.9371,14689166,105250812.46,5475088356.14,5475088356.14
2019-03-20,'300215,电科院,7.04,7.13,6.86,7.13,7.13,-0.09,-1.2623,1.1499,8719955,60904530.91,5338590308.48,5338590308.48
2019-03-19,'300215,电科院,7.13,7.18,7.02,7.09,7.07,0.06,0.8487,1.2073,9155328,64999960.5,5406839332.31,5406839332.31
2019-03-18,'300215,电科院,7.07,7.07,6.82,7.05,6.94,0.13,1.8732,1.2699,9630128,67013663.2,5361339983.09,5361339983.09
2019-03-15,'300215,电科院,6.94,7.11,6.86,7.0,6.88,0.06,0.8721,1.281,9714157,67807870.93,5262758059.78,5262758059.78
2019-03-14,'300215,电科院,6.88,7.24,6.81,7.2,7.22,-0.34,-4.7091,2.192,16622193,115534139.65,5217258710.56,5217258710.56
2019-03-13,'300215,电科院,7.22,7.62,7.15,7.53,7.55,-0.33,-4.3709,2.7199,20625463,151702401.16,5475088356.14,5475088356.14
2019-03-12,'300215,电科院,7.55,8.0,7.37,8.0,7.39,0.16,2.1651,6.0006,45504038,352354808.21,5725334776.85,5725334776.85
2019-03-11,'300215,电科院,7.39,7.39,6.83,6.91,6.72,0.67,9.9702,2.2407,16991657,123195483.95,5604003178.93,5604003178.93
2019-03-08,'300215,电科院,6.72,7.14,6.71,6.95,7.12,-0.4,-5.618,1.9348,14671670,101667093.16,5095927112.64,5095927112.64
2019-03-07,'300215,电科院,7.12,7.22,6.97,7.05,7.09,0.03,0.4231,2.2043,16715343,118533228.07,5399256107.44,5399256107.44
2019-03-06,'300215,电科院,7.09,7.25,6.95,7.07,7.06,0.03,0.4249,2.7159,20595505,145373148.3,5376506432.83,5376506432.83
2019-03-05,'300215,电科院,7.06,7.22,6.46,6.54,6.56,0.5,7.622,3.2458,24613580,169170724.51,5353756758.22,5353756758.22
2019-03-04,'300215,电科院,6.56,6.71,6.5,6.59,6.52,0.04,0.6135,1.8904,14335132,94714161.12,4974595514.72,4974595514.72
2019-03-01,'300215,电科院,6.52,6.61,6.41,6.56,6.57,-0.05,-0.761,0.8955,6791153,44013719.17,4944262615.24,4944262615.24
2019-02-28,'300215,电科院,6.57,6.68,6.48,6.6,6.58,-0.01,-0.152,1.2568,9530681,62449778.06,4982178739.59,4982178739.59
2019-02-27,'300215,电科院,6.58,6.96,6.52,6.55,6.52,0.06,0.9202,2.2936,17392554,116945404.41,4989761964.46,4989761964.46
2019-02-26,'300215,电科院,6.52,6.7,6.44,6.67,6.65,-0.13,-1.9549,1.8698,14179365,93200026.76,4944262615.24,4944262615.24
2019-02-25,'300215,电科院,6.65,6.76,6.37,6.37,6.33,0.32,5.0553,2.0278,15377534,100532740.75,5042844538.55,5042844538.55
2019-02-22,'300215,电科院,6.33,6.35,6.11,6.2,6.2,0.13,2.0968,1.2366,9377633,58463971.84,4800181342.71,4800181342.71
2019-02-21,'300215,电科院,6.2,6.4,6.18,6.23,6.22,-0.02,-0.3215,1.3196,10006983,63111925.2,4701599419.4,4701599419.4
2019-02-20,'300215,电科院,6.22,6.31,6.13,6.18,6.21,0.01,0.161,0.9215,6988002,43568410.4,4716765869.14,4716765869.14
2019-02-19,'300215,电科院,6.21,6.3,6.11,6.24,6.25,-0.04,-0.64,1.0616,8050526,50002960.86,4709182644.27,4709182644.27
2019-02-18,'300215,电科院,6.25,6.26,6.09,6.1,6.09,0.16,2.6273,1.1149,8454720,52312811.86,4739515543.75,4739515543.75
2019-02-15,'300215,电科院,6.09,6.16,6.06,6.16,6.14,-0.05,-0.8143,0.6726,5100351,31073283.88,4618183945.83,4618183945.83
2019-02-14,'300215,电科院,6.14,6.2,6.07,6.18,6.14,0.0,0.0,0.7657,5806222,35586597.84,4656100070.18,4656100070.18
2019-02-13,'300215,电科院,6.14,6.18,6.0,6.03,6.03,0.11,1.8242,1.0573,8018043,49086761.02,4656100070.18,4656100070.18
2019-02-12,'300215,电科院,6.03,6.05,5.95,5.95,5.94,0.09,1.5152,0.7083,5371340,32287010.88,4572684596.61,4572684596.61
2019-02-11,'300215,电科院,5.94,5.97,5.8,5.84,5.79,0.15,2.5907,0.5773,4378100,25915207.68,4504435572.78,4504435572.78
2019-02-01,'300215,电科院,5.79,5.79,5.6,5.65,5.55,0.24,4.3243,0.5876,4456254,25580746.72,4390687199.73,4390687199.73
2019-01-31,'300215,电科院,5.55,5.73,5.4,5.7,5.68,-0.13,-2.2887,0.7794,5910050,33053653.6,4208689802.85,4208689802.85
2019-01-30,'300215,电科院,5.68,5.77,5.61,5.69,5.7,-0.02,-0.3509,0.4562,3459337,19786220.08,4307271726.16,4307271726.16
2019-01-29,'300215,电科院,5.7,5.97,5.42,5.97,5.96,-0.26,-4.3624,0.8527,6466215,36833260.9,4322438175.9,4322438175.9
2019-01-28,'300215,电科院,5.96,6.08,5.95,6.02,5.97,-0.01,-0.1675,0.4383,3323792,19965964.92,4519602022.52,4519602022.52
2019-01-25,'300215,电科院,5.97,6.1,5.96,6.07,6.1,-0.13,-2.1311,0.6999,5307669,32035192.55,4527185247.39,4527185247.39
2019-01-24,'300215,电科院,6.1,6.15,6.05,6.13,6.1,0.0,0.0,0.5691,4315700,26348878.0,4625767170.7,4625767170.7
2019-01-23,'300215,电科院,6.1,6.12,5.98,6.02,6.04,0.06,0.9934,0.5591,4239865,25659252.32,4625767170.7,4625767170.7
2019-01-22,'300215,电科院,6.04,6.18,6.02,6.12,6.09,-0.05,-0.821,0.7574,5743732,35010906.87,4580267821.48,4580267821.48
2019-01-21,'300215,电科院,6.09,6.17,6.02,6.14,6.09,0.0,0.0,0.9688,7346661,44809354.91,4618183945.83,4618183945.83
2019-01-18,'300215,电科院,6.09,6.17,6.01,6.14,6.14,-0.05,-0.8143,0.9267,7027316,42717299.8,4618183945.83,4618183945.83
2019-01-17,'300215,电科院,6.14,6.28,6.05,6.19,6.26,-0.12,-1.9169,1.5483,11741434,72327175.66,4656100070.18,4656100070.18
2019-01-16,'300215,电科院,6.26,6.48,6.26,6.39,6.49,-0.23,-3.5439,1.5785,11969747,75891779.46,4747098768.62,4747098768.62
2019-01-15,'300215,电科院,6.49,6.52,6.31,6.46,6.47,0.02,0.3091,1.749,13262715,85322380.85,4921512940.63,4921512940.63
2019-01-14,'300215,电科院,6.47,6.64,6.25,6.32,6.35,0.12,1.8898,2.5435,19288069,124110922.45,4906346490.89,4906346490.89
2019-01-11,'300215,电科院,6.35,6.46,6.19,6.32,6.45,-0.1,-1.5504,2.621,19875997,125510843.09,4815347792.45,4815347792.45
2019-01-10,'300215,电科院,6.45,6.67,6.1,6.11,6.18,0.27,4.3689,4.1379,31378521,201285338.93,4891180041.15,4891180041.15
2019-01-09,'300215,电科院,6.18,6.5,6.14,6.27,6.37,-0.19,-2.9827,3.6804,27909220,174906360.92,4686432969.66,4686432969.66
2019-01-08,'300215,电科院,6.37,7.0,6.36,7.0,6.55,-0.18,-2.7481,5.912,44832321,297001358.29,4830514242.19,4830514242.19
2019-01-07,'300215,电科院,6.55,6.55,6.28,6.55,5.95,0.6,10.084,4.4859,34017789,221093716.27,4967012289.85,4967012289.85
2019-01-04,'300215,电科院,5.95,5.95,5.26,5.35,5.41,0.54,9.9815,2.6836,20350147,118068609.54,4512018797.65,4512018797.65
2019-01-03,'300215,电科院,5.41,5.55,5.28,5.28,5.24,0.17,3.2443,0.8357,6337025,34239484.49,4102524654.67,4102524654.67
2019-01-02,'300215,电科院,5.24,5.36,5.24,5.33,5.3,-0.06,-1.1321,0.3733,2830683,14994527.0,3973609831.88,3973609831.88
2018-12-28,'300215,电科院,5.3,5.45,5.29,5.41,5.45,-0.15,-2.7523,0.8241,6249340,33414318.55,4019109181.1,4019109181.1
2018-12-27,'300215,电科院,5.45,5.64,5.44,5.55,5.72,-0.27,-4.7203,1.8456,13995792,77924994.52,4132857554.15,4132857554.15
2018-12-26,'300215,电科院,5.72,5.86,5.4,5.43,5.33,0.39,7.3171,2.5354,19226873,111266182.24,4337604625.64,4337604625.64
2018-12-25,'300215,电科院,5.33,5.38,5.2,5.35,5.41,-0.08,-1.4787,0.2855,2164995,11423794.7,4041858855.71,4041858855.71
2018-12-24,'300215,电科院,5.41,5.44,5.35,5.38,5.37,0.04,0.7449,0.195,1478600,7992229.0,4102524654.67,4102524654.67
2018-12-21,'300215,电科院,5.37,5.39,5.32,5.34,5.36,0.01,0.1866,0.19,1440925,7708313.25,4072191755.19,4072191755.19
2018-12-20,'300215,电科院,5.36,5.39,5.31,5.37,5.34,0.02,0.3745,0.2311,1752443,9382558.62,4064608530.32,4064608530.32
2018-12-19,'300215,电科院,5.34,5.45,5.33,5.41,5.4,-0.06,-1.1111,0.2015,1528006,8230460.4,4049442080.58,4049442080.58
2018-12-18,'300215,电科院,5.4,5.46,5.32,5.4,5.43,-0.03,-0.5525,0.2419,1834180,9882114.76,4094941429.8,4094941429.8
2018-12-17,'300215,电科院,5.43,5.5,5.37,5.5,5.49,-0.06,-1.0929,0.3232,2450843,13319509.91,4117691104.41,4117691104.41
2018-12-14,'300215,电科院,5.49,5.65,5.47,5.65,5.66,-0.17,-3.0035,0.4425,3355884,18624867.21,4163190453.63,4163190453.63
