日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603258,电魂网络,17.66,18.05,17.66,17.95,17.8,-0.14,-0.7865,1.0537,1228001,21896331.0,4292739820.0,2058061080.0
2019-04-25,'603258,电魂网络,17.8,18.91,17.78,18.91,18.95,-1.15,-6.0686,1.4285,1664701,30602862.0,4326770600.0,2074376400.0
2019-04-24,'603258,电魂网络,18.95,18.97,18.38,18.82,18.7,0.25,1.3369,1.1146,1298904,24313092.0,4606309150.0,2208395100.0
2019-04-23,'603258,电魂网络,18.7,19.19,18.68,18.85,18.99,-0.29,-1.5271,1.1712,1364946,25839600.0,4545539900.0,2179260600.0
2019-04-22,'603258,电魂网络,18.99,19.68,18.88,19.3,19.14,-0.15,-0.7837,1.915,2231704,43167709.0,4616032230.0,2213056620.0
2019-04-19,'603258,电魂网络,19.14,19.25,18.71,19.09,19.1,0.04,0.2094,0.9681,1128201,21389139.0,4652493780.0,2230537320.0
2019-04-18,'603258,电魂网络,19.1,19.29,18.98,19.28,19.3,-0.2,-1.0363,1.1087,1292100,24702031.0,4642770700.0,2225875800.0
2019-04-17,'603258,电魂网络,19.3,19.31,18.58,18.9,18.92,0.38,2.0085,1.6797,1957528,37493148.0,4691386100.0,2249183400.0
2019-04-16,'603258,电魂网络,18.92,18.96,18.17,18.78,18.7,0.22,1.1765,1.1897,1386401,25712514.0,4599016840.0,2204898960.0
2019-04-15,'603258,电魂网络,18.7,19.12,18.65,18.8,18.46,0.24,1.3001,1.2347,1438918,27190781.0,4545539900.0,2179260600.0
2019-04-12,'603258,电魂网络,18.46,18.64,18.3,18.33,18.38,0.08,0.4353,0.9412,1096899,20249228.0,4487201420.0,2151291480.0
2019-04-11,'603258,电魂网络,18.38,19.15,18.36,18.94,18.94,-0.56,-2.9567,1.3507,1574093,29457553.0,4467755260.0,2141968440.0
2019-04-10,'603258,电魂网络,18.94,19.16,18.82,19.1,19.14,-0.2,-1.0449,1.1635,1355900,25784711.0,4603878380.0,2207229720.0
2019-04-09,'603258,电魂网络,19.14,19.34,18.92,18.92,18.97,0.17,0.8962,1.5127,1762900,33747568.0,4652493780.0,2230537320.0
2019-04-08,'603258,电魂网络,18.97,19.68,18.71,19.66,19.52,-0.55,-2.8176,1.8978,2211600,42279005.0,4611170690.0,2210725860.0
2019-04-04,'603258,电魂网络,19.52,20.26,19.52,20.16,19.98,-0.46,-2.3023,2.6748,3117101,61479188.0,4744863040.0,2274821760.0
2019-04-03,'603258,电魂网络,19.98,20.1,19.1,19.1,19.12,0.86,4.4979,3.466,4039250,79833610.0,4856678460.0,2328429240.0
2019-04-02,'603258,电魂网络,19.12,19.51,19.1,19.5,19.44,-0.32,-1.6461,1.8363,2139970,41146790.0,4647632240.0,2228206560.0
2019-04-01,'603258,电魂网络,19.44,19.45,18.65,18.84,18.7,0.74,3.9572,2.0696,2411854,46234900.0,4725416880.0,2265498720.0
2019-03-29,'603258,电魂网络,18.7,18.85,18.05,18.22,18.24,0.46,2.5219,1.2232,1425532,26324496.0,4545539900.0,2179260600.0
2019-03-28,'603258,电魂网络,18.24,18.75,17.95,17.95,18.18,0.06,0.33,1.149,1339018,24635059.0,4433724480.0,2125653120.0
2019-03-27,'603258,电魂网络,18.18,18.28,17.64,17.93,17.84,0.34,1.9058,1.1519,1342374,24186064.0,4419139860.0,2118660840.0
2019-03-26,'603258,电魂网络,17.84,18.87,17.84,18.66,18.59,-0.75,-4.0344,1.4775,1721864,31535446.0,4336493680.0,2079037920.0
2019-03-25,'603258,电魂网络,18.59,18.88,18.52,18.88,19.03,-0.44,-2.3121,1.3366,1557635,29100661.0,4518801430.0,2166441420.0
2019-03-22,'603258,电魂网络,19.03,19.15,18.64,19.01,19.0,0.03,0.1579,1.3484,1571400,29731534.0,4625755310.0,2217718140.0
2019-03-21,'603258,电魂网络,19.0,19.17,18.72,18.77,18.85,0.15,0.7958,1.7672,2059517,39167802.0,4618463000.0,2214222000.0
2019-03-20,'603258,电魂网络,18.85,19.2,18.51,19.2,19.03,-0.18,-0.9459,1.2974,1512000,28431808.0,4582001450.0,2196741300.0
2019-03-19,'603258,电魂网络,19.03,19.17,18.48,18.57,18.57,0.46,2.4771,1.7427,2030905,38402510.0,4625755310.0,2217718140.0
2019-03-18,'603258,电魂网络,18.57,18.58,18.05,18.28,18.3,0.27,1.4754,1.2412,1446474,26535433.0,4513939890.0,2164110660.0
2019-03-15,'603258,电魂网络,18.3,18.6,17.87,18.42,18.21,0.09,0.4942,1.5786,1839700,33632910.0,4448309100.0,2132645400.0
2019-03-14,'603258,电魂网络,18.21,19.21,17.85,19.19,19.08,-0.87,-4.5597,2.122,2472900,45291986.0,4426432170.0,2122156980.0
2019-03-13,'603258,电魂网络,19.08,20.2,18.88,20.08,20.07,-0.99,-4.9327,2.4008,2797800,54816935.0,4637909160.0,2223545040.0
2019-03-12,'603258,电魂网络,20.07,20.79,19.5,19.74,19.7,0.37,1.8782,4.0073,4670021,93999307.0,4878555390.0,2338917660.0
2019-03-11,'603258,电魂网络,19.7,19.83,18.07,18.08,18.16,1.54,8.4802,3.1387,3657834,69416361.0,4788616900.0,2295798600.0
2019-03-08,'603258,电魂网络,18.16,19.25,18.13,18.82,19.3,-1.14,-5.9067,2.5211,2938000,55042803.0,4414278320.0,2116330080.0
2019-03-07,'603258,电魂网络,19.3,19.5,18.71,18.99,18.95,0.35,1.847,2.6291,3063924,58373389.0,4691386100.0,2249183400.0
2019-03-06,'603258,电魂网络,18.95,19.07,18.03,18.09,18.19,0.76,4.1781,3.1913,3719064,69242524.0,4606309150.0,2208395100.0
2019-03-05,'603258,电魂网络,18.19,18.33,17.78,17.78,17.82,0.37,2.0763,1.8222,2123500,38373630.0,4421570630.0,2119826220.0
2019-03-04,'603258,电魂网络,17.82,18.26,17.73,17.87,17.81,0.01,0.0561,1.9616,2285970,41238034.0,4331632140.0,2076707160.0
2019-03-01,'603258,电魂网络,17.81,18.21,17.65,17.99,17.99,-0.18,-1.0006,1.4113,1644728,29311674.0,4329201370.0,2075541780.0
2019-02-28,'603258,电魂网络,17.99,18.26,17.44,17.46,17.48,0.51,2.9176,2.8256,3292942,59136680.0,4372955230.0,2096518620.0
2019-02-27,'603258,电魂网络,17.48,18.17,17.37,17.38,17.38,0.1,0.5754,2.7971,3259703,57736399.0,4248985960.0,2037084240.0
2019-02-26,'603258,电魂网络,17.38,17.93,17.3,17.52,17.53,-0.15,-0.8557,2.7641,3221246,56636787.0,4224678260.0,2025430440.0
2019-02-25,'603258,电魂网络,17.53,17.56,16.64,16.66,16.63,0.9,5.4119,3.1245,3641239,62670966.0,4261139810.0,2042911140.0
2019-02-22,'603258,电魂网络,16.63,16.65,16.02,16.12,16.08,0.55,3.4204,1.9387,2259344,37187691.0,4042370510.0,1938026940.0
2019-02-21,'603258,电魂网络,16.08,16.6,15.98,15.98,16.06,0.02,0.1245,1.9923,2321800,37997686.0,3908678160.0,1873931040.0
2019-02-20,'603258,电魂网络,16.06,16.06,15.67,16.02,16.03,0.03,0.1871,1.0044,1170500,18613568.0,3903816620.0,1871600280.0
2019-02-19,'603258,电魂网络,16.03,16.07,15.71,15.8,15.83,0.2,1.2634,1.408,1640900,26111207.0,3896524310.0,1868104140.0
2019-02-18,'603258,电魂网络,15.83,15.86,15.47,15.56,15.41,0.42,2.7255,1.1596,1351377,21204926.0,3847908910.0,1844796540.0
2019-02-15,'603258,电魂网络,15.41,15.58,15.2,15.3,15.27,0.14,0.9168,0.66,769177,11851076.0,3745816570.0,1795850580.0
2019-02-14,'603258,电魂网络,15.27,15.39,15.07,15.26,15.25,0.02,0.1311,0.6946,809500,12347846.0,3711785790.0,1779535260.0
2019-02-13,'603258,电魂网络,15.25,15.3,14.82,14.82,14.91,0.34,2.2803,0.8275,964377,14582129.0,3706924250.0,1777204500.0
2019-02-12,'603258,电魂网络,14.91,15.11,14.7,14.75,14.76,0.15,1.0163,0.6157,717487,10695340.0,3624278070.0,1737581580.0
2019-02-11,'603258,电魂网络,14.76,14.79,14.31,14.39,14.35,0.41,2.8571,0.5656,659100,9646023.0,3587816520.0,1720100880.0
2019-02-01,'603258,电魂网络,14.35,14.4,14.04,14.05,14.0,0.35,2.5,0.4346,506500,7240888.0,3488154950.0,1672320300.0
2019-01-31,'603258,电魂网络,14.0,14.46,13.89,14.45,14.2,-0.2,-1.4085,0.6554,763828,10816949.0,3403078000.0,1631532000.0
2019-01-30,'603258,电魂网络,14.2,14.49,14.11,14.11,14.25,-0.05,-0.3509,0.6444,751000,10779489.0,3451693400.0,1654839600.0
2019-01-29,'603258,电魂网络,14.25,15.22,13.7,15.22,15.22,-0.97,-6.3732,0.9044,1053945,15186717.0,3463847250.0,1660666500.0
2019-01-28,'603258,电魂网络,15.22,15.55,15.2,15.27,15.22,0.0,0.0,0.4168,485700,7456784.0,3699631940.0,1773708360.0
2019-01-25,'603258,电魂网络,15.22,15.65,15.2,15.58,15.58,-0.36,-2.3107,0.6532,761200,11717540.0,3699631940.0,1773708360.0
2019-01-24,'603258,电魂网络,15.58,15.65,15.32,15.43,15.41,0.17,1.1032,0.5316,619500,9613371.0,3787139660.0,1815662040.0
2019-01-23,'603258,电魂网络,15.41,15.68,15.4,15.56,15.53,-0.12,-0.7727,0.4904,571487,8874489.0,3745816570.0,1795850580.0
2019-01-22,'603258,电魂网络,15.53,15.95,15.52,15.95,15.95,-0.42,-2.6332,0.8839,1030130,16143827.0,3774985810.0,1809835140.0
2019-01-21,'603258,电魂网络,15.95,16.07,15.87,15.89,15.93,0.02,0.1255,0.4857,566000,9030819.0,3877078150.0,1858781100.0
2019-01-18,'603258,电魂网络,15.93,16.1,15.71,15.88,15.96,-0.03,-0.188,0.6666,776877,12326253.0,3872216610.0,1856450340.0
2019-01-17,'603258,电魂网络,15.96,16.4,15.92,16.38,16.46,-0.5,-3.0377,0.9189,1070900,17270091.0,3879508920.0,1859946480.0
2019-01-16,'603258,电魂网络,16.46,16.48,16.0,16.15,16.15,0.31,1.9195,1.2613,1469940,23974033.0,4001047420.0,1918215480.0
2019-01-15,'603258,电魂网络,16.15,16.15,15.78,15.79,15.95,0.2,1.2539,0.7374,859408,13781318.0,3925693550.0,1882088700.0
2019-01-14,'603258,电魂网络,15.95,16.31,15.94,16.31,16.31,-0.36,-2.2072,0.9185,1070400,17184757.0,3877078150.0,1858781100.0
2019-01-11,'603258,电魂网络,16.31,16.6,16.13,16.53,16.55,-0.24,-1.4502,1.2192,1420805,23207023.0,3964585870.0,1900734780.0
2019-01-10,'603258,电魂网络,16.55,16.83,16.33,16.4,16.5,0.05,0.303,1.952,2274827,37835396.0,4022924350.0,1928703900.0
2019-01-09,'603258,电魂网络,16.5,16.67,15.94,16.01,16.01,0.49,3.0606,2.0731,2416000,39579146.0,4010770500.0,1922877000.0
2019-01-08,'603258,电魂网络,16.01,16.33,15.88,16.32,16.32,-0.31,-1.8995,1.2264,1429229,22908081.0,3891662770.0,1865773380.0
2019-01-07,'603258,电魂网络,16.32,16.44,15.96,16.25,16.14,0.18,1.1152,1.4604,1701920,27622435.0,3967016640.0,1901900160.0
2019-01-04,'603258,电魂网络,16.14,16.21,15.51,15.58,16.02,0.12,0.7491,1.8151,2115304,33708011.0,3923262780.0,1880923320.0
2019-01-03,'603258,电魂网络,16.02,16.67,15.88,16.67,16.68,-0.66,-3.9568,2.4583,2864800,46224568.0,3894093540.0,1866938760.0
2019-01-02,'603258,电魂网络,16.68,17.1,16.51,17.03,17.01,-0.33,-1.94,2.0406,2378020,39676330.0,4054524360.0,1943853840.0
2018-12-28,'603258,电魂网络,17.01,17.3,16.37,16.65,16.71,0.3,1.7953,3.3842,3943857,66811363.0,4134739770.0,1982311380.0
2018-12-27,'603258,电魂网络,16.71,16.93,16.06,16.55,16.46,0.25,1.5188,3.7833,4409017,73351518.0,4061816670.0,1947349980.0
2018-12-26,'603258,电魂网络,16.46,16.8,15.33,15.4,15.48,0.98,6.3307,3.4977,4076126,66396851.0,4001047420.0,1918215480.0
2018-12-25,'603258,电魂网络,15.48,15.79,15.03,15.76,16.06,-0.58,-3.6115,1.6281,1897407,29225227.0,3762831960.0,1804008240.0
