日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002715,登云股份,18.28,18.51,18.0,18.2,18.06,0.22,1.2182,0.9961,916384,16796380.4,1681760000.0,1681760000.0
2019-04-25,'002715,登云股份,18.06,18.8,18.05,18.8,18.6,-0.54,-2.9032,1.141,1049700,19264300.48,1661520000.0,1661520000.0
2019-04-24,'002715,登云股份,18.6,18.8,18.31,18.63,18.63,-0.03,-0.161,1.107,1018485,18910300.18,1711200000.0,1711200000.0
2019-04-23,'002715,登云股份,18.63,19.4,18.51,19.4,19.28,-0.65,-3.3714,2.0339,1871212,35240270.44,1713960000.0,1713960000.0
2019-04-22,'002715,登云股份,19.28,19.8,19.05,19.19,19.19,0.09,0.469,1.8187,1673200,32465599.58,1773760000.0,1773760000.0
2019-04-19,'002715,登云股份,19.19,19.22,18.91,19.08,19.17,0.02,0.1043,1.1199,1030326,19647488.56,1765480000.0,1765480000.0
2019-04-18,'002715,登云股份,19.17,19.28,18.8,19.08,19.17,0.0,0.0,1.8223,1676492,31891908.84,1763640000.0,1763640000.0
2019-04-17,'002715,登云股份,19.17,19.5,18.95,19.2,19.26,-0.09,-0.4673,2.4439,2248407,43271107.85,1763640000.0,1763640000.0
2019-04-16,'002715,登云股份,19.26,19.35,18.41,18.8,19.07,0.19,0.9963,2.2483,2068413,39038945.4,1771920000.0,1771920000.0
2019-04-15,'002715,登云股份,19.07,19.85,19.0,19.38,19.6,-0.53,-2.7041,2.851,2622900,50973693.0,1754440000.0,1754440000.0
2019-04-12,'002715,登云股份,19.6,19.96,18.4,19.28,19.5,0.1,0.5128,3.9631,3646009,68951162.89,1803200000.0,1803200000.0
2019-04-11,'002715,登云股份,19.5,20.7,18.67,18.92,18.92,0.58,3.0655,5.4887,5049603,98555390.52,1794000000.0,1794000000.0
2019-04-10,'002715,登云股份,18.92,19.19,18.06,18.92,18.95,-0.03,-0.1583,2.215,2037831,38109408.68,1740640000.0,1740640000.0
2019-04-09,'002715,登云股份,18.95,19.0,18.4,18.91,18.75,0.2,1.0667,1.3973,1285515,24196672.55,1743400000.0,1743400000.0
2019-04-08,'002715,登云股份,18.75,19.1,18.36,19.03,18.95,-0.2,-1.0554,1.8225,1676654,31343633.29,1725000000.0,1725000000.0
2019-04-04,'002715,登云股份,18.95,19.2,18.73,18.86,18.86,0.09,0.4772,2.0516,1887504,35729659.87,1743400000.0,1743400000.0
2019-04-03,'002715,登云股份,18.86,19.15,18.23,18.48,18.44,0.42,2.2777,1.7289,1590604,29831227.84,1735120000.0,1735120000.0
2019-04-02,'002715,登云股份,18.44,18.68,18.15,18.28,18.21,0.23,1.263,1.4445,1328926,24416052.41,1696480000.0,1696480000.0
2019-04-01,'002715,登云股份,18.21,18.32,17.8,17.84,17.82,0.39,2.1886,1.234,1135262,20622939.43,1675320000.0,1675320000.0
2019-03-29,'002715,登云股份,17.82,17.84,17.2,17.31,17.57,0.25,1.4229,1.9791,1820790,31859770.6,1639440000.0,1639440000.0
2019-03-28,'002715,登云股份,17.57,17.84,17.39,17.6,17.56,0.01,0.0569,1.2763,1174200,20677843.84,1616440000.0,1616440000.0
2019-03-27,'002715,登云股份,17.56,17.88,17.32,17.69,17.63,-0.07,-0.3971,1.37,1260400,22108146.23,1615520000.0,1615520000.0
2019-03-26,'002715,登云股份,17.63,18.5,17.55,18.5,18.27,-0.64,-3.503,1.7074,1570775,28255135.31,1621960000.0,1621960000.0
2019-03-25,'002715,登云股份,18.27,18.68,18.27,18.46,18.84,-0.57,-3.0255,1.4739,1356000,25069520.0,1680840000.0,1680840000.0
2019-03-22,'002715,登云股份,18.84,18.9,18.31,18.7,18.7,0.14,0.7487,1.7621,1621162,30146751.7,1733280000.0,1733280000.0
2019-03-21,'002715,登云股份,18.7,18.98,18.46,18.51,18.45,0.25,1.355,2.0347,1871900,35088451.0,1720400000.0,1720400000.0
2019-03-20,'002715,登云股份,18.45,18.68,18.1,18.64,18.72,-0.27,-1.4423,1.6707,1537000,28276858.0,1697400000.0,1697400000.0
2019-03-19,'002715,登云股份,18.72,18.75,18.44,18.63,18.57,0.15,0.8078,1.3713,1261602,23483516.1,1722240000.0,1722240000.0
2019-03-18,'002715,登云股份,18.57,18.58,18.26,18.58,18.34,0.23,1.2541,1.2735,1171600,21612635.98,1708440000.0,1708440000.0
2019-03-15,'002715,登云股份,18.34,18.47,18.08,18.38,18.05,0.29,1.6066,1.5165,1395200,25535436.0,1687280000.0,1687280000.0
2019-03-14,'002715,登云股份,18.05,19.44,18.01,19.2,19.17,-1.12,-5.8425,2.3242,2138300,39831937.4,1660600000.0,1660600000.0
2019-03-13,'002715,登云股份,19.17,19.57,19.03,19.27,19.26,-0.09,-0.4673,2.5,2300043,44344556.61,1763640000.0,1763640000.0
2019-03-12,'002715,登云股份,19.26,19.68,19.1,19.41,19.4,-0.14,-0.7216,2.6784,2464098,47710857.52,1771920000.0,1771920000.0
2019-03-11,'002715,登云股份,19.4,19.59,18.71,18.71,18.81,0.59,3.1366,2.6491,2437212,46741803.13,1784800000.0,1784800000.0
2019-03-08,'002715,登云股份,18.81,19.87,18.46,18.88,18.89,-0.08,-0.4235,3.8849,3574069,68504962.75,1730520000.0,1730520000.0
2019-03-07,'002715,登云股份,18.89,19.2,18.46,19.09,19.08,-0.19,-0.9958,3.2752,3013173,56789080.23,1737880000.0,1737880000.0
2019-03-06,'002715,登云股份,19.08,19.31,18.23,18.44,18.44,0.64,3.4707,4.1577,3825124,71864492.25,1755360000.0,1755360000.0
2019-03-05,'002715,登云股份,18.44,18.45,18.09,18.14,18.14,0.3,1.6538,2.36,2171231,39658934.53,1696480000.0,1696480000.0
2019-03-04,'002715,登云股份,18.14,18.23,17.72,17.8,17.77,0.37,2.0822,2.7441,2524591,45459081.64,1668880000.0,1668880000.0
2019-03-01,'002715,登云股份,17.77,18.0,17.67,18.0,17.76,0.01,0.0563,1.7678,1626400,28962515.0,1634840000.0,1634840000.0
2019-02-28,'002715,登云股份,17.76,18.04,17.66,17.67,17.83,-0.07,-0.3926,1.6319,1501338,26773036.15,1633920000.0,1633920000.0
2019-02-27,'002715,登云股份,17.83,18.44,17.75,18.05,18.05,-0.22,-1.2188,2.8232,2597344,47029301.45,1640360000.0,1640360000.0
2019-02-26,'002715,登云股份,18.05,18.5,18.02,18.47,18.48,-0.43,-2.3268,3.2393,2980174,54231172.61,1660600000.0,1660600000.0
2019-02-25,'002715,登云股份,18.48,18.49,17.69,17.69,17.84,0.64,3.5874,5.1249,4714882,85406391.32,1700160000.0,1700160000.0
2019-02-22,'002715,登云股份,17.84,17.9,17.4,17.42,18.0,-0.16,-0.8889,2.9095,2676704,47125945.06,1641280000.0,1641280000.0
2019-02-21,'002715,登云股份,18.0,18.96,17.71,18.5,17.55,0.45,2.5641,5.3851,4954317,90563733.74,1656000000.0,1656000000.0
2019-02-20,'002715,登云股份,17.55,18.48,17.44,17.82,17.75,-0.2,-1.1268,2.2868,2103831,37268515.8,1614600000.0,1614600000.0
2019-02-19,'002715,登云股份,17.75,17.79,17.3,17.4,17.42,0.33,1.8944,3.5032,3222932,56606253.24,1633000000.0,1633000000.0
2019-02-18,'002715,登云股份,17.42,17.46,17.05,17.19,17.07,0.35,2.0504,3.1425,2891062,49849363.63,1602640000.0,1602640000.0
2019-02-15,'002715,登云股份,17.07,17.26,16.89,17.06,17.05,0.02,0.1173,1.1659,1072659,18290587.13,1570440000.0,1570440000.0
2019-02-14,'002715,登云股份,17.05,17.31,16.99,17.17,17.1,-0.05,-0.2924,1.5512,1427121,24414969.0,1568600000.0,1568600000.0
2019-02-13,'002715,登云股份,17.1,17.25,16.9,17.09,17.09,0.01,0.0585,2.2426,2063208,35356045.82,1573200000.0,1573200000.0
2019-02-12,'002715,登云股份,17.09,17.22,16.91,16.91,17.08,0.01,0.0585,0.9404,865130,14745388.8,1572280000.0,1572280000.0
2019-02-11,'002715,登云股份,17.08,17.24,16.41,16.45,16.67,0.41,2.4595,0.9133,840203,14229145.24,1571360000.0,1571360000.0
2019-02-01,'002715,登云股份,16.67,17.16,15.96,15.97,15.94,0.73,4.5797,1.1124,1023402,17047176.38,1533640000.0,1533640000.0
2019-01-31,'002715,登云股份,15.94,16.37,15.64,16.37,16.22,-0.28,-1.7263,1.3447,1237101,19707000.6,1466480000.0,1466480000.0
2019-01-30,'002715,登云股份,16.22,17.61,16.22,17.6,16.75,-0.53,-3.1642,2.0808,1914300,32600466.0,1492240000.0,1492240000.0
2019-01-29,'002715,登云股份,16.75,16.83,15.27,16.79,16.83,-0.08,-0.4753,1.6324,1501811,24239493.54,1541000000.0,1541000000.0
2019-01-28,'002715,登云股份,16.83,17.29,16.62,17.12,17.13,-0.3,-1.7513,1.3138,1208700,20366234.0,1548360000.0,1548360000.0
2019-01-25,'002715,登云股份,17.13,17.37,17.02,17.29,17.13,0.0,0.0,1.3432,1235786,21249881.16,1575960000.0,1575960000.0
2019-01-24,'002715,登云股份,17.13,17.75,17.11,17.45,17.61,-0.48,-2.7257,1.7773,1635127,28374656.44,1575960000.0,1575960000.0
2019-01-23,'002715,登云股份,17.61,17.66,16.99,17.6,17.6,0.01,0.0568,2.2681,2086647,36103224.32,1620120000.0,1620120000.0
2019-01-22,'002715,登云股份,17.6,17.8,17.32,17.8,17.88,-0.28,-1.566,2.2557,2075260,36503056.96,1619200000.0,1619200000.0
2019-01-21,'002715,登云股份,17.88,17.94,17.09,17.19,17.19,0.69,4.014,4.0084,3687763,64540791.96,1644960000.0,1644960000.0
2019-01-18,'002715,登云股份,17.19,17.38,16.7,16.95,16.65,0.54,3.2432,3.3368,3069818,52578824.6,1581480000.0,1581480000.0
2019-01-17,'002715,登云股份,16.65,17.17,16.61,17.08,16.9,-0.25,-1.4793,2.0997,1931700,32522253.75,1531800000.0,1531800000.0
2019-01-16,'002715,登云股份,16.9,16.9,16.2,16.34,16.37,0.53,3.2376,2.1644,1991202,33020220.28,1554800000.0,1554800000.0
2019-01-15,'002715,登云股份,16.37,16.38,16.01,16.08,16.16,0.21,1.2995,1.2876,1184603,19269299.94,1506040000.0,1506040000.0
2019-01-14,'002715,登云股份,16.16,16.5,16.06,16.34,16.33,-0.17,-1.041,1.0126,931607,15108961.93,1486720000.0,1486720000.0
2019-01-11,'002715,登云股份,16.33,16.39,16.0,16.2,16.24,0.09,0.5542,1.5239,1402000,22766718.0,1502360000.0,1502360000.0
2019-01-10,'002715,登云股份,16.24,16.75,15.99,16.13,16.43,-0.19,-1.1564,2.3654,2176169,35248788.41,1494080000.0,1494080000.0
2019-01-09,'002715,登云股份,16.43,17.03,16.3,16.4,16.23,0.2,1.2323,3.3738,3103901,51920047.38,1511560000.0,1511560000.0
2019-01-08,'002715,登云股份,16.23,16.45,15.96,16.45,16.45,-0.22,-1.3374,1.2171,1119730,18099222.2,1493160000.0,1493160000.0
2019-01-07,'002715,登云股份,16.45,16.6,16.1,16.23,16.16,0.29,1.7946,1.4838,1365131,22362351.96,1513400000.0,1513400000.0
2019-01-04,'002715,登云股份,16.16,16.3,15.54,15.75,15.76,0.4,2.5381,1.5853,1458501,23342303.41,1486720000.0,1486720000.0
2019-01-03,'002715,登云股份,15.76,16.29,15.7,16.25,16.16,-0.4,-2.4752,1.7409,1601600,25515351.0,1449920000.0,1449920000.0
2019-01-02,'002715,登云股份,16.16,16.7,16.16,16.7,16.55,-0.39,-2.3565,1.0559,971400,15963525.0,1486720000.0,1486720000.0
2018-12-28,'002715,登云股份,16.55,16.85,16.12,16.53,16.6,-0.05,-0.3012,1.6155,1486300,24603090.0,1522600000.0,1522600000.0
2018-12-27,'002715,登云股份,16.6,17.5,16.6,17.5,17.08,-0.48,-2.8103,2.2791,2096800,35608015.0,1527200000.0,1527200000.0
2018-12-26,'002715,登云股份,17.08,17.35,16.22,16.86,16.5,0.58,3.5152,3.7339,3435201,58140336.18,1571360000.0,1571360000.0
2018-12-25,'002715,登云股份,16.5,16.85,15.73,16.85,17.08,-0.58,-3.3958,3.0282,2785971,45336506.45,1518000000.0,1518000000.0
2018-12-24,'002715,登云股份,17.08,17.3,16.78,17.3,17.3,-0.22,-1.2717,2.2686,2087101,35383621.96,1571360000.0,1571360000.0
2018-12-21,'002715,登云股份,17.3,17.36,16.71,16.71,17.14,0.16,0.9335,2.1509,1978871,33831815.55,1591600000.0,1591600000.0
2018-12-20,'002715,登云股份,17.14,17.57,16.81,17.08,17.32,-0.18,-1.0393,2.813,2587976,44437560.94,1576880000.0,1576880000.0
2018-12-19,'002715,登云股份,17.32,17.81,17.02,17.71,17.59,-0.27,-1.535,3.6206,3330973,57651551.4,1593440000.0,1593440000.0
2018-12-18,'002715,登云股份,17.59,18.81,17.2,18.52,19.11,-1.52,-7.954,6.251,5750877,103365548.65,1618280000.0,1618280000.0
2018-12-17,'002715,登云股份,19.11,19.52,18.1,18.94,18.87,0.24,1.2719,6.448,5932146,111317176.68,1758120000.0,1758120000.0
2018-12-14,'002715,登云股份,18.87,19.6,17.78,17.88,18.15,0.72,3.9669,8.2971,7633307,144041144.97,1736040000.0,1736040000.0
2018-12-13,'002715,登云股份,18.15,18.39,17.02,17.74,17.39,0.76,4.3703,6.35,5842045,102943171.8,1669800000.0,1669800000.0
2018-12-12,'002715,登云股份,17.39,18.18,17.2,17.27,18.08,-0.69,-3.8164,8.2334,7574772,133649678.73,1599880000.0,1599880000.0
2018-12-11,'002715,登云股份,18.08,18.21,16.66,16.78,16.55,1.53,9.2447,10.4267,9592552,170068188.35,1663360000.0,1663360000.0
