日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601339,百隆东方,5.34,5.44,5.32,5.37,5.39,-0.05,-0.9276,0.2524,3785700,20378944.0,8010000000.0,8010000000.0
2019-04-25,'601339,百隆东方,5.39,5.55,5.36,5.53,5.53,-0.14,-2.5316,0.2615,3922699,21444535.0,8085000000.0,8085000000.0
2019-04-24,'601339,百隆东方,5.53,5.53,5.41,5.45,5.42,0.11,2.0295,0.2833,4248800,23267424.0,8295000000.0,8295000000.0
2019-04-23,'601339,百隆东方,5.42,5.54,5.4,5.53,5.54,-0.12,-2.1661,0.3589,5383439,29390814.0,8130000000.0,8130000000.0
2019-04-22,'601339,百隆东方,5.54,5.59,5.52,5.54,5.54,0.0,0.0,0.3295,4943138,27457761.0,8310000000.0,8310000000.0
2019-04-19,'601339,百隆东方,5.54,5.59,5.49,5.52,5.51,0.03,0.5445,0.4316,6474682,35815062.0,8310000000.0,8310000000.0
2019-04-18,'601339,百隆东方,5.51,5.67,5.49,5.66,5.7,-0.19,-3.3333,0.7401,11100770,61831459.0,8265000000.0,8265000000.0
2019-04-17,'601339,百隆东方,5.7,5.76,5.68,5.74,5.73,-0.03,-0.5236,0.4011,6016040,34355877.0,8550000000.0,8550000000.0
2019-04-16,'601339,百隆东方,5.73,5.74,5.62,5.65,5.65,0.08,1.4159,0.2949,4423600,25124420.0,8595000000.0,8595000000.0
2019-04-15,'601339,百隆东方,5.65,5.8,5.63,5.74,5.7,-0.05,-0.8772,0.4053,6079702,34867407.0,8475000000.0,8475000000.0
2019-04-12,'601339,百隆东方,5.7,5.83,5.68,5.77,5.79,-0.09,-1.5544,0.4764,7145264,41089987.0,8550000000.0,8550000000.0
2019-04-11,'601339,百隆东方,5.79,5.93,5.74,5.9,5.92,-0.13,-2.1959,0.4907,7360995,43023769.0,8685000000.0,8685000000.0
2019-04-10,'601339,百隆东方,5.92,5.95,5.76,5.82,5.86,0.06,1.0239,0.7236,10853938,63597367.0,8880000000.0,8880000000.0
2019-04-09,'601339,百隆东方,5.86,5.87,5.76,5.83,5.83,0.03,0.5146,0.4845,7268070,42164559.0,8790000000.0,8790000000.0
2019-04-08,'601339,百隆东方,5.83,5.87,5.73,5.84,5.8,0.03,0.5172,0.5943,8914923,51655417.0,8745000000.0,8745000000.0
2019-04-04,'601339,百隆东方,5.8,5.92,5.78,5.87,5.9,-0.1,-1.6949,0.7384,11075862,64592319.0,8700000000.0,8700000000.0
2019-04-03,'601339,百隆东方,5.9,5.91,5.81,5.85,5.88,0.02,0.3401,0.5117,7674868,45048345.0,8850000000.0,8850000000.0
2019-04-02,'601339,百隆东方,5.88,5.92,5.76,5.85,5.81,0.07,1.2048,0.9236,13854735,81075699.0,8820000000.0,8820000000.0
2019-04-01,'601339,百隆东方,5.81,5.91,5.7,5.71,5.71,0.1,1.7513,0.8549,12822915,74198929.0,8715000000.0,8715000000.0
2019-03-29,'601339,百隆东方,5.71,5.74,5.55,5.6,5.61,0.1,1.7825,0.5193,7790127,44138818.0,8565000000.0,8565000000.0
2019-03-28,'601339,百隆东方,5.61,5.77,5.58,5.7,5.75,-0.14,-2.4348,0.4101,6150952,34893598.0,8415000000.0,8415000000.0
2019-03-27,'601339,百隆东方,5.75,5.78,5.53,5.63,5.64,0.11,1.9504,0.5958,8936752,50556638.0,8625000000.0,8625000000.0
2019-03-26,'601339,百隆东方,5.64,5.78,5.55,5.72,5.74,-0.1,-1.7422,0.665,9974454,56323984.0,8460000000.0,8460000000.0
2019-03-25,'601339,百隆东方,5.74,5.98,5.73,5.77,5.87,-0.13,-2.2147,0.7804,11706114,68165258.0,8610000000.0,8610000000.0
2019-03-22,'601339,百隆东方,5.87,5.97,5.7,5.97,6.0,-0.13,-2.1667,1.141,17114959,99619159.0,8805000000.0,8805000000.0
2019-03-21,'601339,百隆东方,6.0,6.08,5.9,6.0,6.03,-0.03,-0.4975,0.8483,12724945,76272555.0,9000000000.0,9000000000.0
2019-03-20,'601339,百隆东方,6.03,6.22,5.88,6.09,6.13,-0.1,-1.6313,1.2173,18259479,110596218.0,9045000000.0,9045000000.0
2019-03-19,'601339,百隆东方,6.13,6.25,5.76,5.78,5.84,0.29,4.9658,1.414,21209463,126616089.0,9195000000.0,9195000000.0
2019-03-18,'601339,百隆东方,5.84,6.02,5.57,5.58,5.47,0.37,6.7642,1.5272,22908349,133592144.0,8760000000.0,8760000000.0
2019-03-15,'601339,百隆东方,5.47,5.52,5.35,5.43,5.43,0.04,0.7366,0.5474,8211358,44714271.0,8205000000.0,8205000000.0
2019-03-14,'601339,百隆东方,5.43,5.75,5.35,5.6,5.56,-0.13,-2.3381,0.792,11880298,65771239.0,8145000000.0,8145000000.0
2019-03-13,'601339,百隆东方,5.56,5.65,5.3,5.36,5.36,0.2,3.7313,0.9618,14426979,79480434.0,8340000000.0,8340000000.0
2019-03-12,'601339,百隆东方,5.36,5.41,5.28,5.35,5.32,0.04,0.7519,0.4835,7252556,38854392.0,8040000000.0,8040000000.0
2019-03-11,'601339,百隆东方,5.32,5.33,5.2,5.22,5.2,0.12,2.3077,0.3454,5180636,27339437.0,7980000000.0,7980000000.0
2019-03-08,'601339,百隆东方,5.2,5.41,5.2,5.41,5.45,-0.25,-4.5872,0.5659,8489000,45090419.0,7800000000.0,7800000000.0
2019-03-07,'601339,百隆东方,5.45,5.49,5.35,5.38,5.41,0.04,0.7394,0.6374,9561128,52021498.0,8175000000.0,8175000000.0
