日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002458,益生股份,26.29,29.21,25.89,27.52,28.6,-2.31,-8.0769,11.682,67001255,1807216392.45,15078466265.4,15078466265.4
2019-04-25,'002458,益生股份,28.6,30.79,27.2,27.5,27.99,0.61,2.1793,15.9517,91489835,2714261026.05,16403352422.6,16403352422.6
2019-04-24,'002458,益生股份,27.99,28.05,25.56,26.41,26.41,1.58,5.9826,9.3445,53594530,1438750299.42,16053490710.1,16053490710.1
2019-04-23,'002458,益生股份,26.41,26.88,24.41,25.4,25.4,1.01,3.9764,8.6747,49752942,1290270663.27,15147291520.3,15147291520.3
2019-04-22,'002458,益生股份,25.4,26.1,24.91,24.91,24.99,0.41,1.6407,5.3276,30556270,780041522.68,14568012291.4,14568012291.4
2019-04-19,'002458,益生股份,24.99,26.3,24.85,25.55,25.98,-0.99,-3.8106,6.0143,34494785,873858076.58,14332859337.1,14332859337.1
2019-04-18,'002458,益生股份,25.98,27.39,25.1,25.55,25.94,0.04,0.1542,7.6811,44054261,1162535254.71,14900667690.2,14900667690.2
2019-04-17,'002458,益生股份,25.94,26.96,24.22,24.49,25.2,0.74,2.9365,9.2984,53330148,1362449866.52,14877725938.5,14877725938.5
2019-04-16,'002458,益生股份,25.2,25.2,23.23,24.75,25.26,-0.06,-0.2375,8.6814,49791728,1207780787.88,14453303533.2,14453303533.2
2019-04-15,'002458,益生股份,25.26,28.39,24.89,27.7,25.81,-0.55,-2.131,12.8413,73650359,1976582320.32,14487716160.7,14487716160.7
2019-04-12,'002458,益生股份,25.81,25.81,23.22,23.4,23.46,2.35,10.0171,5.935,34039649,851419880.98,14803165245.7,14803165245.7
2019-04-11,'002458,益生股份,23.46,24.5,22.01,22.49,22.5,0.96,4.2667,8.047,46153236,1083520997.15,13455337336.9,13455337336.9
2019-04-10,'002458,益生股份,22.5,23.22,21.7,22.38,22.32,0.18,0.8065,5.1638,29616716,672122823.95,12904735297.5,12904735297.5
2019-04-09,'002458,益生股份,22.32,23.58,21.23,23.0,23.35,-1.03,-4.4111,6.5143,37362374,841956108.69,12801497415.1,12801497415.1
2019-04-08,'002458,益生股份,39.89,40.95,38.24,39.46,38.89,1.0,2.5714,7.7616,26185935,1040192949.6,13458036382.9,13458036382.9
2019-04-04,'002458,益生股份,38.89,39.5,38.25,39.4,39.35,-0.46,-1.169,5.7748,19483082,757773816.47,13120657681.9,13120657681.9
2019-04-03,'002458,益生股份,39.35,39.78,37.0,38.15,38.82,0.53,1.3653,6.3013,21259325,819427885.02,13275851884.4,13275851884.4
2019-04-02,'002458,益生股份,38.82,40.66,38.16,39.1,38.7,0.12,0.3101,9.3272,31468101,1245302490.8,13097041172.8,13097041172.8
2019-04-01,'002458,益生股份,38.7,38.7,36.3,36.8,35.18,3.52,10.0057,7.8451,26467851,1003266308.02,13056555728.7,13056555728.7
2019-03-29,'002458,益生股份,35.18,35.74,33.43,33.88,33.75,1.43,4.237,7.3068,24651545,855521981.48,11868982701.2,11868982701.2
2019-03-28,'002458,益生股份,33.75,34.82,32.88,33.32,35.1,-1.35,-3.8462,8.1271,27419001,921904828.42,11386531158.8,11386531158.8
2019-03-27,'002458,益生股份,35.1,39.0,35.1,39.0,39.0,-3.9,-10.0,8.4774,28600815,1019805433.2,11841992405.1,11841992405.1
2019-03-26,'002458,益生股份,39.0,41.48,38.56,40.9,41.03,-2.03,-4.9476,5.438,18346514,735706021.07,13157769339.0,13157769339.0
2019-03-25,'002458,益生股份,41.03,41.67,38.51,38.6,40.39,0.64,1.5846,5.9147,19954853,805056526.11,13842648102.0,13842648102.0
2019-03-22,'002458,益生股份,40.39,42.48,39.1,42.07,42.92,-2.53,-5.8947,6.9653,23499457,952928524.34,13626725733.4,13626725733.4
2019-03-21,'002458,益生股份,42.92,44.29,39.45,39.75,40.26,2.66,6.6071,9.2194,31104303,1293777689.71,14480293846.9,14480293846.9
2019-03-20,'002458,益生股份,40.26,40.8,38.38,40.54,41.1,-0.84,-2.0438,7.6604,25844580,1016452200.03,13582866502.3,13582866502.3
2019-03-19,'002458,益生股份,41.1,41.44,38.75,39.58,40.25,0.85,2.1118,7.5644,25520842,1025145137.43,13866264611.1,13866264611.1
2019-03-18,'002458,益生股份,40.25,43.25,38.3,43.0,42.55,-2.3,-5.4054,10.2175,34471779,1347992442.86,13579492715.2,13579492715.2
2019-03-15,'002458,益生股份,42.55,44.88,41.88,44.03,43.45,-0.9,-2.0713,5.6009,18896333,814238547.4,14355463727.5,14355463727.5
2019-03-14,'002458,益生股份,43.45,46.45,43.45,45.71,48.28,-4.83,-10.0041,6.1199,20647343,916281665.6,14659104558.5,14659104558.5
2019-03-13,'002458,益生股份,48.28,54.78,45.0,53.5,49.8,-1.52,-3.0522,9.1269,30792201,1577799568.74,16288643684.3,16288643684.3
2019-03-12,'002458,益生股份,49.8,49.8,46.0,46.0,45.27,4.53,10.0066,2.9256,9870432,476049468.85,16801459309.8,16801459309.8
2019-03-11,'002458,益生股份,45.27,45.27,41.55,43.25,41.15,4.12,10.0122,7.5947,25622943,1125762997.04,15273133794.3,15273133794.3
2019-03-08,'002458,益生股份,41.15,44.0,39.1,39.1,41.26,-0.11,-0.2666,7.667,25866751,1086229801.6,13883133546.1,13883133546.1
2019-03-07,'002458,益生股份,41.26,43.42,40.01,40.9,41.3,-0.04,-0.0969,8.0333,27102761,1131094319.17,13920245203.3,13920245203.3
2019-03-06,'002458,益生股份,41.3,41.97,38.88,39.8,42.8,-1.5,-3.5047,10.7055,36118152,1451964209.2,13933740351.3,13933740351.3
2019-03-05,'002458,益生股份,42.8,44.62,40.05,40.05,40.9,1.9,4.6455,8.4508,28511188,1207135997.32,14439808402.8,14439808402.8
2019-03-04,'002458,益生股份,40.9,40.9,38.11,38.64,37.18,3.72,10.0054,5.7199,19297692,777012791.95,13798788870.9,13798788870.9
2019-03-01,'002458,益生股份,37.18,37.18,33.86,34.1,33.8,3.38,10.0,5.3965,18206653,658678615.46,12543740103.2,12543740103.2
2019-02-28,'002458,益生股份,33.8,34.36,32.8,33.1,33.42,0.38,1.137,4.3094,14539059,487418276.88,11403400093.8,11403400093.8
2019-02-27,'002458,益生股份,33.42,37.2,32.0,36.99,34.79,-1.37,-3.9379,9.1941,31018898,1064502919.96,11275196187.4,11275196187.4
2019-02-26,'002458,益生股份,34.79,34.79,31.06,31.06,31.63,3.16,9.9905,5.0041,16882744,566734555.98,11737405007.8,11737405007.8
2019-02-25,'002458,益生股份,31.63,32.88,28.88,29.1,29.9,1.73,5.786,8.0078,27016537,838251889.04,10671288312.6,10671288312.6
2019-02-22,'002458,益生股份,29.9,31.31,27.75,28.7,28.63,1.27,4.4359,8.4846,28625185,839515485.34,10087623159.9,10087623159.9
