日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600392,盛和资源,10.52,11.1,10.5,10.97,11.09,-0.57,-5.1398,2.6366,37815754,405014278.0,18464357544.8,15088545143.0
2019-04-25,'600392,盛和资源,11.09,11.61,11.08,11.25,11.3,-0.21,-1.8584,2.9341,42082392,479486232.0,19464802773.0,15906080383.7
2019-04-24,'600392,盛和资源,11.3,11.38,11.1,11.32,11.39,-0.09,-0.7902,1.3492,19351369,217520740.0,19833387857.1,16207277577.6
2019-04-23,'600392,盛和资源,11.39,11.55,11.02,11.25,11.2,0.19,1.6964,2.5083,35976359,406015201.0,19991352893.1,16336362089.3
2019-04-22,'600392,盛和资源,11.2,11.59,11.18,11.51,11.46,-0.26,-2.2688,1.8436,26442871,299522856.0,19657871150.4,16063850342.4
2019-04-19,'600392,盛和资源,11.46,11.48,11.05,11.3,11.34,0.12,1.0582,2.0152,28902951,326276355.0,20114214587.8,16436761153.9
2019-04-18,'600392,盛和资源,11.34,11.55,11.31,11.42,11.42,-0.08,-0.7005,1.6142,23152709,264419437.0,19903594539.8,16264648471.7
2019-04-17,'600392,盛和资源,11.42,11.69,11.35,11.56,11.56,-0.14,-1.2111,2.1108,30274310,348296759.0,20044007905.1,16379390259.8
2019-04-16,'600392,盛和资源,11.56,11.58,11.0,11.05,11.22,0.34,3.0303,2.6424,37898913,432450004.0,20289731294.5,16580188389.1
2019-04-15,'600392,盛和资源,11.22,11.74,11.18,11.65,11.5,-0.28,-2.4348,2.7373,39260374,450963490.0,19692974491.7,16092535789.4
2019-04-12,'600392,盛和资源,11.5,11.67,11.36,11.55,11.53,-0.03,-0.2602,1.9366,27775678,319740947.0,20184421270.5,16494132048.0
2019-04-11,'600392,盛和资源,11.53,11.97,11.52,11.83,11.75,-0.22,-1.8723,2.4339,34908697,411194101.0,20237076282.5,16537160218.6
2019-04-10,'600392,盛和资源,11.75,11.9,11.57,11.8,11.96,-0.21,-1.7559,2.6289,37706184,441895405.0,20623213037.2,16852700136.0
2019-04-09,'600392,盛和资源,11.96,12.39,11.82,12.32,12.51,-0.55,-4.3965,3.9836,57135853,687819013.0,20991798121.3,17153897329.9
