日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603026,石大胜华,34.2,36.48,34.04,36.37,36.0,-1.8,-5.0,5.6273,11405341,398220328.0,6931656000.0,6931656000.0
2019-04-25,'603026,石大胜华,36.0,38.4,36.0,36.81,37.0,-1.0,-2.7027,3.9002,7904827,295249255.0,7296480000.0,7296480000.0
2019-04-24,'603026,石大胜华,37.0,38.57,35.67,38.5,39.63,-2.63,-6.6364,7.0542,14297377,525031120.0,7499160000.0,7499160000.0
2019-04-23,'603026,石大胜华,39.63,40.97,38.51,40.65,40.65,-1.02,-2.5092,3.3218,6732601,266039253.0,8032208400.0,8032208400.0
2019-04-22,'603026,石大胜华,40.65,41.6,38.63,39.7,39.51,1.14,2.8853,4.4963,9113146,364353874.0,8238942000.0,8238942000.0
2019-04-19,'603026,石大胜华,39.51,39.91,37.8,38.47,37.99,1.52,4.0011,5.1991,10537516,409552777.0,8007886800.0,8007886800.0
2019-04-18,'603026,石大胜华,37.99,39.98,37.88,39.8,40.22,-2.23,-5.5445,5.8489,11854455,460074544.0,7699813200.0,7699813200.0
2019-04-17,'603026,石大胜华,40.22,41.65,38.02,38.4,38.64,1.58,4.089,6.6278,13433220,529538617.0,8151789600.0,8151789600.0
2019-04-16,'603026,石大胜华,38.64,39.28,37.29,37.88,38.37,0.27,0.7037,3.9518,8009455,307407553.0,7831555200.0,7831555200.0
2019-04-15,'603026,石大胜华,38.37,39.3,37.88,38.55,37.55,0.82,2.1838,4.1718,8455436,326606612.0,7776831600.0,7776831600.0
2019-04-12,'603026,石大胜华,37.55,38.96,37.0,37.55,37.68,-0.13,-0.345,4.0326,8173323,310790562.0,7610634000.0,7610634000.0
2019-04-11,'603026,石大胜华,37.68,41.0,37.42,41.0,41.58,-3.9,-9.3795,6.4605,13094180,509117040.0,7636982400.0,7636982400.0
2019-04-10,'603026,石大胜华,41.58,42.05,38.25,39.2,39.15,2.43,6.2069,5.516,11179866,445851341.0,8427434400.0,8427434400.0
