日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300070,碧水源,8.78,9.14,8.77,9.05,9.04,-0.26,-2.8761,1.2824,40040409,357868053.41,27661484244.5,27414835044.6
2019-04-25,'300070,碧水源,9.04,9.53,9.0,9.34,9.35,-0.31,-3.3155,1.4188,44301123,411590764.67,28480617035.4,28226663872.8
2019-04-24,'300070,碧水源,9.35,9.38,9.15,9.19,9.15,0.2,2.1858,1.0308,32185456,298488199.61,29457275362.9,29194613629.5
2019-04-23,'300070,碧水源,9.15,9.44,9.13,9.4,9.45,-0.3,-3.1746,1.188,37094756,342671405.19,28827173216.1,28570129915.5
2019-04-22,'300070,碧水源,9.45,9.66,9.41,9.65,9.68,-0.23,-2.376,1.4871,46433170,443276542.04,29772326436.3,29506855486.5
2019-04-19,'300070,碧水源,9.68,9.7,9.18,9.31,9.34,0.34,3.6403,2.3784,74262099,707408004.41,30496943905.1,30225011757.6
2019-04-18,'300070,碧水源,9.34,9.48,9.27,9.48,9.47,-0.13,-1.3728,1.1787,36805439,344262548.68,29425770255.6,29163389443.8
2019-04-17,'300070,碧水源,9.47,9.57,9.31,9.38,9.37,0.1,1.0672,1.6584,51783607,488962908.71,29835336651.0,29569303857.9
2019-04-16,'300070,碧水源,9.37,9.39,9.02,9.06,9.17,0.2,2.181,1.1347,35429805,327910701.22,29520285577.6,29257062000.9
2019-04-15,'300070,碧水源,9.17,9.48,9.16,9.4,9.32,-0.15,-1.6094,0.9438,29469245,275745092.84,28890183430.8,28632578286.9
2019-04-12,'300070,碧水源,9.32,9.36,9.1,9.19,9.16,0.16,1.7467,1.1331,35379875,326811457.91,29362760040.9,29100941072.4
2019-04-11,'300070,碧水源,9.16,9.47,9.12,9.42,9.41,-0.25,-2.6567,1.2806,39985326,371332141.91,28858678323.4,28601354101.2
2019-04-10,'300070,碧水源,9.41,9.64,9.35,9.64,9.88,-0.47,-4.7571,2.1973,68607450,649427729.95,29646306006.9,29381958743.7
2019-04-09,'300070,碧水源,9.88,9.93,9.63,9.71,9.8,0.08,0.8163,1.5184,47410661,464972440.86,31127046051.9,30849495471.6
2019-04-08,'300070,碧水源,9.8,10.16,9.6,9.95,9.85,-0.05,-0.5076,2.4167,75458940,748925270.51,30875005193.2,30599701986.0
2019-04-04,'300070,碧水源,9.85,9.89,9.67,9.7,9.68,0.17,1.7562,1.9577,61127866,597069762.91,31032530729.9,30755822914.5
2019-04-03,'300070,碧水源,9.68,9.68,9.47,9.56,9.57,0.11,1.1494,1.1614,36263979,347384062.06,30496943905.1,30225011757.6
2019-04-02,'300070,碧水源,9.57,9.73,9.53,9.68,9.65,-0.08,-0.829,1.5423,48157626,463861061.98,30150387724.4,29881545714.9
2019-04-01,'300070,碧水源,9.65,9.68,9.39,9.4,9.38,0.27,2.8785,1.7688,55228508,529266043.79,30402428583.1,30131339200.5
2019-03-29,'300070,碧水源,9.38,9.4,8.99,9.03,9.07,0.31,3.4179,1.2563,39227668,362140227.69,29551790684.9,29288286186.6
2019-03-28,'300070,碧水源,9.07,9.28,9.02,9.15,9.21,-0.14,-1.5201,0.8245,25743680,235445631.82,28575132357.4,28320336429.9
2019-03-27,'300070,碧水源,9.21,9.26,9.07,9.23,9.16,0.05,0.5459,0.9248,28876667,264781100.04,29016203860.1,28757475029.7
2019-03-26,'300070,碧水源,9.16,9.66,9.1,9.58,9.53,-0.37,-3.8825,1.3861,43279431,404558417.03,28858678323.4,28601354101.2
2019-03-25,'300070,碧水源,9.53,9.79,9.51,9.62,9.87,-0.34,-3.4448,1.3916,43451995,418785165.59,30024367295.0,29756648972.1
2019-03-22,'300070,碧水源,9.87,9.95,9.63,9.92,9.9,-0.03,-0.303,1.487,46429238,455134425.0,31095540944.6,30818271285.9
2019-03-21,'300070,碧水源,9.9,9.98,9.7,9.74,9.74,0.16,1.6427,2.3774,74232011,733229470.68,31190056266.6,30911943843.0
2019-03-20,'300070,碧水源,9.74,9.79,9.37,9.79,9.79,-0.05,-0.5107,1.6934,52876300,508258157.29,30685974549.2,30412356871.8
2019-03-19,'300070,碧水源,9.79,9.96,9.69,9.83,9.79,0.0,0.0,1.5007,46857389,460427607.17,30843500085.9,30568477800.3
2019-03-18,'300070,碧水源,9.79,9.79,9.52,9.61,9.55,0.24,2.5131,1.53,47774136,461110232.53,30843500085.9,30568477800.3
2019-03-15,'300070,碧水源,9.55,9.7,9.42,9.54,9.46,0.09,0.9514,1.2833,40068812,383355035.24,30087377509.7,29819097343.5
2019-03-14,'300070,碧水源,9.46,9.92,9.31,9.72,9.8,-0.34,-3.4694,1.7306,54037457,516748218.84,29803831543.6,29538079672.2
2019-03-13,'300070,碧水源,9.8,10.13,9.66,10.02,10.02,-0.22,-2.1956,2.1837,68183089,674926975.83,30875005193.2,30599701986.0
2019-03-12,'300070,碧水源,10.02,10.22,9.72,9.95,9.8,0.22,2.2449,3.0438,95039309,951738029.65,31568117554.7,31286634071.4
2019-03-11,'300070,碧水源,9.8,9.81,9.38,9.49,9.35,0.45,4.8128,2.1628,67532235,649477121.92,30875005193.2,30599701986.0
2019-03-08,'300070,碧水源,9.35,10.08,9.33,9.94,10.14,-0.79,-7.7909,2.9052,90711109,886391599.68,29457275362.9,29194613629.5
2019-03-07,'300070,碧水源,10.14,10.35,10.02,10.3,10.39,-0.25,-2.4062,2.9115,90908192,925351143.01,31946178842.8,31661324299.8
2019-03-06,'300070,碧水源,10.39,10.72,10.11,10.5,10.5,-0.11,-1.0476,3.1165,97308898,1006873948.95,32733806526.3,32441928942.3
2019-03-05,'300070,碧水源,10.5,10.57,10.2,10.3,10.48,0.02,0.1908,3.2194,100522460,1042522046.26,33080362707.0,32785394985.0
2019-03-04,'300070,碧水源,10.48,10.48,9.61,9.62,9.53,0.95,9.9685,4.0299,125829908,1291084129.59,33017352492.3,32722946613.6
2019-03-01,'300070,碧水源,9.53,9.65,9.35,9.55,9.38,0.15,1.5991,1.5225,47537891,451144986.38,30024367295.0,29756648972.1
2019-02-28,'300070,碧水源,9.38,9.56,9.25,9.35,9.4,-0.02,-0.2128,1.227,38311610,359782310.02,29551790684.9,29288286186.6
2019-02-27,'300070,碧水源,9.4,9.65,9.21,9.42,9.52,-0.12,-1.2605,1.7886,55846964,527231193.78,29614800899.6,29350734558.0
2019-02-26,'300070,碧水源,9.52,9.77,9.02,9.13,9.14,0.38,4.1575,3.3681,105167320,991948929.57,29992862187.7,29725424786.4
2019-02-25,'300070,碧水源,9.14,9.18,8.47,8.58,8.44,0.7,8.2938,2.7135,84727237,745798798.34,28795668108.8,28538905729.8
2019-02-22,'300070,碧水源,8.44,8.44,8.16,8.18,8.22,0.22,2.6764,1.269,39624719,329703598.84,26590310595.0,26353212730.8
2019-02-21,'300070,碧水源,8.22,8.45,8.18,8.3,8.34,-0.12,-1.4388,1.2886,40234154,334761471.0,25897198233.5,25666280645.4
