日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600613,神奇制药,7.34,7.66,7.34,7.55,7.5,-0.16,-2.1333,1.0561,5062223,37585287.0,3920085749.52,3518208638.52
2019-04-25,'600613,神奇制药,7.5,7.95,7.45,7.95,7.93,-0.43,-5.4224,1.3257,6354461,48852964.0,4005537210.0,3594899835.0
2019-04-24,'600613,神奇制药,7.93,7.94,7.72,7.82,7.76,0.17,2.1907,1.1649,5583463,43670880.0,4235188010.04,3801007425.54
2019-04-23,'600613,神奇制药,7.76,8.0,7.66,7.93,7.96,-0.2,-2.5126,1.6827,8065323,62784930.0,4144395833.28,3719523029.28
2019-04-22,'600613,神奇制药,7.96,8.12,7.96,8.1,8.08,-0.12,-1.4851,1.1939,5722431,45947102.0,4251210158.88,3815387024.88
2019-04-19,'600613,神奇制药,8.08,8.09,7.9,8.05,8.04,0.04,0.4975,1.5562,7459111,59596652.0,4315298754.24,3872905422.24
2019-04-18,'600613,神奇制药,8.04,8.11,7.98,8.08,8.13,-0.09,-1.107,1.7094,8193440,65730638.0,4293935889.12,3853732623.12
2019-04-17,'600613,神奇制药,8.13,8.19,7.97,8.1,8.1,0.03,0.3704,2.1314,10216168,82559893.0,4342002335.64,3896871421.14
2019-04-16,'600613,神奇制药,8.1,8.11,7.92,8.0,7.97,0.13,1.6311,2.1243,10182100,81806510.0,4325980186.8,3882491821.8
2019-04-15,'600613,神奇制药,7.97,8.27,7.93,8.02,8.15,-0.18,-2.2086,3.0581,14658310,118663555.0,4256550875.16,3820180224.66
2019-04-12,'600613,神奇制药,8.15,8.43,8.15,8.26,9.05,-0.9,-9.9448,6.4139,30742994,252974382.0,4352683768.2,3906457820.7
2019-04-11,'600613,神奇制药,9.05,10.29,8.91,9.99,9.37,-0.32,-3.4152,10.2135,48955239,475349053.0,4833348233.4,4337845800.9
2019-04-10,'600613,神奇制药,9.37,9.37,8.5,8.58,8.52,0.85,9.9765,6.1837,29639941,269707134.0,5004251154.36,4491228193.86
2019-04-09,'600613,神奇制药,8.52,8.69,8.28,8.28,8.3,0.22,2.6506,2.4393,11692090,99639362.0,4550290270.56,4083806212.56
2019-04-08,'600613,神奇制药,8.3,8.73,8.17,8.53,8.58,-0.28,-3.2634,2.3118,11080904,93343049.0,4432794512.4,3978355817.4
2019-04-04,'600613,神奇制药,8.58,8.77,8.5,8.57,8.68,-0.1,-1.1521,2.3128,11085490,95343396.0,4582334568.24,4112565411.24
2019-04-03,'600613,神奇制药,8.68,8.7,8.43,8.62,8.71,-0.03,-0.3444,2.9254,14022246,119954064.0,4635741731.04,4160497409.04
2019-04-02,'600613,神奇制药,8.71,8.89,8.41,8.59,8.57,0.14,1.6336,4.5656,21883876,190546401.0,4651763879.88,4174877008.38
2019-04-01,'600613,神奇制药,8.57,8.65,8.3,8.45,8.35,0.22,2.6347,3.8072,18248478,154714812.0,4576993851.96,4107772211.46
2019-03-29,'600613,神奇制药,8.35,8.35,7.92,8.04,8.02,0.33,4.1147,3.3218,15921893,130556410.0,4459498093.8,4002321816.3
2019-03-28,'600613,神奇制药,8.02,8.25,7.92,8.25,8.25,-0.23,-2.7879,2.1225,10173342,81964988.0,4283254456.56,3844146223.56
2019-03-27,'600613,神奇制药,8.25,8.26,8.01,8.04,8.01,0.24,2.9963,2.5279,12116839,98742957.0,4406090931.0,3954389818.5
2019-03-26,'600613,神奇制药,8.01,8.67,7.91,8.5,8.53,-0.52,-6.0961,3.8503,18455288,151503585.0,4277913740.28,3839353023.78
2019-03-25,'600613,神奇制药,8.53,8.82,8.42,8.45,8.68,-0.15,-1.7281,2.8054,13446885,116035774.0,4555630986.84,4088599412.34
2019-03-22,'600613,神奇制药,8.68,8.82,8.52,8.8,9.03,-0.35,-3.876,4.3959,21070293,182321759.0,4635741731.04,4160497409.04
2019-03-21,'600613,神奇制药,9.03,9.39,8.79,8.8,8.99,0.04,0.4449,5.9445,28493146,259023271.0,4822666800.84,4328259401.34
2019-03-20,'600613,神奇制药,8.99,9.1,8.54,8.61,8.61,0.38,4.4135,5.4915,26322023,232484050.0,4801303935.72,4309086602.22
2019-03-19,'600613,神奇制药,8.61,8.74,8.35,8.47,8.71,-0.1,-1.1481,3.6635,17559682,150340737.0,4598356717.08,4126945010.58
2019-03-18,'600613,神奇制药,8.71,8.87,8.2,8.87,9.02,-0.31,-3.4368,4.8725,23354951,198908569.0,4651763879.88,4174877008.38
2019-03-15,'600613,神奇制药,9.02,9.39,8.8,8.8,9.39,-0.37,-3.9404,5.914,28347207,256168263.0,4817326084.56,4323466201.56
2019-03-14,'600613,神奇制药,9.39,10.25,9.39,9.96,10.43,-1.04,-9.9712,5.5063,26392832,253691181.0,5014932586.92,4500814593.42
2019-03-13,'600613,神奇制药,10.43,10.43,8.8,9.18,9.48,0.95,10.0211,11.4327,54799344,539419280.0,5570367080.04,4999307370.54
2019-03-12,'600613,神奇制药,9.48,9.62,8.86,9.08,9.09,0.39,4.2904,7.6596,36713823,342374346.0,5062999033.44,4543953391.44
2019-03-11,'600613,神奇制药,9.09,9.99,9.0,9.51,10.0,-0.91,-9.1,8.2484,39536458,361882173.0,4854711098.52,4357018600.02
2019-03-08,'600613,神奇制药,10.0,11.01,9.01,10.0,10.01,-0.01,-0.0999,12.9876,62252369,627072502.0,5340716280.0,4793199780.0
2019-03-07,'600613,神奇制药,10.01,10.01,9.93,10.01,9.1,0.91,10.0,2.2384,10729275,107373507.0,5346056996.28,4797992979.78
2019-03-06,'600613,神奇制药,9.1,9.1,8.5,8.7,8.27,0.83,10.0363,6.7205,32212831,284462497.0,4860051814.8,4361811799.8
2019-03-05,'600613,神奇制药,8.27,8.27,7.77,8.05,7.52,0.75,9.9734,9.9653,47765603,384886945.0,4416772363.56,3963976218.06
2019-03-04,'600613,神奇制药,7.52,7.52,7.1,7.24,6.84,0.68,9.9415,3.7055,17761154,131089361.0,4016218642.56,3604486234.56
2019-03-01,'600613,神奇制药,6.84,6.84,6.45,6.58,6.22,0.62,9.9678,6.1182,29325595,196780872.0,3653049935.52,3278548649.52
2019-02-28,'600613,神奇制药,6.22,6.22,5.64,5.65,5.65,0.57,10.0885,1.8597,8913722,55029589.0,3321925526.16,2981370263.16
2019-02-27,'600613,神奇制药,5.65,5.77,5.61,5.65,5.67,-0.02,-0.3527,0.8446,4048504,23065962.0,3017504698.2,2708157875.7
2019-02-26,'600613,神奇制药,5.67,5.85,5.6,5.73,5.7,-0.03,-0.5263,1.4779,7083958,40659866.0,3028186130.76,2717744275.26
2019-02-25,'600613,神奇制药,5.7,5.71,5.46,5.48,5.46,0.24,4.3956,1.1924,5715650,32054529.0,3044208279.6,2732123874.6
2019-02-22,'600613,神奇制药,5.46,5.5,5.31,5.32,5.35,0.11,2.0561,0.7747,3713233,20151314.0,2916031088.88,2617087079.88
2019-02-21,'600613,神奇制药,5.35,5.43,5.32,5.36,5.38,-0.03,-0.5576,0.7351,3523700,18982826.0,2857283209.8,2564361882.3
2019-02-20,'600613,神奇制药,5.38,5.4,5.3,5.35,5.35,0.03,0.5607,0.5298,2539674,13569931.0,2873305358.64,2578741481.64
2019-02-19,'600613,神奇制药,5.35,5.41,5.31,5.35,5.35,0.0,0.0,0.7578,3632500,19490135.0,2857283209.8,2564361882.3
2019-02-18,'600613,神奇制药,5.35,5.36,5.23,5.25,5.23,0.12,2.2945,0.6437,3085469,16403252.0,2857283209.8,2564361882.3
2019-02-15,'600613,神奇制药,5.23,5.24,5.18,5.2,5.18,0.05,0.9653,0.3766,1805281,9389471.0,2793194614.44,2506843484.94
2019-02-14,'600613,神奇制药,5.18,5.22,5.14,5.21,5.19,-0.01,-0.1927,0.3407,1632900,8448926.0,2766491033.04,2482877486.04
2019-02-13,'600613,神奇制药,5.19,5.22,5.11,5.17,5.17,0.02,0.3868,0.3755,1799809,9314319.0,2771831749.32,2487670685.82
2019-02-12,'600613,神奇制药,5.17,5.19,5.07,5.07,5.05,0.12,2.3762,0.4368,2093616,10758033.0,2761150316.76,2478084286.26
2019-02-11,'600613,神奇制药,5.05,5.07,4.88,4.91,4.87,0.18,3.6961,0.4102,1966202,9844387.0,2697061721.4,2420565888.9
2019-02-01,'600613,神奇制药,4.87,4.88,4.71,4.77,4.73,0.14,2.9598,0.2413,1156600,5574989.0,2600928828.36,2334288292.86
2019-01-31,'600613,神奇制药,4.73,4.92,4.7,4.88,4.88,-0.15,-3.0738,0.3649,1749203,8415007.0,2526158800.44,2267183495.94
2019-01-30,'600613,神奇制药,4.88,4.98,4.86,4.93,4.96,-0.08,-1.6129,0.1721,824930,4049325.0,2606269544.64,2339081492.64
2019-01-29,'600613,神奇制药,4.96,5.08,4.89,5.08,5.12,-0.16,-3.125,0.3282,1572912,7816847.0,2648995274.88,2377427090.88
2019-01-28,'600613,神奇制药,5.12,5.22,5.1,5.13,5.1,0.02,0.3922,0.3379,1619400,8347969.0,2734446735.36,2454118287.36
2019-01-25,'600613,神奇制药,5.1,5.21,5.1,5.21,5.21,-0.11,-2.1113,0.2101,1006900,5185148.0,2723765302.8,2444531887.8
2019-01-24,'600613,神奇制药,5.21,5.23,5.12,5.12,5.12,0.09,1.7578,0.2663,1276622,6604183.0,2782513181.88,2497257085.38
2019-01-23,'600613,神奇制药,5.12,5.15,5.08,5.11,5.13,-0.01,-0.1949,0.1996,956740,4893802.0,2734446735.36,2454118287.36
2019-01-22,'600613,神奇制药,5.13,5.28,5.12,5.28,5.2,-0.07,-1.3462,0.2197,1053193,5446225.0,2739787451.64,2458911487.14
2019-01-21,'600613,神奇制药,5.2,5.27,5.17,5.21,5.18,0.02,0.3861,0.2634,1262620,6600131.0,2777172465.6,2492463885.6
2019-01-18,'600613,神奇制药,5.18,5.23,5.12,5.12,5.11,0.07,1.3699,0.2131,1021281,5287962.0,2766491033.04,2482877486.04
2019-01-17,'600613,神奇制药,5.11,5.19,5.11,5.14,5.14,-0.03,-0.5837,0.2715,1301119,6702033.0,2729106019.08,2449325087.58
