日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000555,神州信息,13.59,13.84,12.6,12.67,12.85,0.74,5.7588,4.0706,38308476,515446063.57,13093031000.1,12789490685.3
2019-04-25,'000555,神州信息,12.85,13.58,12.84,13.44,13.66,-0.81,-5.9297,2.2978,21624580,287083064.52,12380091858.0,12093079860.6
2019-04-24,'000555,神州信息,13.66,13.78,12.7,12.9,12.99,0.67,5.1578,3.2382,30474944,405480693.74,13160471189.2,12855367384.9
2019-04-23,'000555,神州信息,12.99,13.13,12.49,12.88,12.95,0.04,0.3089,1.7524,16492098,210320636.76,12514972236.3,12224833259.9
2019-04-22,'000555,神州信息,12.95,13.41,12.84,13.41,13.3,-0.35,-2.6316,1.5308,14406367,188758365.88,12476434985.4,12187189431.5
2019-04-19,'000555,神州信息,13.3,13.3,12.9,13.08,13.07,0.23,1.7598,1.4033,13206811,172935494.11,12813635930.9,12516572929.7
2019-04-18,'000555,神州信息,13.07,13.35,13.0,13.3,13.31,-0.24,-1.8032,1.4627,13765600,180924542.0,12592046738.1,12300120916.6
2019-04-17,'000555,神州信息,13.31,13.55,13.21,13.45,13.45,-0.14,-1.0409,1.7644,16604420,221860732.36,12823270243.6,12525983886.8
2019-04-16,'000555,神州信息,13.45,13.48,12.81,12.9,13.1,0.35,2.6718,2.361,22219693,292965230.63,12958150621.9,12657737286.0
2019-04-15,'000555,神州信息,13.1,13.82,13.07,13.2,12.88,0.22,1.7081,2.6657,25086412,336684973.85,12620949676.3,12328353787.9
2019-04-12,'000555,神州信息,12.88,13.02,12.74,12.87,12.87,0.01,0.0777,1.0723,10091401,129979693.85,12408994796.2,12121312731.9
2019-04-11,'000555,神州信息,12.87,13.16,12.85,13.05,13.05,-0.18,-1.3793,1.313,12356467,160605190.68,12399360483.5,12111901774.8
2019-04-10,'000555,神州信息,13.05,13.2,12.88,13.19,13.26,-0.21,-1.5837,1.5164,14270346,186368449.23,12572778112.6,12281299002.5
2019-04-09,'000555,神州信息,13.26,13.52,13.02,13.1,13.22,0.04,0.3026,1.6062,15115924,200719104.87,12775098680.0,12478929101.3
2019-04-08,'000555,神州信息,13.22,13.9,12.8,13.82,14.09,-0.87,-6.1746,3.9856,37508039,500777033.0,12736561429.1,12441285273.0
2019-04-04,'000555,神州信息,14.09,14.46,13.73,13.91,13.94,0.15,1.076,2.8345,26674902,376147553.83,13574746636.6,13260038539.8
2019-04-03,'000555,神州信息,13.94,14.12,13.7,13.71,13.92,0.02,0.1437,2.1162,19915227,276329092.08,13430231945.6,13118874183.5
2019-04-02,'000555,神州信息,13.92,14.25,13.69,13.75,13.79,0.13,0.9427,3.8351,36091537,505398207.58,13410963320.2,13100052269.3
2019-04-01,'000555,神州信息,13.79,13.85,13.18,13.19,13.13,0.66,5.0267,3.237,30463373,414843716.4,13285717254.7,12977709827.1
2019-03-29,'000555,神州信息,13.13,13.19,12.2,12.62,12.97,0.16,1.2336,3.4827,32775837,417558366.26,12649852614.5,12356586659.2
2019-03-28,'000555,神州信息,12.97,13.75,12.96,13.6,12.93,0.04,0.3094,3.6268,34131900,458891426.57,12495703610.8,12206011345.7
2019-03-27,'000555,神州信息,12.93,13.35,12.7,13.14,13.19,-0.26,-1.9712,2.0754,19531237,252639117.15,12457166359.9,12168367517.4
2019-03-26,'000555,神州信息,13.19,13.84,13.15,13.58,13.58,-0.39,-2.8719,2.3779,22378179,302290763.77,12707658490.9,12413052401.7
2019-03-25,'000555,神州信息,13.58,13.96,13.4,13.5,14.09,-0.51,-3.6196,2.4488,23045932,315040342.22,13083396687.3,12780079728.2
2019-03-22,'000555,神州信息,14.09,14.18,13.51,14.03,13.94,0.15,1.076,2.8473,26795419,371563019.35,13574746636.6,13260038539.8
2019-03-21,'000555,神州信息,13.94,14.11,13.5,13.59,13.61,0.33,2.4247,3.3501,31527489,437437794.94,13430231945.6,13118874183.5
2019-03-20,'000555,神州信息,13.61,13.8,13.21,13.8,13.84,-0.23,-1.6618,2.5077,23599400,318855639.73,13112299625.5,12808312599.5
2019-03-19,'000555,神州信息,13.84,14.05,13.5,13.79,13.55,0.29,2.1402,2.8465,26788219,369476092.75,13333888818.3,13024764612.6
2019-03-18,'000555,神州信息,13.55,13.6,13.21,13.33,13.31,0.24,1.8032,2.4326,22893172,307100614.04,13054493749.1,12751846857.0
2019-03-15,'000555,神州信息,13.31,13.59,13.01,13.41,13.22,0.09,0.6808,2.9747,27995032,373835166.08,12823270243.6,12525983886.8
2019-03-14,'000555,神州信息,13.22,13.88,12.86,13.57,14.03,-0.81,-5.7733,3.765,35432113,470792814.12,12736561429.1,12441285273.0
2019-03-13,'000555,神州信息,14.03,15.6,13.77,15.6,14.8,-0.77,-5.2027,5.5706,52424542,775154102.2,13516940760.2,13203572797.3
2019-03-12,'000555,神州信息,14.8,14.98,13.81,14.13,14.08,0.72,5.1136,5.1017,48011817,692147509.61,14258782840.4,13928216493.2
2019-03-11,'000555,神州信息,14.08,14.5,13.52,14.02,13.3,0.78,5.8647,4.3942,41353982,574962040.6,13565112323.8,13250627582.7
2019-03-08,'000555,神州信息,13.3,14.78,12.75,13.0,13.52,-0.22,-1.6272,5.5805,52517963,724118337.98,12813635930.9,12516572929.7
2019-03-07,'000555,神州信息,13.52,13.98,13.01,13.3,13.33,0.19,1.4254,5.1747,48698423,651190777.08,13025590811.0,12723613985.7
2019-03-06,'000555,神州信息,13.33,13.36,12.55,12.76,12.85,0.48,3.7354,5.1695,48649668,629870896.37,12842538869.1,12544805801.0
2019-03-05,'000555,神州信息,12.85,13.11,11.76,11.77,11.95,0.9,7.5314,5.2034,48968759,614756492.16,12380091858.0,12093079860.6
2019-03-04,'000555,神州信息,11.95,12.2,11.75,11.75,11.61,0.34,2.9285,4.1325,38891185,466352028.04,11513003712.4,11246093722.5
2019-03-01,'000555,神州信息,11.61,11.75,11.37,11.59,11.55,0.06,0.5195,2.0251,19058332,220347245.5,11185437079.5,10926121181.5
2019-02-28,'000555,神州信息,11.55,11.94,11.3,11.6,11.78,-0.23,-1.9525,2.5781,24262180,282193901.39,11127631203.1,10869655439.0
2019-02-27,'000555,神州信息,11.78,12.17,11.45,11.49,11.49,0.29,2.5239,4.415,41548981,493146562.17,11349220395.9,11086107452.0
2019-02-26,'000555,神州信息,11.49,11.98,11.48,11.84,11.84,-0.35,-2.9561,4.1709,39252556,460627993.48,11069825326.8,10813189696.4
2019-02-25,'000555,神州信息,11.84,11.86,11.17,11.63,11.01,0.83,7.5386,4.8666,45799541,529303749.75,11407026272.3,11142573194.6
2019-02-22,'000555,神州信息,11.01,11.15,10.73,10.73,10.69,0.32,2.9935,3.1453,29600595,324566974.99,10607378315.7,10361463756.1
