日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600576,祥源文化,4.87,5.01,4.86,4.91,4.95,-0.08,-1.6162,0.9491,4991132,24657446.0,3016489731.83,2561025689.55
2019-04-25,'600576,祥源文化,4.95,5.25,4.9,5.2,5.2,-0.25,-4.8077,1.558,8193192,41496591.0,3066041924.55,2603095926.75
2019-04-24,'600576,祥源文化,5.2,5.28,5.13,5.26,5.19,0.01,0.1927,0.9135,4803720,24906060.0,3220892526.8,2734565418.0
2019-04-23,'600576,祥源文化,5.19,5.35,5.14,5.34,5.29,-0.1,-1.8904,1.2236,6434608,33645371.0,3214698502.71,2729306638.35
2019-04-22,'600576,祥源文化,5.29,5.49,5.25,5.45,5.45,-0.16,-2.9358,1.3294,6991182,37419947.0,3276638743.61,2781894434.85
2019-04-19,'600576,祥源文化,5.45,5.46,5.34,5.34,5.33,0.12,2.2514,1.4974,7874566,42525270.0,3375743129.05,2866034909.25
2019-04-18,'600576,祥源文化,5.33,5.42,5.26,5.26,5.31,0.02,0.3766,1.5749,8282181,44428327.0,3301414839.97,2802929553.45
2019-04-17,'600576,祥源文化,5.31,5.35,5.2,5.22,5.24,0.07,1.3359,1.4404,7574622,40085390.0,3289026791.79,2792411994.15
2019-04-16,'600576,祥源文化,5.24,5.28,5.07,5.28,5.28,-0.04,-0.7576,1.8155,9547293,49276575.0,3245668623.16,2755600536.6
2019-04-15,'600576,祥源文化,5.28,5.64,5.21,5.45,5.36,-0.08,-1.4925,2.1277,11189364,60644726.0,3270444719.52,2776635655.2
2019-04-12,'600576,祥源文化,5.36,5.41,5.27,5.32,5.3,0.06,1.1321,1.0959,5763262,30799481.0,3319996912.24,2818705892.4
2019-04-11,'600576,祥源文化,5.3,5.45,5.27,5.32,5.31,-0.01,-0.1883,1.8262,9603740,51486035.0,3282832767.7,2787153214.5
2019-04-10,'600576,祥源文化,5.31,5.37,5.25,5.36,5.39,-0.08,-1.4842,1.5741,8278053,43975722.0,3289026791.79,2792411994.15
2019-04-09,'600576,祥源文化,5.39,5.43,5.16,5.22,5.18,0.21,4.0541,2.5302,13305966,70783637.0,3338578984.51,2834482231.35
2019-04-08,'600576,祥源文化,5.18,5.32,5.11,5.32,5.27,-0.09,-1.7078,1.5813,8315820,43398018.0,3208504478.62,2724047858.7
2019-04-04,'600576,祥源文化,5.27,5.34,5.21,5.29,5.29,-0.02,-0.3781,1.6447,8648980,45489919.0,3264250695.43,2771376875.55
2019-04-03,'600576,祥源文化,5.29,5.31,5.14,5.17,5.19,0.1,1.9268,1.9143,10067095,52952750.0,3276638743.61,2781894434.85
2019-04-02,'600576,祥源文化,5.19,5.3,5.11,5.15,5.15,0.04,0.7767,2.0226,10636417,55325766.0,3214698502.71,2729306638.35
2019-04-01,'600576,祥源文化,5.15,5.16,4.95,4.96,4.96,0.19,3.8306,1.6961,8919225,45465433.0,3189922406.35,2708271519.75
2019-03-29,'600576,祥源文化,4.96,4.97,4.77,4.85,4.83,0.13,2.6915,1.0934,5750097,28028971.0,3072235948.64,2608354706.4
2019-03-28,'600576,祥源文化,4.83,4.99,4.83,4.9,4.94,-0.11,-2.2267,0.9673,5086942,24949889.0,2991713635.47,2539990570.95
2019-03-27,'600576,祥源文化,4.94,5.07,4.87,5.03,5.01,-0.07,-1.3972,1.495,7861799,38782968.0,3059847900.46,2597837147.1
2019-03-26,'600576,祥源文化,5.01,5.18,5.01,5.14,5.18,-0.17,-3.2819,1.6381,8614257,43801964.0,3103206069.09,2634648604.65
2019-03-25,'600576,祥源文化,5.18,5.23,5.06,5.09,5.2,-0.02,-0.3846,1.4889,7829966,40410904.0,3208504478.62,2724047858.7
2019-03-22,'600576,祥源文化,5.2,5.3,5.11,5.24,5.24,-0.04,-0.7634,1.4999,7887422,40935703.0,3220892526.8,2734565418.0
2019-03-21,'600576,祥源文化,5.24,5.26,5.05,5.1,5.11,0.13,2.544,2.5985,13664921,71002670.0,3245668623.16,2755600536.6
