日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600769,祥龙电业,0.0,0.0,0.0,0.0,6.98,None,None,0.0,0,0.0,2617340856.0,2617340856.0
2019-04-25,'600769,祥龙电业,0.0,0.0,0.0,0.0,6.98,None,None,0.0,0,0.0,2617340856.0,2617340856.0
2019-04-24,'600769,祥龙电业,0.0,0.0,0.0,0.0,6.98,None,None,0.0,0,0.0,2617340856.0,2617340856.0
2019-04-23,'600769,祥龙电业,0.0,0.0,0.0,0.0,6.98,None,None,0.0,0,0.0,2617340856.0,2617340856.0
2019-04-22,'600769,祥龙电业,0.0,0.0,0.0,0.0,6.98,None,None,0.0,0,0.0,2617340856.0,2617340856.0
2019-04-19,'600769,祥龙电业,6.98,6.98,6.45,6.48,6.51,0.47,7.2197,2.0101,7537565,50908856.0,2617340856.0,2617340856.0
2019-04-18,'600769,祥龙电业,6.51,6.55,6.15,6.26,6.25,0.26,4.16,1.6496,6185790,39464741.0,2441101572.0,2441101572.0
2019-04-17,'600769,祥龙电业,6.25,6.37,6.21,6.3,6.29,-0.04,-0.6359,0.8254,3095243,19430698.0,2343607500.0,2343607500.0
2019-04-16,'600769,祥龙电业,6.29,6.33,6.11,6.22,6.29,0.0,0.0,1.1891,4458987,27677795.0,2358606588.0,2358606588.0
2019-04-15,'600769,祥龙电业,6.29,6.5,6.19,6.47,6.4,-0.11,-1.7188,1.5368,5762562,36574996.0,2358606588.0,2358606588.0
2019-04-12,'600769,祥龙电业,6.4,6.49,6.03,6.07,6.12,0.28,4.5752,2.1585,8093725,50840366.0,2399854080.0,2399854080.0
2019-04-11,'600769,祥龙电业,6.12,6.55,6.08,6.1,6.24,-0.12,-1.9231,2.8715,10767369,67900769.0,2294860464.0,2294860464.0
2019-04-10,'600769,祥龙电业,6.24,6.37,5.85,6.0,5.98,0.26,4.3478,2.5853,9694366,60461900.0,2339857728.0,2339857728.0
2019-04-09,'600769,祥龙电业,5.98,5.99,5.62,5.73,5.71,0.27,4.7285,1.3431,5036307,29244638.0,2242363656.0,2242363656.0
2019-04-08,'600769,祥龙电业,5.71,5.79,5.61,5.77,5.77,-0.06,-1.0399,1.6273,6102074,34708264.0,2141119812.0,2141119812.0
2019-04-04,'600769,祥龙电业,5.77,5.9,5.48,5.5,5.52,0.25,4.529,1.7229,6460441,36929950.0,2163618444.0,2163618444.0
2019-04-03,'600769,祥龙电业,5.52,5.55,5.37,5.37,5.42,0.1,1.845,1.1193,4197167,22815973.0,2069874144.0,2069874144.0
2019-04-02,'600769,祥龙电业,5.42,5.53,5.4,5.41,5.39,0.03,0.5566,0.9557,3583697,19490782.0,2032376424.0,2032376424.0
2019-04-01,'600769,祥龙电业,5.39,5.47,5.33,5.34,5.35,0.04,0.7477,1.5088,5657819,30572987.0,2021127108.0,2021127108.0
2019-03-29,'600769,祥龙电业,5.35,5.37,5.1,5.11,5.12,0.23,4.4922,0.9359,3509470,18427229.0,2006128020.0,2006128020.0
2019-03-28,'600769,祥龙电业,5.12,5.27,5.08,5.21,5.15,-0.03,-0.5825,0.804,3014956,15649183.0,1919883264.0,1919883264.0
2019-03-27,'600769,祥龙电业,5.15,5.28,5.0,5.25,5.2,-0.05,-0.9615,1.1665,4374126,22524493.0,1931132580.0,1931132580.0
2019-03-26,'600769,祥龙电业,5.2,5.45,5.16,5.38,5.42,-0.22,-4.059,1.2552,4706806,24782314.0,1949881440.0,1949881440.0
2019-03-25,'600769,祥龙电业,5.42,5.54,5.19,5.25,5.35,0.07,1.3084,1.4254,5345102,29004371.0,2032376424.0,2032376424.0
2019-03-22,'600769,祥龙电业,5.35,5.44,5.13,5.2,5.26,0.09,1.711,1.7511,6566221,34841127.0,2006128020.0,2006128020.0
2019-03-21,'600769,祥龙电业,5.26,5.27,5.1,5.15,5.11,0.15,2.9354,1.2955,4857800,25310630.0,1972380072.0,1972380072.0
2019-03-20,'600769,祥龙电业,5.11,5.16,4.96,5.05,5.05,0.06,1.1881,1.0159,3809572,19361292.0,1916133492.0,1916133492.0
2019-03-19,'600769,祥龙电业,5.05,5.17,4.98,5.06,5.07,-0.02,-0.3945,0.9205,3451516,17513182.0,1893634860.0,1893634860.0
2019-03-18,'600769,祥龙电业,5.07,5.08,4.9,4.95,4.91,0.16,3.2587,1.0034,3762654,18819875.0,1901134404.0,1901134404.0
2019-03-15,'600769,祥龙电业,4.91,4.92,4.8,4.85,4.8,0.11,2.2917,0.7816,2930900,14317272.0,1841138052.0,1841138052.0
2019-03-14,'600769,祥龙电业,4.8,5.07,4.7,4.99,5.07,-0.27,-5.3254,1.3184,4943764,24111925.0,1799890560.0,1799890560.0
2019-03-13,'600769,祥龙电业,5.07,5.36,4.96,5.02,5.02,0.05,0.996,2.4729,9272646,47920317.0,1901134404.0,1901134404.0
2019-03-12,'600769,祥龙电业,5.02,5.12,4.85,4.85,4.85,0.17,3.5052,1.9435,7287728,36297299.0,1882385544.0,1882385544.0
2019-03-11,'600769,祥龙电业,4.85,4.85,4.65,4.67,4.67,0.18,3.8544,1.2286,4606970,21863667.0,1818639420.0,1818639420.0
2019-03-08,'600769,祥龙电业,4.67,4.98,4.66,4.9,4.98,-0.31,-6.2249,1.6392,6146800,29628084.0,1751143524.0,1751143524.0
2019-03-07,'600769,祥龙电业,4.98,4.99,4.8,4.86,4.87,0.11,2.2587,1.5718,5893813,28941422.0,1867386456.0,1867386456.0
2019-03-06,'600769,祥龙电业,4.87,4.88,4.79,4.83,4.83,0.04,0.8282,1.6016,6005667,29109678.0,1826138964.0,1826138964.0
2019-03-05,'600769,祥龙电业,4.83,4.83,4.73,4.77,4.83,0.0,0.0,1.5643,5865635,27990501.0,1811139876.0,1811139876.0
2019-03-04,'600769,祥龙电业,4.83,4.89,4.74,4.89,4.84,-0.01,-0.2066,2.5835,9687381,46574031.0,1811139876.0,1811139876.0
2019-03-01,'600769,祥龙电业,4.84,4.84,4.57,4.64,4.59,0.25,5.4466,1.481,5553239,26095846.0,1814889648.0,1814889648.0
2019-02-28,'600769,祥龙电业,4.59,4.65,4.56,4.62,4.58,0.01,0.2183,0.8103,3038388,13977890.0,1721145348.0,1721145348.0
2019-02-27,'600769,祥龙电业,4.58,4.68,4.53,4.56,4.59,-0.01,-0.2179,1.0369,3888319,17968528.0,1717395576.0,1717395576.0
2019-02-26,'600769,祥龙电业,4.59,4.72,4.53,4.62,4.59,0.0,0.0,1.2484,4681095,21547763.0,1721145348.0,1721145348.0
2019-02-25,'600769,祥龙电业,4.59,4.59,4.42,4.43,4.42,0.17,3.8462,1.2638,4739117,21383976.0,1721145348.0,1721145348.0
2019-02-22,'600769,祥龙电业,4.42,4.43,4.33,4.39,4.37,0.05,1.1442,0.6933,2599802,11415376.0,1657399224.0,1657399224.0
2019-02-21,'600769,祥龙电业,4.37,4.47,4.32,4.4,4.4,-0.03,-0.6818,0.7685,2881800,12683485.0,1638650364.0,1638650364.0
2019-02-20,'600769,祥龙电业,4.4,4.45,4.36,4.37,4.37,0.03,0.6865,0.5108,1915239,8445633.0,1649899680.0,1649899680.0
2019-02-19,'600769,祥龙电业,4.37,4.47,4.3,4.42,4.38,-0.01,-0.2283,0.5305,1989319,8693725.0,1638650364.0,1638650364.0
