日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603806,福斯特,36.42,37.26,35.39,35.39,35.9,0.52,1.4485,0.3512,1835300,67341974.0,19033092000.0,19033092000.0
2019-04-25,'603806,福斯特,35.9,36.9,35.85,36.57,36.6,-0.7,-1.9126,0.3059,1598870,58127920.0,18761340000.0,18761340000.0
2019-04-24,'603806,福斯特,36.6,36.9,35.61,35.89,35.85,0.75,2.0921,0.3068,1603518,58470091.0,19127160000.0,19127160000.0
2019-04-23,'603806,福斯特,35.85,36.92,35.52,36.4,36.4,-0.55,-1.511,0.2456,1283759,46319933.0,18735210000.0,18735210000.0
2019-04-22,'603806,福斯特,36.4,36.98,35.4,35.4,35.8,0.6,1.676,0.3801,1986274,72542380.0,19022640000.0,19022640000.0
2019-04-19,'603806,福斯特,35.8,36.25,34.64,36.25,36.1,-0.3,-0.831,0.4226,2208502,78292726.0,18709080000.0,18709080000.0
2019-04-18,'603806,福斯特,36.1,36.68,34.24,34.24,34.45,1.65,4.7896,0.5482,2864986,102689269.0,18865860000.0,18865860000.0
2019-04-17,'603806,福斯特,34.45,34.88,33.82,33.82,33.82,0.63,1.8628,0.3753,1961324,67567124.0,18003570000.0,18003570000.0
2019-04-16,'603806,福斯特,33.82,33.94,33.04,33.16,33.4,0.42,1.2575,0.2533,1323885,44289932.0,17674332000.0,17674332000.0
2019-04-15,'603806,福斯特,33.4,33.99,33.15,33.56,33.56,-0.16,-0.4768,0.2674,1397445,47168076.0,17454840000.0,17454840000.0
2019-04-12,'603806,福斯特,33.56,33.85,32.93,33.05,33.05,0.51,1.5431,0.2881,1505420,50482904.0,17538456000.0,17538456000.0
2019-04-11,'603806,福斯特,33.05,33.6,32.68,33.31,33.3,-0.25,-0.7508,0.2042,1066983,35234832.0,17271930000.0,17271930000.0
2019-04-10,'603806,福斯特,33.3,33.63,33.01,33.01,33.6,-0.3,-0.8929,0.2533,1323564,44020878.0,17402580000.0,17402580000.0
2019-04-09,'603806,福斯特,33.6,33.67,32.93,33.24,33.24,0.36,1.083,0.2893,1511941,50267304.0,17559360000.0,17559360000.0
2019-04-08,'603806,福斯特,33.24,34.14,32.9,33.74,33.69,-0.45,-1.3357,0.3713,1940356,64570300.0,17371224000.0,17371224000.0
2019-04-04,'603806,福斯特,33.69,34.25,33.3,34.2,34.17,-0.48,-1.4047,0.3853,2013675,67583761.0,17606394000.0,17606394000.0
2019-04-03,'603806,福斯特,34.17,34.4,33.08,34.0,34.5,-0.33,-0.9565,0.4668,2439555,82406263.0,17857242000.0,17857242000.0
2019-04-02,'603806,福斯特,34.5,36.0,33.85,36.0,35.9,-1.4,-3.8997,0.7104,3712410,128460019.0,18029700000.0,18029700000.0
2019-04-01,'603806,福斯特,35.9,36.18,33.45,33.45,33.0,2.9,8.7879,0.795,4154851,146458631.0,18761340000.0,18761340000.0
2019-03-29,'603806,福斯特,33.0,33.7,32.82,33.35,33.98,-0.98,-2.884,0.6013,3142456,104106989.0,17245800000.0,17245800000.0
2019-03-28,'603806,福斯特,33.98,34.76,33.16,33.23,33.31,0.67,2.0114,0.3071,1604768,54868861.0,17757948000.0,17757948000.0
2019-03-27,'603806,福斯特,33.31,34.28,33.09,33.98,33.98,-0.67,-1.9717,0.2689,1405513,47104693.0,17407806000.0,17407806000.0
2019-03-26,'603806,福斯特,33.98,35.98,33.02,35.98,35.38,-1.4,-3.957,0.4349,2272816,77753032.0,17757948000.0,17757948000.0
2019-03-25,'603806,福斯特,35.38,36.15,34.54,34.54,34.9,0.48,1.3754,0.411,2148091,76686087.0,18489588000.0,18489588000.0
2019-03-22,'603806,福斯特,34.9,35.55,34.53,35.55,35.41,-0.51,-1.4403,0.1884,984405,34372211.0,18238740000.0,18238740000.0
2019-03-21,'603806,福斯特,35.41,35.85,34.3,34.8,34.94,0.47,1.3452,0.3418,1786088,63155737.0,18505266000.0,18505266000.0
2019-03-20,'603806,福斯特,34.94,35.3,33.7,35.3,35.02,-0.08,-0.2284,0.3354,1753059,60480209.0,18259644000.0,18259644000.0
2019-03-19,'603806,福斯特,35.02,35.9,34.96,35.84,35.68,-0.66,-1.8498,0.2255,1178481,41522729.0,18301452000.0,18301452000.0
2019-03-18,'603806,福斯特,35.68,35.99,34.56,34.56,34.95,0.73,2.0887,0.3734,1951304,69444264.0,18646368000.0,18646368000.0
2019-03-15,'603806,福斯特,34.95,35.3,34.5,34.7,34.43,0.52,1.5103,0.1916,1001526,35006580.0,18264870000.0,18264870000.0
2019-03-14,'603806,福斯特,34.43,35.3,33.99,34.0,34.81,-0.38,-1.0916,0.3111,1625614,56559460.0,17993118000.0,17993118000.0
