�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-04-26,'600660,腦珓產薛,25.34,26.14,25.3,25.9,25.9,-0.56,-2.1622,0.7019,14058897,361554167.0,63568368260.9,50755673652.9
2019-04-25,'600660,腦珓產薛,25.9,26.61,25.85,26.56,26.55,-0.65,-2.4482,0.7276,14574325,381033881.0,64973194078.8,51877345998.8
2019-04-24,'600660,腦珓產薛,26.55,26.82,26.28,26.38,26.32,0.23,0.8739,0.5357,10729052,284796974.0,66603795474.6,53179287114.6
2019-04-23,'600660,腦珓產薛,26.32,27.08,26.1,26.5,26.45,-0.13,-0.4915,0.7797,15618077,415528524.0,66026813442.2,52718600258.2
2019-04-22,'600660,腦珓產薛,26.45,27.4,26.3,27.34,27.2,-0.75,-2.7574,0.7783,15588523,418249563.0,66352933721.4,52978988481.4
2019-04-19,'600660,腦珓產薛,27.2,27.26,26.75,26.9,26.96,0.24,0.8902,0.5721,11458501,309622447.0,68234396870.4,54481228230.4
2019-04-18,'600660,腦珓產薛,26.96,27.51,26.84,27.29,26.99,-0.03,-0.1112,0.814,16303597,442784505.0,67632328662.7,54000511510.7
2019-04-17,'600660,腦珓產薛,26.99,27.16,26.16,26.43,26.45,0.54,2.0416,1.3103,26244304,702247581.0,67707587188.7,54060601100.7
2019-04-16,'600660,腦珓產薛,26.45,26.45,25.67,25.9,26.05,0.4,1.5355,0.8131,16286078,424384921.0,66352933721.4,52978988481.4
2019-04-15,'600660,腦珓產薛,26.05,26.82,26.0,26.61,26.32,-0.27,-1.0258,0.9991,20012206,529509204.0,65349486708.6,52177793948.6
2019-04-12,'600660,腦珓產薛,26.32,26.84,26.06,26.42,26.32,0.0,0.0,0.8551,17128137,451503805.0,66026813442.2,52718600258.2
2019-04-11,'600660,腦珓產薛,26.32,27.63,26.21,27.0,27.0,-0.68,-2.5185,1.5042,30128727,808931013.0,66026813442.2,52718600258.2
2019-04-10,'600660,腦珓產薛,27.0,27.88,25.18,25.23,25.46,1.54,6.0487,2.8616,57317935,1522367213.0,67732673364.0,54080630964.0
2019-04-09,'600660,腦珓產薛,25.46,25.47,24.8,24.91,24.88,0.58,2.3312,1.2995,26028441,653801154.0,63869402364.7,50996032012.7
2019-04-08,'600660,腦珓產薛,24.88,25.44,24.63,25.26,25.09,-0.21,-0.837,1.2082,24201076,604471861.0,62414404196.2,49834299940.2
2019-04-04,'600660,腦珓產薛,25.09,25.54,25.0,25.2,25.07,0.02,0.0798,1.431,28662270,723970642.0,62941213877.9,50254927069.9
2019-04-03,'600660,腦珓產薛,25.07,25.11,24.46,24.54,24.63,0.44,1.7864,1.6587,33223148,827605389.0,62891041527.2,50214867343.2
2019-04-02,'600660,腦珓產薛,24.63,25.0,24.51,24.95,24.75,-0.12,-0.4848,1.0818,21668576,533691112.0,61787249813.2,49333553357.2
2019-04-01,'600660,腦珓產薛,24.75,24.85,24.44,24.45,24.33,0.42,1.7263,1.3932,27906052,687841097.0,62088283917.0,49573911717.0
2019-03-29,'600660,腦珓產薛,24.33,24.46,23.88,23.96,23.96,0.37,1.5442,0.9596,19221253,466282343.0,61034664553.6,48732657457.6
2019-03-28,'600660,腦珓產薛,23.96,24.19,23.9,24.19,24.2,-0.24,-0.9917,0.493,9875587,236887632.0,60106476066.7,47991552514.7
2019-03-27,'600660,腦珓產薛,24.2,24.2,23.87,24.0,24.02,0.18,0.7494,0.4854,9722684,233792452.0,60708544274.4,48472269234.4
2019-03-26,'600660,腦珓產薛,24.02,24.1,23.88,23.96,23.95,0.07,0.2923,0.5962,11942509,286090967.0,60256993118.6,48111731694.6
