日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600891,ST秋林,3.18,3.18,3.18,3.18,3.35,-0.17,-5.0746,0.2638,1013500,3222930.0,1963922853.54,1221889722.18
2019-04-25,'600891,ST秋林,3.35,3.35,3.35,3.35,3.53,-0.18,-5.0992,0.8606,3306800,11077780.0,2068912440.05,1287210870.85
2019-04-24,'600891,ST秋林,3.53,3.65,3.51,3.65,3.69,-0.16,-4.336,8.1655,31375370,111087273.0,2180077884.59,1356374440.03
2019-04-23,'600891,ST秋林,3.69,3.87,3.69,3.85,3.88,-0.19,-4.8969,8.2113,31551399,117681876.0,2278891613.07,1417853168.19
2019-04-22,'600891,ST秋林,3.88,3.93,3.82,3.85,3.89,-0.01,-0.2571,6.943,26677990,103135249.0,2396232915.64,1490859157.88
2019-04-19,'600891,ST秋林,3.89,4.05,3.85,4.01,4.05,-0.16,-3.9506,12.0011,46113282,179861750.0,2402408773.67,1494701578.39
2019-04-18,'600891,ST秋林,4.05,4.14,4.0,4.03,4.07,-0.02,-0.4914,10.0544,38633091,156928018.0,2501222502.15,1556180306.55
2019-04-17,'600891,ST秋林,4.07,4.2,4.04,4.04,4.25,-0.18,-4.2353,16.795,64533485,262737326.0,2513574218.21,1563865147.57
2019-04-16,'600891,ST秋林,4.25,4.25,4.25,4.25,4.47,-0.22,-4.9217,0.3074,1181300,5020525.0,2624739662.75,1633028716.75
2019-04-15,'600891,ST秋林,4.47,4.47,4.47,4.47,4.71,-0.24,-5.0955,0.5576,2142400,9576528.0,2760608539.41,1717561967.97
2019-04-12,'600891,ST秋林,4.71,4.71,4.71,4.71,4.96,-0.25,-5.0403,0.108,415000,1954650.0,2908829132.13,1809780060.21
2019-04-11,'600891,ST秋林,4.96,4.96,4.96,4.96,5.22,-0.26,-4.9808,0.0727,279300,1385328.0,3063225582.88,1905840572.96
2019-04-10,'600891,ST秋林,5.22,5.22,5.22,5.22,5.49,-0.27,-4.918,0.0829,318700,1663614.0,3223797891.66,2005743506.22
2019-04-09,'600891,秋林集团,0.0,0.0,0.0,0.0,5.49,None,None,0.0,0,0.0,3390546058.47,2109488859.99
2019-04-08,'600891,秋林集团,5.49,5.53,5.36,5.44,5.42,0.07,1.2915,5.0189,19284543,105191219.0,3390546058.47,2109488859.99
2019-04-04,'600891,秋林集团,5.42,5.48,5.38,5.43,5.45,-0.03,-0.5505,3.8875,14937542,81110323.0,3347315052.26,2082591916.42
2019-04-03,'600891,秋林集团,5.45,5.46,5.31,5.38,5.41,0.04,0.7394,3.3853,13007644,70332282.0,3365842626.35,2094119177.95
2019-04-02,'600891,秋林集团,5.41,5.47,5.38,5.4,5.41,0.0,0.0,3.4452,13237930,71808633.0,3341139194.23,2078749495.91
2019-04-01,'600891,秋林集团,5.41,5.44,5.27,5.3,5.31,0.1,1.8832,4.2729,16418096,88349720.0,3341139194.23,2078749495.91
2019-03-29,'600891,秋林集团,5.31,5.31,5.15,5.22,5.22,0.09,1.7241,3.5424,13611432,71338063.0,3279380613.93,2040325290.81
2019-03-28,'600891,秋林集团,5.22,5.32,5.2,5.31,5.33,-0.11,-2.0638,3.0101,11565962,60714715.0,3223797891.66,2005743506.22
2019-03-27,'600891,秋林集团,5.33,5.49,5.25,5.45,5.43,-0.1,-1.8416,3.6078,13862769,73995013.0,3291732329.99,2048010131.83
2019-03-26,'600891,秋林集团,5.43,5.62,5.41,5.51,5.49,-0.06,-1.0929,4.0482,15554957,85937858.0,3353490910.29,2086434336.93
2019-03-25,'600891,秋林集团,5.49,5.58,5.48,5.5,5.6,-0.11,-1.9643,3.2933,12654141,70016276.0,3390546058.47,2109488859.99
2019-03-22,'600891,秋林集团,5.6,5.68,5.5,5.66,5.67,-0.07,-1.2346,4.4131,16956918,94845939.0,3458480496.8,2151755485.6
2019-03-21,'600891,秋林集团,5.67,5.7,5.56,5.56,5.56,0.11,1.9784,6.091,23404174,132291513.0,3501711503.01,2178652429.17
2019-03-20,'600891,秋林集团,5.56,5.56,5.46,5.48,5.51,0.05,0.9074,3.8303,14717654,81233037.0,3433777064.68,2136385803.56
2019-03-19,'600891,秋林集团,5.51,5.55,5.48,5.5,5.54,-0.03,-0.5415,3.7092,14252314,78631258.0,3402897774.53,2117173701.01
2019-03-18,'600891,秋林集团,5.54,5.54,5.36,5.46,5.49,0.05,0.9107,4.1442,15923568,87019183.0,3421425348.62,2128700962.54
2019-03-15,'600891,秋林集团,5.49,5.52,5.41,5.44,5.43,0.06,1.105,3.3767,12974715,71022334.0,3390546058.47,2109488859.99
2019-03-14,'600891,秋林集团,5.43,5.62,5.32,5.59,5.63,-0.2,-3.5524,5.4834,21069618,114907286.0,3353490910.29,2086434336.93
2019-03-13,'600891,秋林集团,5.63,5.8,5.59,5.78,5.85,-0.22,-3.7607,6.8316,26250043,149349454.0,3477008070.89,2163282747.13
2019-03-12,'600891,秋林集团,5.85,5.86,5.65,5.69,5.66,0.19,3.3569,7.9742,30640381,176781556.0,3612876947.55,2247815998.35
2019-03-11,'600891,秋林集团,5.66,5.68,5.42,5.47,5.51,0.15,2.7223,5.7842,22225504,124195175.0,3495535644.98,2174810008.66
2019-03-08,'600891,秋林集团,5.51,5.93,5.5,5.86,5.97,-0.46,-7.7052,9.8752,37944601,219446079.0,3402897774.53,2117173701.01
2019-03-07,'600891,秋林集团,5.97,6.05,5.77,5.9,5.89,0.08,1.3582,11.2094,43071241,255878609.0,3686987243.91,2293925044.47
