日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600478,科力远,7.67,7.81,6.74,6.79,7.1,0.57,8.0282,9.4221,138475621,1028251612.0,12680668230.6,11272496835.6
2019-04-25,'600478,科力远,7.1,7.81,6.98,7.6,7.23,-0.13,-1.7981,9.3023,136714719,1023161646.0,11738297840.6,10434775428.0
2019-04-24,'600478,科力远,7.23,7.23,6.67,6.73,6.57,0.66,10.0457,2.9522,43388670,306471262.0,11953224420.8,10625834696.4
2019-04-23,'600478,科力远,6.57,6.95,6.46,6.95,6.95,-0.38,-5.4676,3.7251,54747951,366020956.0,10862058706.0,9655841487.6
2019-04-22,'600478,科力远,6.95,7.28,6.66,6.69,6.77,0.18,2.6588,6.1514,90406989,635222787.0,11490305632.7,10214322426.0
2019-04-19,'600478,科力远,6.77,6.92,6.28,6.45,6.68,0.09,1.3473,5.6247,82665334,546215268.0,11192714983.2,9949778823.6
2019-04-18,'600478,科力远,6.68,7.2,6.67,7.2,6.67,0.01,0.1499,9.6248,141453907,983422526.0,11043919658.5,9817507022.4
2019-04-17,'600478,科力远,6.67,6.67,6.03,6.03,6.06,0.61,10.066,3.2233,47373111,305826179.0,11027386844.6,9802810155.6
2019-04-16,'600478,科力远,6.06,6.06,5.74,5.91,5.9,0.16,2.7119,2.1236,31210083,185234481.0,10018885199.2,8906301280.8
2019-04-15,'600478,科力远,5.9,6.2,5.9,6.15,6.1,-0.2,-3.2787,2.2456,33003557,200379466.0,9754360177.4,8671151412.0
2019-04-12,'600478,科力远,6.1,6.17,5.92,5.94,5.91,0.19,3.2149,2.7491,40402459,244951356.0,10085016454.6,8965088748.0
2019-04-11,'600478,科力远,5.91,6.1,5.88,6.05,6.03,-0.12,-1.99,2.2802,33511997,200744972.0,9770892991.26,8685848278.8
2019-04-10,'600478,科力远,6.03,6.15,5.92,6.0,6.12,-0.09,-1.4706,2.6873,39495373,237581378.0,9969286757.58,8862210680.4
2019-04-09,'600478,科力远,6.12,6.24,6.03,6.23,6.24,-0.12,-1.9231,2.1525,31634901,193260359.0,10118082082.3,8994482481.6
2019-04-08,'600478,科力远,6.24,6.4,6.01,6.34,6.35,-0.11,-1.7323,3.3424,49122237,306046289.0,10316475848.6,9170844883.2
2019-04-04,'600478,科力远,6.35,6.45,6.08,6.1,6.1,0.25,4.0984,4.5319,66604993,418244330.0,9332510418.0,9332510418.0
2019-04-03,'600478,科力远,6.1,6.15,5.95,6.0,6.1,0.0,0.0,2.3042,33864092,205117705.0,8965088748.0,8965088748.0
2019-04-02,'600478,科力远,6.1,6.26,5.91,6.02,6.02,0.08,1.3289,3.7425,55002864,333911870.0,8965088748.0,8965088748.0
2019-04-01,'600478,科力远,6.02,6.04,5.82,5.92,5.8,0.22,3.7931,3.0329,44574510,266079405.0,8847513813.6,8847513813.6
2019-03-29,'600478,科力远,5.8,5.86,5.59,5.64,5.59,0.21,3.7567,1.8951,27851908,159683608.0,8524182744.0,8524182744.0
2019-03-28,'600478,科力远,5.59,5.92,5.55,5.92,5.95,-0.36,-6.0504,2.4276,35678348,203669894.0,8215548541.2,8215548541.2
2019-03-27,'600478,科力远,5.95,6.14,5.78,6.12,5.85,0.1,1.7094,3.0063,44183403,262324168.0,8744635746.0,8744635746.0
