日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002121,科陆电子,6.01,6.09,5.92,6.08,6.01,0.0,0.0,0.8014,9579025,57708098.72,8464178373.47,7183450769.12
2019-04-25,'002121,科陆电子,6.01,6.32,6.0,6.15,6.14,-0.13,-2.1173,1.4634,17491680,107826138.16,8464178373.47,7183450769.12
2019-04-24,'002121,科陆电子,6.14,6.14,5.99,6.05,6.05,0.09,1.4876,0.8248,9858113,59779830.42,8647263762.58,7338833231.68
2019-04-23,'002121,科陆电子,6.05,6.25,6.0,6.01,6.1,-0.05,-0.8197,0.9963,11908078,73213137.14,8520512339.35,7231260757.6
2019-04-22,'002121,科陆电子,6.1,6.33,6.07,6.33,6.28,-0.18,-2.8662,0.9938,11878550,73364879.5,8590929796.7,7291023243.2
2019-04-19,'002121,科陆电子,6.28,6.29,6.15,6.23,6.23,0.05,0.8026,1.162,13889356,86741133.66,8844432643.16,7506168191.36
2019-04-18,'002121,科陆电子,6.23,6.29,6.11,6.21,6.23,0.0,0.0,1.052,12573981,77925598.23,8774015185.81,7446405705.76
2019-04-17,'002121,科陆电子,6.23,6.33,6.11,6.17,6.17,0.06,0.9724,1.1384,13606322,84998830.69,8774015185.81,7446405705.76
2019-04-16,'002121,科陆电子,6.17,6.2,5.9,6.13,6.21,-0.04,-0.6441,1.4279,17066652,102942122.29,8689514236.99,7374690723.04
2019-04-15,'002121,科陆电子,6.21,6.47,6.2,6.41,6.41,-0.2,-3.1201,1.6274,19451216,123481905.17,8745848202.87,7422500711.52
2019-04-12,'002121,科陆电子,6.41,6.41,6.24,6.25,6.28,0.13,2.0701,1.4129,16888203,107199859.71,9027518032.27,7661550653.92
2019-04-11,'002121,科陆电子,6.28,6.43,6.2,6.38,6.38,-0.1,-1.5674,1.1031,13184250,82837880.64,8844432643.16,7506168191.36
2019-04-10,'002121,科陆电子,6.38,6.38,6.22,6.34,6.38,0.0,0.0,1.0882,13006850,82033246.77,8985267557.86,7625693162.56
2019-04-09,'002121,科陆电子,6.38,6.4,6.2,6.33,6.29,0.09,1.4308,1.0494,12542503,79532420.49,8985267557.86,7625693162.56
2019-04-08,'002121,科陆电子,6.29,6.5,6.14,6.48,6.5,-0.21,-3.2308,1.997,23868761,150665967.26,8858516134.63,7518120688.48
2019-04-04,'002121,科陆电子,6.5,6.72,6.47,6.67,6.66,-0.16,-2.4024,1.843,22028204,144070702.94,9154269455.5,7769123128.0
2019-04-03,'002121,科陆电子,6.66,6.74,6.55,6.65,6.75,-0.09,-1.3333,1.971,23558146,156162342.17,9379605319.02,7960363081.92
2019-04-02,'002121,科陆电子,6.75,7.03,6.74,6.76,6.82,-0.07,-1.0264,2.5904,30961350,211885744.37,9506356742.25,8067935556.0
2019-04-01,'002121,科陆电子,6.82,7.15,6.62,7.15,6.5,0.32,4.9231,3.5334,42232779,290659829.78,9604941182.54,8151603035.84
2019-03-29,'002121,科陆电子,0.0,0.0,0.0,0.0,6.5,None,None,0.0,0,0.0,9154269455.5,7769123128.0
2019-03-28,'002121,科陆电子,0.0,0.0,0.0,0.0,6.5,None,None,0.0,0,0.0,9154269455.5,7769123128.0
2019-03-27,'002121,科陆电子,0.0,0.0,0.0,0.0,6.5,None,None,0.0,0,0.0,9154269455.5,7769123128.0
2019-03-26,'002121,科陆电子,0.0,0.0,0.0,0.0,6.5,None,None,0.0,0,0.0,9154269455.5,7769123128.0
2019-03-25,'002121,科陆电子,0.0,0.0,0.0,0.0,6.5,None,None,0.0,0,0.0,9154269455.5,7769123128.0
2019-03-22,'002121,科陆电子,6.5,6.71,6.37,6.68,6.67,-0.17,-2.5487,2.0609,24632647,159478581.86,9154269455.5,7769123128.0
2019-03-21,'002121,科陆电子,6.67,6.76,6.33,6.44,6.45,0.22,3.4109,2.9125,34811612,228930250.97,9393688810.49,7972315579.04
2019-03-20,'002121,科陆电子,6.45,6.51,6.25,6.49,6.51,-0.06,-0.9217,1.86,22231340,141680354.38,9083851998.15,7709360642.4
2019-03-19,'002121,科陆电子,6.51,6.64,6.3,6.42,6.43,0.08,1.2442,2.4186,28907908,188065295.71,9168352946.97,7781075625.12
