ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'000837,ÇØ´¨»ú´²,5.06,5.12,5.01,5.03,5.08,-0.02,-0.3937,1.5546,9061270,45863090.1,3508456804.6,2949331621.72
2019-04-25,'000837,ÇØ´¨»ú´²,5.08,5.4,5.02,5.34,5.36,-0.28,-5.2239,2.2741,13254860,69290178.2,3522324222.8,2960989058.96
2019-04-24,'000837,ÇØ´¨»ú´²,5.36,5.37,5.26,5.31,5.3,0.06,1.1321,1.3561,7904196,42051965.02,3716468077.6,3124193180.32
2019-04-23,'000837,ÇØ´¨»ú´²,5.3,5.49,5.26,5.45,5.47,-0.17,-3.1079,2.2479,13102260,70063863.4,3674865823.0,3089220868.6
2019-04-22,'000837,ÇØ´¨»ú´²,5.47,5.66,5.43,5.62,5.63,-0.16,-2.8419,2.4802,14456578,79815038.0,3792738877.7,3188309085.14
2019-04-19,'000837,ÇØ´¨»ú´²,5.63,5.72,5.5,5.64,5.7,-0.07,-1.2281,3.1616,18428206,103197695.74,3903678223.3,3281568583.06
2019-04-18,'000837,ÇØ´¨»ú´²,5.7,5.85,5.65,5.78,5.82,-0.12,-2.0619,3.9788,23191200,132993209.2,3952214187.0,3322369613.4
2019-04-17,'000837,ÇØ´¨»ú´²,5.82,5.85,5.6,5.65,5.65,0.17,3.0088,6.1059,35589853,204282671.78,4035418696.2,3392314236.84
2019-04-16,'000837,ÇØ´¨»ú´²,5.65,5.66,5.44,5.57,5.62,0.03,0.5338,3.9007,22736107,126407543.99,3917545641.5,3293226020.3
2019-04-15,'000837,ÇØ´¨»ú´²,5.62,5.68,5.48,5.51,5.49,0.13,2.3679,4.6999,27394268,153167375.11,3896744514.2,3275739864.44
2019-04-12,'000837,ÇØ´¨»ú´²,5.49,5.84,5.26,5.28,5.35,0.14,2.6168,4.7014,27403292,151580625.72,3806606295.9,3199966522.38
2019-04-11,'000837,ÇØ´¨»ú´²,5.35,5.63,5.35,5.56,5.61,-0.26,-4.6346,4.1228,24030705,131601973.24,3709534368.5,3118364461.7
2019-04-10,'000837,ÇØ´¨»ú´²,5.61,5.84,5.56,5.61,5.73,-0.12,-2.0942,5.3473,31168189,176719043.13,3889810805.1,3269911145.82
2019-04-09,'000837,ÇØ´¨»ú´²,5.73,5.88,5.48,5.51,5.6,0.13,2.3214,7.3956,43107041,245360362.52,3973015314.3,3339855769.26
2019-04-08,'000837,ÇØ´¨»ú´²,5.6,5.7,5.25,5.4,5.39,0.21,3.8961,6.807,39675806,216849554.74,3882877096.0,3264082427.2
2019-04-04,'000837,ÇØ´¨»ú´²,5.39,5.54,5.36,5.43,5.44,-0.05,-0.9191,3.9769,23180377,125735182.78,3737269204.9,3141679336.18
2019-04-03,'000837,ÇØ´¨»ú´²,5.44,5.5,5.21,5.3,5.36,0.08,1.4925,5.0278,29305600,157479455.69,3771937750.4,3170822929.28
2019-04-02,'000837,ÇØ´¨»ú´²,5.36,5.52,5.33,5.41,5.41,-0.05,-0.9242,6.2137,36217758,196251469.65,3716468077.6,3124193180.32
2019-04-01,'000837,ÇØ´¨»ú´²,5.41,5.48,5.21,5.28,5.29,0.12,2.2684,6.4297,37477173,201448511.37,3751136623.1,3153336773.42
2019-03-29,'000837,ÇØ´¨»ú´²,5.29,5.34,5.02,5.25,5.53,-0.24,-4.34,9.4099,54847892,284194056.13,3667932113.9,3083392149.98
2019-03-28,'000837,ÇØ´¨»ú´²,5.53,5.77,5.53,5.7,6.14,-0.61,-9.9349,10.1302,59046078,331446968.76,3834341132.3,3223281396.86
2019-03-27,'000837,ÇØ´¨»ú´²,6.14,6.35,5.6,5.7,5.98,0.16,2.6756,20.7676,121048485,722078108.15,4257297387.4,3578833232.68
2019-03-26,'000837,ÇØ´¨»ú´²,5.98,6.24,5.9,6.24,5.67,0.31,5.4674,22.4269,130719814,808244458.39,4146358041.8,3485573734.76
