日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000526,紫光学大,22.97,23.48,22.93,23.01,23.14,-0.17,-0.7347,0.9107,876033,20327118.32,2209601607.79,2209601607.79
2019-04-25,'000526,紫光学大,23.14,24.83,23.13,24.83,24.59,-1.45,-5.8967,1.2055,1159600,27932593.0,2225954775.98,2225954775.98
2019-04-24,'000526,紫光学大,24.59,25.4,24.31,25.19,25.23,-0.64,-2.5367,1.4043,1350855,33319216.1,2365437681.13,2365437681.13
2019-04-23,'000526,紫光学大,25.23,26.07,23.88,25.79,25.72,-0.49,-1.9051,0.9872,949648,24164914.04,2427002549.61,2427002549.61
2019-04-22,'000526,紫光学大,25.72,26.38,25.66,26.1,26.25,-0.53,-2.019,0.8974,863300,22471537.0,2474138152.04,2474138152.04
2019-04-19,'000526,紫光学大,26.25,26.66,25.9,26.35,26.31,-0.06,-0.2281,1.1277,1084801,28491749.32,2525121558.75,2525121558.75
2019-04-18,'000526,紫光学大,26.31,26.91,26.3,26.7,26.8,-0.49,-1.8284,1.0122,973660,25813279.4,2530893265.17,2530893265.17
2019-04-17,'000526,紫光学大,26.8,27.8,26.69,26.83,26.83,-0.03,-0.1118,1.678,1614200,43815456.0,2578028867.6,2578028867.6
2019-04-16,'000526,紫光学大,26.83,26.96,25.88,26.8,27.02,-0.19,-0.7032,1.248,1200497,31900224.23,2580914720.81,2580914720.81
2019-04-15,'000526,紫光学大,27.02,27.22,26.45,26.8,26.95,0.07,0.2597,1.7558,1689021,45335504.89,2599191791.14,2599191791.14
2019-04-12,'000526,紫光学大,26.95,27.19,26.19,26.53,26.52,0.43,1.6214,1.0515,1011500,27094886.0,2592458133.65,2592458133.65
2019-04-11,'000526,紫光学大,26.52,27.46,26.52,27.21,27.31,-0.79,-2.8927,1.5587,1499422,40265245.41,2551094237.64,2551094237.64
2019-04-10,'000526,紫光学大,27.31,28.0,27.3,28.0,28.28,-0.97,-3.43,1.9054,1832885,50416296.55,2627088372.17,2627088372.17
2019-04-09,'000526,紫光学大,28.28,28.5,26.72,27.06,26.95,1.33,4.9351,2.5451,2448219,68078327.71,2720397625.96,2720397625.96
2019-04-08,'000526,紫光学大,26.95,27.2,26.41,27.18,27.41,-0.46,-1.6782,1.6879,1623700,43615618.0,2592458133.65,2592458133.65
