日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600300,维维股份,3.33,3.37,3.3,3.33,3.34,-0.01,-0.2994,0.8542,14282907,47612662.0,5567760000.0,5567760000.0
2019-04-25,'600300,维维股份,3.34,3.47,3.32,3.45,3.48,-0.14,-4.023,1.078,18024400,61337636.0,5584480000.0,5584480000.0
2019-04-24,'600300,维维股份,3.48,3.49,3.38,3.47,3.46,0.02,0.578,0.9758,16316186,56198427.0,5818560000.0,5818560000.0
2019-04-23,'600300,维维股份,3.46,3.56,3.45,3.54,3.55,-0.09,-2.5352,1.0377,17350900,60641874.0,5785120000.0,5785120000.0
2019-04-22,'600300,维维股份,3.55,3.64,3.54,3.62,3.62,-0.07,-1.9337,1.2141,20300506,72784297.0,5935600000.0,5935600000.0
2019-04-19,'600300,维维股份,3.62,3.63,3.55,3.61,3.61,0.01,0.277,1.3242,22141398,79631598.0,6052640000.0,6052640000.0
2019-04-18,'600300,维维股份,3.61,3.71,3.6,3.61,3.61,0.0,0.0,1.2241,20467218,74480316.0,6035920000.0,6035920000.0
2019-04-17,'600300,维维股份,3.61,3.65,3.57,3.59,3.63,-0.02,-0.551,1.5675,26208703,94558861.0,6035920000.0,6035920000.0
2019-04-16,'600300,维维股份,3.63,3.63,3.51,3.53,3.55,0.08,2.2535,2.5743,43042038,153457035.0,6069360000.0,6069360000.0
2019-04-15,'600300,维维股份,3.55,3.72,3.53,3.69,3.65,-0.1,-2.7397,1.9124,31975683,116390149.0,5935600000.0,5935600000.0
2019-04-12,'600300,维维股份,3.65,3.75,3.63,3.71,3.71,-0.06,-1.6173,1.533,25631378,94082146.0,6102800000.0,6102800000.0
2019-04-11,'600300,维维股份,3.71,3.88,3.7,3.86,3.95,-0.24,-6.0759,3.5064,58626449,221709632.0,6203120000.0,6203120000.0
