ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'000735,ÂÞ Å£ É½,11.35,12.23,11.35,12.23,12.61,-1.26,-9.9921,9.7885,112715657,1307020501.71,13069679110.3,13069679110.3
2019-04-25,'000735,ÂÞ Å£ É½,12.61,13.56,12.6,13.11,13.31,-0.7,-5.2592,11.4811,132206031,1743519650.84,14520586218.6,14520586218.6
2019-04-24,'000735,ÂÞ Å£ É½,13.31,13.33,12.5,12.84,12.85,0.46,3.5798,11.5898,133458001,1735809356.67,15326645723.2,15326645723.2
2019-04-23,'000735,ÂÞ Å£ É½,12.85,13.29,12.26,12.66,12.75,0.1,0.7843,9.3926,108157471,1385976292.53,14796949477.3,14796949477.3
2019-04-22,'000735,ÂÞ Å£ É½,12.75,12.86,12.42,12.48,12.58,0.17,1.3514,5.8216,67036578,849905184.36,14681798119.5,14681798119.5
2019-04-19,'000735,ÂÞ Å£ É½,12.58,12.75,12.38,12.65,12.65,-0.07,-0.5534,4.5897,52850570,662590309.38,14486040811.2,14486040811.2
2019-04-18,'000735,ÂÞ Å£ É½,12.65,13.1,12.6,12.7,12.85,-0.2,-1.5564,5.537,63759188,817656198.47,14566646761.7,14566646761.7
2019-04-17,'000735,ÂÞ Å£ É½,12.85,13.11,12.67,12.71,12.8,0.05,0.3906,6.1801,71164550,918731473.39,14796949477.3,14796949477.3
2019-04-16,'000735,ÂÞ Å£ É½,12.8,12.85,12.42,12.6,12.94,-0.14,-1.0819,6.2521,71994273,908535009.96,14739373798.4,14739373798.4
2019-04-15,'000735,ÂÞ Å£ É½,12.94,13.6,12.7,13.0,13.24,-0.3,-2.2659,9.271,106756777,1400596637.57,14900585699.3,14900585699.3
2019-04-12,'000735,ÂÞ Å£ É½,13.24,13.5,12.81,12.9,12.77,0.47,3.6805,9.9447,105436756,1390992301.22,15246039772.7,14037454256.2
2019-04-11,'000735,ÂÞ Å£ É½,12.77,13.16,12.77,12.93,13.04,-0.27,-2.0706,6.0844,64508650,833255965.66,14704828391.1,13539145834.7
2019-04-10,'000735,ÂÞ Å£ É½,13.04,13.58,13.02,13.28,13.43,-0.39,-2.9039,9.3246,98862737,1310604443.49,15015737057.1,13825408119.4
2019-04-09,'000735,ÂÞ Å£ É½,13.43,13.67,12.95,13.52,13.38,0.05,0.3737,13.7045,145299660,1945656670.44,15464827352.5,14238898086.1
2019-04-08,'000735,ÂÞ Å£ É½,13.38,13.73,13.0,13.09,13.09,0.29,2.2154,14.6469,155290419,2076754997.98,15407251673.6,14185886551.9
2019-04-04,'000735,ÂÞ Å£ É½,13.09,13.2,12.48,12.7,12.75,0.34,2.6667,10.4937,111257516,1417427486.91,15073312736.0,13878419653.6
2019-04-03,'000735,ÂÞ Å£ É½,12.75,12.92,12.22,12.33,12.39,0.36,2.9056,9.9561,105557984,1338116539.17,14681798119.5,13517941221.0
2019-04-02,'000735,ÂÞ Å£ É½,12.39,12.68,12.31,12.68,12.61,-0.22,-1.7446,7.3571,78002216,971434646.88,14267253231.4,13136258174.8
2019-04-01,'000735,ÂÞ Å£ É½,12.61,12.73,12.26,12.31,12.38,0.23,1.8578,7.7342,81999981,1029384790.36,14520586218.6,13369508925.2
2019-03-29,'000735,ÂÞ Å£ É½,12.38,12.4,12.03,12.04,12.06,0.32,2.6534,6.0718,64375170,789093177.61,14255738095.6,13125655867.9
2019-03-28,'000735,ÂÞ Å£ É½,12.06,12.36,11.98,12.35,12.49,-0.43,-3.4428,5.8501,62024823,753711441.62,13887253750.7,12786382049.0
2019-03-27,'000735,ÂÞ Å£ É½,12.49,12.82,12.16,12.7,12.91,-0.42,-3.2533,7.0902,75172763,935985975.67,14382404589.2,13242281243.2
2019-03-26,'000735,ÂÞ Å£ É½,12.91,13.26,12.83,13.05,12.93,-0.02,-0.1547,8.4021,89082125,1162232828.4,14866040292.0,13687578130.4
2019-03-25,'000735,ÂÞ Å£ É½,12.93,13.19,12.78,13.06,13.35,-0.42,-3.1461,8.9591,94986771,1233924200.49,14889070563.5,13708782744.1
2019-03-22,'000735,ÂÞ Å£ É½,13.35,13.59,12.94,12.96,12.97,0.38,2.9298,11.8151,125267312,1662716067.54,15372706266.3,14154079631.4
2019-03-21,'000735,ÂÞ Å£ É½,12.97,13.17,12.82,12.96,13.03,-0.06,-0.4605,7.7406,82068369,1065523937.95,14935131106.7,13751191971.5
2019-03-20,'000735,ÂÞ Å£ É½,13.03,13.3,12.83,12.95,13.1,-0.07,-0.5344,8.2306,87263074,1139411618.21,15004221921.3,13814805812.5
2019-03-19,'000735,ÂÞ Å£ É½,13.1,13.17,12.57,12.71,12.71,0.39,3.0685,8.9617,95014547,1223027862.18,15084827871.8,13889021960.4
2019-03-18,'000735,ÂÞ Å£ É½,12.71,12.88,12.4,12.6,12.55,0.16,1.2749,6.211,65851311,834164336.95,14635737576.4,13475531993.6
2019-03-15,'000735,ÂÞ Å£ É½,12.55,12.75,12.35,12.42,12.21,0.34,2.7846,6.6429,70430427,882240924.31,14451495403.9,13305895084.2
2019-03-14,'000735,ÂÞ Å£ É½,12.21,12.86,11.92,12.7,12.93,-0.72,-5.5684,8.2665,87643527,1083579037.43,14059980787.4,12945416651.6
2019-03-13,'000735,ÂÞ Å£ É½,12.93,13.77,12.78,13.55,13.7,-0.77,-5.6204,12.9131,136909059,1808173717.69,14889070563.5,13708782744.1
