日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000782,美达股份,5.11,5.13,4.99,5.1,5.12,-0.01,-0.1953,1.2855,5737454,29019495.57,2698793473.53,2280702563.51
2019-04-25,'000782,美达股份,5.12,5.46,5.11,5.46,5.47,-0.35,-6.3985,1.5756,7032205,37165823.75,2704074869.76,2285165777.92
2019-04-24,'000782,美达股份,5.47,5.51,5.4,5.42,5.42,0.05,0.9225,0.9274,4139086,22583618.8,2888923737.81,2441378282.27
2019-04-23,'000782,美达股份,5.42,5.65,5.41,5.65,5.68,-0.26,-4.5775,1.6428,7332374,40236132.55,2862516756.66,2419062210.22
2019-04-22,'000782,美达股份,5.68,5.76,5.5,5.62,5.63,0.05,0.8881,2.1891,9770336,55189791.47,2999833058.64,2535105784.88
2019-04-19,'000782,美达股份,5.63,5.64,5.45,5.46,5.52,0.11,1.9928,1.3312,5941400,33044979.0,2973426077.49,2512789712.83
2019-04-18,'000782,美达股份,5.52,5.66,5.49,5.51,5.5,0.02,0.3636,1.5567,6948010,38666277.6,2915330718.96,2463694354.32
2019-04-17,'000782,美达股份,5.5,5.51,5.43,5.5,5.47,0.03,0.5484,1.1115,4961000,27140837.0,2904767926.5,2454767925.5
2019-04-16,'000782,美达股份,5.47,5.47,5.27,5.33,5.35,0.12,2.243,1.0611,4736000,25439742.0,2888923737.81,2441378282.27
2019-04-15,'000782,美达股份,5.35,5.55,5.34,5.5,5.45,-0.1,-1.8349,1.2221,5454400,29769465.83,2825546983.05,2387819709.35
2019-04-12,'000782,美达股份,5.45,5.52,5.4,5.44,5.46,-0.01,-0.1832,0.8255,3684417,20071661.48,2878360945.35,2432451853.45
2019-04-11,'000782,美达股份,5.46,5.62,5.43,5.57,5.59,-0.13,-2.3256,1.3289,5931017,32641786.99,2883642341.58,2436915067.86
2019-04-10,'000782,美达股份,5.59,5.6,5.48,5.57,5.6,-0.01,-0.1786,1.313,5860301,32476237.48,2952300492.57,2494936855.19
2019-04-09,'000782,美达股份,5.6,5.63,5.49,5.63,5.63,-0.03,-0.5329,1.8564,8285687,46034758.9,2957581888.8,2499400069.6
2019-04-08,'000782,美达股份,5.63,5.84,5.57,5.78,5.74,-0.11,-1.9164,2.2168,9894046,56334202.41,2973426077.49,2512789712.83
2019-04-04,'000782,美达股份,5.74,5.76,5.61,5.67,5.67,0.07,1.2346,2.1162,9445265,53853152.43,3031521436.02,2561885071.34
2019-04-03,'000782,美达股份,5.67,5.71,5.45,5.52,5.53,0.14,2.5316,2.1867,9759793,54872025.33,2994551662.41,2530642570.47
2019-04-02,'000782,美达股份,5.53,5.55,5.43,5.52,5.52,0.01,0.1812,1.7866,7974000,43771883.06,2920612115.19,2468157568.73
2019-04-01,'000782,美达股份,5.52,5.57,5.31,5.32,5.29,0.23,4.3478,1.9128,8537367,46511970.63,2915330718.96,2463694354.32
2019-03-29,'000782,美达股份,5.29,5.3,5.15,5.26,5.19,0.1,1.9268,1.1293,5040108,26487632.16,2793858605.67,2361040422.89
2019-03-28,'000782,美达股份,5.19,5.35,5.15,5.3,5.32,-0.13,-2.4436,1.3148,5868222,30791349.3,2741044643.37,2316408278.79
2019-03-27,'000782,美达股份,5.32,5.33,5.12,5.22,5.2,0.12,2.3077,1.6323,7285427,38076099.68,2809702794.36,2374430066.12
2019-03-26,'000782,美达股份,5.2,5.53,5.19,5.48,5.45,-0.25,-4.5872,1.8505,8259319,43983030.27,2746326039.6,2320871493.2
