日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600175,美都能源,4.66,4.66,4.01,4.08,4.24,0.42,9.9057,21.219,520086388,2312677916.0,16666437682.2,11421834791.9
2019-04-25,'600175,美都能源,4.24,4.94,4.18,4.55,4.57,-0.33,-7.221,28.5278,699227338,3167679445.0,15164312397.5,10392399038.2
2019-04-24,'600175,美都能源,4.57,4.57,3.75,3.95,4.15,0.42,10.1205,25.7579,631335004,2637119957.0,16344553692.6,11201241416.1
2019-04-23,'600175,美都能源,4.15,4.15,3.69,3.8,3.77,0.38,10.0796,31.8018,779473828,3114632996.0,14842428408.0,10171805662.4
2019-04-22,'600175,美都能源,3.77,3.77,3.77,3.77,3.43,0.34,9.9125,1.2212,29931560,112841981.0,13483362674.2,9240411408.93
2019-04-19,'600175,美都能源,3.43,3.43,3.43,3.43,3.12,0.31,9.9359,2.9487,72272628,247895114.0,12267356491.4,8407058655.87
2019-04-18,'600175,美都能源,3.12,3.12,2.79,2.81,2.84,0.28,9.8592,9.8186,240656858,711067885.0,11158644971.8,7647237028.08
2019-04-17,'600175,美都能源,2.84,2.95,2.71,2.72,2.72,0.12,4.4118,7.3013,178957042,505290728.0,10157228115.3,6960946525.56
2019-04-16,'600175,美都能源,2.72,2.72,2.61,2.61,2.65,0.07,2.6415,2.5839,63331739,169808546.0,9728049462.56,6666822024.48
2019-04-15,'600175,美都能源,2.65,2.77,2.65,2.69,2.72,-0.07,-2.5735,3.7317,91466098,247708465.0,9477695248.45,6495249398.85
2019-04-12,'600175,美都能源,2.72,2.82,2.68,2.81,2.81,-0.09,-3.2028,4.3241,105984888,289260074.0,9728049462.56,6666822024.48
2019-04-11,'600175,美都能源,2.81,2.95,2.7,2.7,2.71,0.1,3.69,7.9895,195825482,550206966.0,10049933452.1,6887415400.29
2019-04-10,'600175,美都能源,2.71,2.76,2.64,2.68,2.75,-0.04,-1.4545,3.8124,93443841,251495281.0,9692284574.83,6642311649.39
2019-04-09,'600175,美都能源,2.75,2.81,2.69,2.7,2.79,-0.04,-1.4337,4.3134,105724093,289767893.0,9835344125.75,6740353149.75
2019-04-08,'600175,美都能源,2.79,2.88,2.75,2.88,2.85,-0.06,-2.1053,4.519,110761409,312708624.0,9978403676.67,6838394650.11
2019-04-04,'600175,美都能源,2.85,2.85,2.75,2.8,2.8,0.05,1.7857,4.7581,116622608,326590167.0,10192993003.0,6985456900.65
2019-04-03,'600175,美都能源,2.8,2.8,2.73,2.74,2.76,0.04,1.4493,3.636,89119466,247275756.0,10014168564.4,6862905025.2
2019-04-02,'600175,美都能源,2.76,2.81,2.72,2.75,2.74,0.02,0.7299,3.594,88091100,243806786.0,9871109013.48,6764863524.84
2019-04-01,'600175,美都能源,2.74,2.75,2.64,2.64,2.63,0.11,4.1825,3.0839,75587212,204571893.0,9799579238.02,6715842774.66
2019-03-29,'600175,美都能源,2.63,2.64,2.51,2.54,2.54,0.09,3.5433,2.9426,72125331,186791863.0,9406165472.99,6446228648.67
2019-03-28,'600175,美都能源,2.54,2.63,2.53,2.6,2.62,-0.08,-3.0534,2.5114,61555714,158554316.0,9084281483.42,6225635272.86
2019-03-27,'600175,美都能源,2.62,2.68,2.57,2.67,2.64,-0.02,-0.7576,2.5542,62604067,163478730.0,9370400585.26,6421718273.58
2019-03-26,'600175,美都能源,2.64,2.79,2.62,2.78,2.76,-0.12,-4.3478,3.6936,90530745,242895835.0,9441930360.72,6470739023.76
2019-03-25,'600175,美都能源,2.76,2.83,2.72,2.77,2.85,-0.09,-3.1579,3.0761,75397277,209595683.0,9871109013.48,6764863524.84
2019-03-22,'600175,美都能源,2.85,2.9,2.78,2.89,2.9,-0.05,-1.7241,4.2033,103024719,291402329.0,10192993003.0,6985456900.65
2019-03-21,'600175,美都能源,2.9,2.96,2.89,2.89,2.93,-0.03,-1.0239,4.6738,114557366,334597552.0,10371817441.7,7108008776.1
2019-03-20,'600175,美都能源,2.93,2.99,2.84,2.97,3.0,-0.07,-2.3333,5.4598,133822184,390550376.0,10479112104.9,7181539901.37
2019-03-19,'600175,美都能源,3.0,3.05,2.81,2.83,2.88,0.12,4.1667,8.2122,201283727,590055611.0,10729466319.0,7353112527.0
2019-03-18,'600175,美都能源,2.88,2.9,2.74,2.74,2.75,0.13,4.7273,5.4056,132493553,374902742.0,10300287666.2,7058988025.92
2019-03-15,'600175,美都能源,2.75,2.79,2.7,2.73,2.72,0.03,1.1029,3.5385,86730023,238461516.0,9835344125.75,6740353149.75
2019-03-14,'600175,美都能源,2.72,2.9,2.62,2.83,2.85,-0.13,-4.5614,4.8924,119915073,329031078.0,9728049462.56,6666822024.48
2019-03-13,'600175,美都能源,2.85,2.97,2.81,2.93,2.93,-0.08,-2.7304,5.6251,137873632,399607611.0,10192993003.0,6985456900.65
2019-03-12,'600175,美都能源,2.93,2.96,2.81,2.88,2.86,0.07,2.4476,6.2651,153559805,445630512.0,10479112104.9,7181539901.37
2019-03-11,'600175,美都能源,2.86,2.86,2.73,2.73,2.75,0.11,4.0,5.0506,123791070,346163339.0,10228757890.8,7009967275.74
2019-03-08,'600175,美都能源,2.75,3.03,2.75,2.94,3.05,-0.3,-9.8361,8.1265,199182626,573844175.0,9835344125.75,6740353149.75
2019-03-07,'600175,美都能源,3.05,3.13,2.82,2.86,2.88,0.17,5.9028,9.5272,233516101,696301131.0,10908290757.6,7475664402.45
2019-03-06,'600175,美都能源,2.88,2.98,2.7,2.74,2.72,0.16,5.8824,10.5888,259535755,732291709.0,10300287666.2,7058988025.92
2019-03-05,'600175,美都能源,2.72,2.72,2.59,2.6,2.63,0.09,3.4221,6.8791,168608743,446883534.0,9728049462.56,6666822024.48
2019-03-04,'600175,美都能源,2.63,2.7,2.56,2.57,2.61,0.02,0.7663,7.509,184049173,485301891.0,9406165472.99,6446228648.67
2019-03-01,'600175,美都能源,2.61,2.63,2.46,2.6,2.67,-0.06,-2.2472,9.1838,225098970,572257574.0,9334635697.53,6397207898.49
2019-02-28,'600175,美都能源,2.67,2.87,2.63,2.68,2.61,0.06,2.2989,12.1163,296974095,824371159.0,9549225023.91,6544270149.03
2019-02-27,'600175,美都能源,2.61,2.67,2.49,2.51,2.54,0.07,2.7559,7.886,193288308,501592573.0,9334635697.53,6397207898.49
2019-02-26,'600175,美都能源,2.54,2.63,2.44,2.49,2.5,0.04,1.6,7.9711,195373999,495949338.0,9084281483.42,6225635272.86
2019-02-25,'600175,美都能源,2.5,2.54,2.37,2.42,2.37,0.13,5.4852,6.5306,160068470,393154510.0,8941221932.5,6127593772.5
2019-02-22,'600175,美都能源,2.37,2.37,2.27,2.31,2.31,0.06,2.5974,4.7038,115291380,268745861.0,8476278392.01,5808958896.33
2019-02-21,'600175,美都能源,2.31,2.37,2.27,2.29,2.3,0.01,0.4348,4.5121,110594434,256178128.0,8261689065.63,5661896645.79
2019-02-20,'600175,美都能源,2.3,2.32,2.26,2.32,2.33,-0.03,-1.2876,3.3618,82397794,188941086.0,8225924177.9,5637386270.7
2019-02-19,'600175,美都能源,2.33,2.37,2.21,2.24,2.23,0.1,4.4843,5.8235,142736642,325652485.0,8333218841.09,5710917395.97
2019-02-18,'600175,美都能源,2.23,2.23,2.16,2.16,2.16,0.07,3.2407,3.198,78385166,173078995.0,7975569963.79,5465813645.07
2019-02-15,'600175,美都能源,2.16,2.19,2.14,2.16,2.15,0.01,0.4651,2.8912,70864305,153472401.0,7725215749.68,5294241019.44
2019-02-14,'600175,美都能源,2.15,2.16,2.12,2.15,2.14,0.01,0.4673,2.2773,55816402,119443640.0,7689450861.95,5269730644.35
2019-02-13,'600175,美都能源,2.14,2.18,2.1,2.12,2.13,0.01,0.4695,3.3217,81416425,174225662.0,7653685974.22,5245220269.26
2019-02-12,'600175,美都能源,2.13,2.16,2.05,2.07,2.06,0.07,3.3981,4.6654,114351208,241201033.0,7617921086.49,5220709894.17
2019-02-11,'600175,美都能源,2.06,2.08,1.97,1.98,1.97,0.09,4.5685,3.7235,91265200,185584502.0,7367566872.38,5049137268.54
2019-02-01,'600175,美都能源,1.97,2.02,1.88,1.9,1.93,0.04,2.0725,4.6391,113707040,223375804.0,7045682882.81,4828543892.73
2019-01-31,'600175,美都能源,1.93,1.98,1.93,1.93,2.14,-0.21,-9.8131,5.7295,140432086,272267720.0,6902623331.89,4730502392.37
2019-01-30,'600175,美都能源,2.14,2.22,2.12,2.16,2.19,-0.05,-2.2831,2.3243,56968737,123432882.0,7653685974.22,5245220269.26
2019-01-29,'600175,美都能源,2.19,2.23,2.08,2.21,2.22,-0.03,-1.3514,4.1331,101304707,218757628.0,7832510412.87,5367772144.71
2019-01-28,'600175,美都能源,2.22,2.36,2.22,2.35,2.33,-0.11,-4.721,3.5941,88093088,200641570.0,7939805076.06,5441303269.98
2019-01-25,'600175,美都能源,2.33,2.43,2.32,2.41,2.43,-0.1,-4.1152,4.8209,118162369,280190542.0,8333218841.09,5710917395.97
2019-01-24,'600175,美都能源,2.43,2.5,2.41,2.46,2.5,-0.07,-2.8,4.0415,99059195,242491409.0,8690867718.39,5956021146.87
2019-01-23,'600175,美都能源,2.5,2.57,2.38,2.4,2.44,0.06,2.459,6.9166,169528541,422551880.0,8941221932.5,6127593772.5
2019-01-22,'600175,美都能源,2.44,2.52,2.42,2.5,2.55,-0.11,-4.3137,5.3225,130456517,321448818.0,8726632606.12,5980531521.96
2019-01-21,'600175,美都能源,2.55,2.63,2.45,2.63,2.69,-0.14,-5.2045,9.4271,231061191,587155409.0,9120046371.15,6250145647.95
2019-01-18,'600175,美都能源,2.69,2.82,2.55,2.61,2.56,0.13,5.0781,16.5347,405271316,1106671829.0,9620754799.37,6593290899.21
2019-01-17,'600175,美都能源,2.56,2.56,2.28,2.31,2.33,0.23,9.8712,5.5368,135709720,332807608.0,9155811258.88,6274656023.04
2019-01-16,'600175,美都能源,2.33,2.35,2.29,2.32,2.31,0.02,0.8658,2.3229,56936312,132254894.0,8333218841.09,5710917395.97
2019-01-15,'600175,美都能源,2.31,2.34,2.26,2.32,2.34,-0.03,-1.2821,2.072,50784572,116696742.0,8261689065.63,5661896645.79
2019-01-14,'600175,美都能源,2.34,2.42,2.29,2.31,2.31,0.03,1.2987,2.8823,70647259,165544306.0,8368983728.82,5735427771.06
2019-01-11,'600175,美都能源,2.31,2.32,2.24,2.25,2.25,0.06,2.6667,2.6597,65191458,149074122.0,8261689065.63,5661896645.79
2019-01-10,'600175,美都能源,2.25,2.31,2.25,2.28,2.27,-0.02,-0.8811,1.3252,32481170,74029484.0,8047099739.25,5514834395.25
2019-01-09,'600175,美都能源,2.27,2.32,2.26,2.27,2.26,0.01,0.4425,1.877,46005383,105428372.0,8118629514.71,5563855145.43
2019-01-08,'600175,美都能源,2.26,2.29,2.23,2.27,2.27,-0.01,-0.4405,1.4385,35259237,79777784.0,8082864626.98,5539344770.34
2019-01-07,'600175,美都能源,2.27,2.29,2.21,2.22,2.2,0.07,3.1818,2.1842,53536200,120883365.0,8118629514.71,5563855145.43
2019-01-04,'600175,美都能源,2.2,2.23,2.07,2.12,2.15,0.05,2.3256,1.7424,42706622,92538887.0,7868275300.6,5392282519.8
2019-01-03,'600175,美都能源,2.15,2.19,2.13,2.17,2.16,-0.01,-0.463,0.6408,15706916,33940945.0,7689450861.95,5269730644.35
2019-01-02,'600175,美都能源,2.16,2.21,2.15,2.18,2.2,-0.04,-1.8182,0.8239,20194032,43882084.0,7725215749.68,5294241019.44
2018-12-28,'600175,美都能源,2.2,2.24,2.12,2.14,2.15,0.05,2.3256,1.9842,48632833,106474871.0,7868275300.6,5392282519.8
