ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'600819,Ò«Æ¤²£Á§,5.3,5.44,5.14,5.15,5.12,0.18,3.5156,0.8021,5994750,31991816.0,4955055165.7,3961305155.1
2019-04-25,'600819,Ò«Æ¤²£Á§,5.12,5.55,5.03,5.52,5.5,-0.38,-6.9091,0.5455,4077018,21681997.0,4786770273.28,3826770263.04
2019-04-24,'600819,Ò«Æ¤²£Á§,5.5,5.55,5.38,5.53,5.52,-0.02,-0.3623,0.3568,2666896,14560638.0,5142038379.5,4110788368.5
2019-04-23,'600819,Ò«Æ¤²£Á§,5.52,5.66,5.42,5.62,5.6,-0.08,-1.4286,0.4708,3518900,19471524.0,5160736700.88,4125736689.84
2019-04-22,'600819,Ò«Æ¤²£Á§,5.6,5.76,5.59,5.72,5.67,-0.07,-1.2346,0.4089,3055963,17332368.0,5235529986.4,4185529975.2
2019-04-19,'600819,Ò«Æ¤²£Á§,5.67,5.72,5.61,5.68,5.68,-0.01,-0.1761,0.314,2346901,13239995.0,5300974111.23,4237849099.89
2019-04-18,'600819,Ò«Æ¤²£Á§,5.68,5.79,5.66,5.77,5.77,-0.09,-1.5598,0.2814,2102945,12055209.0,5310323271.92,4245323260.56
2019-04-17,'600819,Ò«Æ¤²£Á§,5.77,5.83,5.69,5.73,5.7,0.07,1.2281,0.398,2974757,17151762.0,5394465718.13,4312590706.59
2019-04-16,'600819,Ò«Æ¤²£Á§,5.7,5.72,5.61,5.67,5.67,0.03,0.5291,0.4189,3130780,17787309.0,5329021593.3,4260271581.9
2019-04-15,'600819,Ò«Æ¤²£Á§,5.67,5.77,5.67,5.68,5.64,0.03,0.5319,0.3404,2544451,14576016.0,5300974111.23,4237849099.89
2019-04-12,'600819,Ò«Æ¤²£Á§,5.64,5.75,5.59,5.72,5.72,-0.08,-1.3986,0.6064,4532173,25538704.0,5272926629.16,4215426617.88
