日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600343,航天动力,10.07,10.27,10.01,10.01,10.14,-0.07,-0.6903,0.9217,5882207,59588947.0,6426737924.36,6426737924.36
2019-04-25,'600343,航天动力,10.14,10.78,10.1,10.62,10.68,-0.54,-5.0562,1.3236,8447532,87899762.0,6471412368.72,6471412368.72
2019-04-24,'600343,航天动力,10.68,10.72,10.52,10.57,10.62,0.06,0.565,0.9606,6130866,65119949.0,6816043796.64,6816043796.64
2019-04-23,'600343,航天动力,10.62,11.06,10.53,11.03,11.02,-0.4,-3.6298,1.6594,10590335,113705816.0,6777751415.76,6777751415.76
2019-04-22,'600343,航天动力,11.02,11.35,10.97,11.34,11.27,-0.25,-2.2183,1.4628,9335615,104043446.0,7033033954.96,7033033954.96
2019-04-19,'600343,航天动力,11.27,11.45,11.13,11.41,11.42,-0.15,-1.3135,1.4302,9127684,102616956.0,7192585541.96,7192585541.96
2019-04-18,'600343,航天动力,11.42,11.68,11.34,11.4,11.4,0.02,0.1754,1.8184,11605139,133439181.0,7288316494.16,7288316494.16
2019-04-17,'600343,航天动力,11.4,11.51,11.3,11.43,11.42,-0.02,-0.1751,1.5102,9638467,110129447.0,7275552367.2,7275552367.2
2019-04-16,'600343,航天动力,11.42,11.45,10.88,11.22,11.42,0.0,0.0,2.2278,14217996,159152468.0,7288316494.16,7288316494.16
2019-04-15,'600343,航天动力,11.42,11.79,11.4,11.5,11.36,0.06,0.5282,1.7818,11371433,131844478.0,7288316494.16,7288316494.16
2019-04-12,'600343,航天动力,11.36,11.46,11.24,11.39,11.4,-0.04,-0.3509,1.2319,7861825,89223914.0,7250024113.28,7250024113.28
2019-04-11,'600343,航天动力,11.4,11.73,11.25,11.55,11.48,-0.08,-0.6969,2.0702,13211838,152019118.0,7275552367.2,7275552367.2
2019-04-10,'600343,航天动力,11.48,11.7,11.39,11.65,11.83,-0.35,-2.9586,2.1094,13462610,154846400.0,7326608875.04,7326608875.04
2019-04-09,'600343,航天动力,11.83,12.01,11.69,11.81,11.88,-0.05,-0.4209,1.804,11513251,136397293.0,7549981096.84,7549981096.84
2019-04-08,'600343,航天动力,11.88,12.35,11.55,12.17,12.17,-0.29,-2.3829,3.5493,22651674,270043703.0,7581891414.24,7581891414.24
2019-04-04,'600343,航天动力,12.17,12.45,12.15,12.26,12.46,-0.29,-2.3274,3.7372,23851069,292386043.0,7766971255.16,7766971255.16
2019-04-03,'600343,航天动力,12.46,12.58,11.99,12.56,12.56,-0.1,-0.7962,6.5537,41825912,514168086.0,7952051096.08,7952051096.08
2019-04-02,'600343,航天动力,12.56,12.56,11.4,11.5,11.42,1.14,9.9825,4.0291,25714265,313187747.0,8015871730.88,8015871730.88
2019-04-01,'600343,航天动力,11.42,11.99,11.42,11.99,11.02,0.4,3.6298,6.5684,41920005,486953472.0,7288316494.16,7288316494.16
2019-03-29,'600343,航天动力,0.0,0.0,0.0,0.0,11.02,None,None,0.0,0,0.0,7033033954.96,7033033954.96
2019-03-28,'600343,航天动力,0.0,0.0,0.0,0.0,11.02,None,None,0.0,0,0.0,7033033954.96,7033033954.96
2019-03-27,'600343,航天动力,0.0,0.0,0.0,0.0,11.02,None,None,0.0,0,0.0,7033033954.96,7033033954.96
2019-03-26,'600343,航天动力,0.0,0.0,0.0,0.0,11.02,None,None,0.0,0,0.0,7033033954.96,7033033954.96
