日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600151,航天机电,6.02,6.23,5.96,6.14,6.33,-0.31,-4.8973,1.8127,25172741,153651702.0,8634198767.74,8359948276.54
2019-04-25,'600151,航天机电,6.33,6.62,6.26,6.45,6.49,-0.16,-2.4653,1.8197,25269611,164145976.0,9078816976.71,8790443951.91
2019-04-24,'600151,航天机电,6.49,6.53,6.11,6.33,6.34,0.15,2.3659,1.8868,26201359,166433958.0,9308297342.63,9012635268.23
2019-04-23,'600151,航天机电,6.34,6.66,6.32,6.64,6.64,-0.3,-4.5181,1.6901,23470071,150823027.0,9093159499.58,8804330909.18
2019-04-22,'600151,航天机电,6.64,6.76,6.6,6.68,6.64,0.0,0.0,1.6529,22953372,153261033.0,9523435185.68,9220939627.28
2019-04-19,'600151,航天机电,6.64,6.7,6.5,6.69,6.7,-0.06,-0.8955,1.3046,18117542,119457883.0,9523435185.68,9220939627.28
2019-04-18,'600151,航天机电,6.7,6.8,6.55,6.67,6.63,0.07,1.0558,1.6964,23558075,157592424.0,9609490322.9,9304261370.9
2019-04-17,'600151,航天机电,6.63,6.73,6.54,6.56,6.59,0.04,0.607,1.6402,22777431,150881465.0,9509092662.81,9207052670.01
2019-04-16,'600151,航天机电,6.59,6.63,6.34,6.59,6.6,-0.01,-0.1515,2.034,28246151,183402309.0,9451722571.33,9151504840.93
2019-04-15,'600151,航天机电,6.6,6.83,6.59,6.76,6.68,-0.08,-1.1976,1.7385,24141863,162366284.0,9466065094.2,9165391798.2
2019-04-12,'600151,航天机电,6.68,6.77,6.54,6.57,6.6,0.08,1.2121,1.6564,23001871,153412740.0,9580805277.16,9276487456.36
2019-04-11,'600151,航天机电,6.6,6.96,6.57,6.95,6.91,-0.31,-4.4863,2.2542,31304553,210965146.0,9466065094.2,9165391798.2
2019-04-10,'600151,航天机电,6.91,6.95,6.71,6.77,6.85,0.06,0.8759,2.348,32607011,224014800.0,9910683303.17,9595887473.57
2019-04-09,'600151,航天机电,6.85,6.94,6.63,6.66,6.72,0.13,1.9345,2.9623,41137177,279542265.0,9824628165.95,9512565729.95
2019-04-08,'600151,航天机电,6.72,6.82,6.53,6.74,6.66,0.06,0.9009,2.6436,36710969,245428659.0,9638175368.64,9332035285.44
2019-04-04,'600151,航天机电,6.66,6.86,6.61,6.82,6.78,-0.12,-1.7699,2.5914,35987010,240704894.0,9552120231.42,9248713541.82
2019-04-03,'600151,航天机电,6.78,6.86,6.62,6.62,6.8,-0.02,-0.2941,2.4982,34693052,233351381.0,9724230505.86,9415357029.06
2019-04-02,'600151,航天机电,6.8,7.08,6.71,6.92,6.83,-0.03,-0.4392,3.9174,54401365,374927696.0,9752915551.6,9443130943.6
2019-04-01,'600151,航天机电,6.83,6.95,6.61,6.68,6.51,0.32,4.9155,4.1061,57020648,387655097.0,9795943120.21,9484791815.41
2019-03-29,'600151,航天机电,6.51,6.59,6.09,6.09,6.03,0.48,7.9602,4.5417,63070235,403544140.0,9336982388.37,9040409182.77
2019-03-28,'600151,航天机电,6.03,6.6,6.0,6.27,6.15,-0.12,-1.9512,3.3827,46975381,297138627.0,8648541290.61,8373835233.81
2019-03-27,'600151,航天机电,6.15,6.3,5.86,6.25,6.17,-0.02,-0.3241,2.3533,32680423,199042004.0,8820651565.05,8540478721.05
2019-03-26,'600151,航天机电,6.17,6.79,6.13,6.72,6.68,-0.51,-7.6347,5.1633,71702580,460102417.0,8849336610.79,8568252635.59
2019-03-25,'600151,航天机电,6.68,6.95,6.25,6.3,6.32,0.36,5.6962,7.0341,97682783,661347972.0,9580805277.16,9276487456.36
2019-03-22,'600151,航天机电,6.32,6.57,6.01,6.07,6.07,0.25,4.1186,4.1885,58165960,368156070.0,9064474453.84,8776556994.64
2019-03-21,'600151,航天机电,6.07,6.27,5.96,6.06,6.17,-0.1,-1.6207,4.0288,55947403,341608418.0,8705911382.09,8429383062.89
2019-03-20,'600151,航天机电,6.17,6.29,5.65,5.75,5.72,0.45,7.8671,5.2976,73567972,438742912.0,8849336610.79,8568252635.59
2019-03-19,'600151,航天机电,5.72,5.83,5.59,5.62,5.62,0.1,1.7794,2.4066,33420316,191329442.0,8203923081.64,7943339558.44
2019-03-18,'600151,航天机电,5.62,5.67,5.47,5.62,5.58,0.04,0.7168,1.7815,24739058,137696228.0,8060497852.94,7804469985.74
2019-03-15,'600151,航天机电,5.58,5.68,5.5,5.65,5.53,0.05,0.9042,2.2055,30627341,170600685.0,8003127761.46,7748922156.66
2019-03-14,'600151,航天机电,5.53,5.68,5.29,5.55,5.68,-0.15,-2.6408,2.932,40716598,223645670.0,7931415147.11,7679487370.31
2019-03-13,'600151,航天机电,5.68,6.04,5.64,5.76,5.75,-0.07,-1.2174,5.0166,69665244,406930185.0,8146552990.16,7887791729.36
2019-03-12,'600151,航天机电,5.75,5.91,5.48,5.56,5.54,0.21,3.7906,5.0757,70486002,400307290.0,8246950650.25,7985000430.25
2019-03-11,'600151,航天机电,5.54,5.55,5.26,5.27,5.28,0.26,4.9242,2.8455,39515355,215715247.0,7945757669.98,7693374327.58
2019-03-08,'600151,航天机电,5.28,5.66,5.28,5.55,5.69,-0.41,-7.2056,3.9213,54455171,298482792.0,7572852075.36,7332313438.56
