日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300087,荃银高科,8.08,8.18,7.97,8.03,8.02,0.06,0.7481,0.9446,4064863,32916990.97,3477066973.68,3477066973.68
2019-04-25,'300087,荃银高科,8.02,8.5,8.01,8.43,8.5,-0.48,-5.6471,1.5859,6824636,56463128.97,3451247169.42,3451247169.42
2019-04-24,'300087,荃银高科,8.5,8.6,8.31,8.52,8.5,0.0,0.0,1.5029,6467417,54605453.04,3657805603.5,3657805603.5
2019-04-23,'300087,荃银高科,8.5,8.92,8.41,8.92,8.92,-0.42,-4.7085,3.1211,13431066,115465510.95,3657805603.5,3657805603.5
2019-04-22,'300087,荃银高科,8.92,8.95,8.1,8.27,8.22,0.7,8.5158,3.5891,15444901,130945353.64,3838544233.32,3838544233.32
2019-04-19,'300087,荃银高科,8.22,8.27,8.15,8.25,8.24,-0.02,-0.2427,0.9266,3987649,32691017.47,3537313183.62,3537313183.62
2019-04-18,'300087,荃银高科,8.24,8.31,8.19,8.31,8.28,-0.04,-0.4831,1.0823,4657672,38408840.17,3545919785.04,3545919785.04
2019-04-17,'300087,荃银高科,8.28,8.29,8.1,8.17,8.18,0.1,1.2225,1.4825,6379594,52583587.44,3563132987.88,3563132987.88
2019-04-16,'300087,荃银高科,8.18,8.18,8.0,8.03,8.12,0.06,0.7389,1.0967,4719611,38171342.31,3520099980.78,3520099980.78
2019-04-15,'300087,荃银高科,8.12,8.33,8.12,8.3,8.25,-0.13,-1.5758,1.2047,5184046,42754986.43,3494280176.52,3494280176.52
2019-04-12,'300087,荃银高科,8.25,8.25,8.14,8.21,8.21,0.04,0.4872,0.8736,3759171,30865740.49,3550223085.75,3550223085.75
2019-04-11,'300087,荃银高科,8.21,8.32,8.19,8.27,8.27,-0.06,-0.7255,1.0649,4582478,37788884.92,3533009882.91,3533009882.91
2019-04-10,'300087,荃银高科,8.27,8.34,8.14,8.29,8.3,-0.03,-0.3614,1.1558,4973678,40974078.9,3558829687.17,3558829687.17
2019-04-09,'300087,荃银高科,8.3,8.41,8.2,8.28,8.26,0.04,0.4843,1.442,6205358,51432315.55,3571739589.3,3571739589.3
2019-04-08,'300087,荃银高科,8.26,8.42,8.2,8.23,8.21,0.05,0.609,1.8121,7797865,64767755.63,3554526386.46,3554526386.46
2019-04-04,'300087,荃银高科,8.21,8.36,8.15,8.36,8.3,-0.09,-1.0843,1.4301,6154042,50659270.88,3533009882.91,3533009882.91
2019-04-03,'300087,荃银高科,8.3,8.32,8.1,8.2,8.2,0.1,1.2195,1.4819,6377007,52618760.64,3571739589.3,3571739589.3
2019-04-02,'300087,荃银高科,8.2,8.35,8.13,8.16,8.13,0.07,0.861,1.7217,7409100,60882598.8,3528706582.2,3528706582.2
2019-04-01,'300087,荃银高科,8.13,8.17,7.82,7.88,7.81,0.32,4.0973,1.4826,6379907,51425084.8,3498583477.23,3498583477.23
2019-03-29,'300087,荃银高科,7.81,7.84,7.58,7.69,7.62,0.19,2.4934,1.2064,5191671,40218078.15,3360877854.51,3360877854.51
2019-03-28,'300087,荃银高科,7.62,7.87,7.61,7.87,7.86,-0.24,-3.0534,1.125,4841059,37526744.78,3279115141.02,3279115141.02
2019-03-27,'300087,荃银高科,7.86,8.07,7.74,8.0,7.97,-0.11,-1.3802,1.1091,4772974,37599102.35,3382394358.06,3382394358.06
2019-03-26,'300087,荃银高科,7.97,8.25,7.95,8.22,8.14,-0.17,-2.0885,1.2447,5356141,43337502.88,3429730665.87,3429730665.87
2019-03-25,'300087,荃银高科,8.14,8.27,7.89,8.09,8.19,-0.05,-0.6105,1.2482,5371558,43731967.25,3502886777.94,3502886777.94
2019-03-22,'300087,荃银高科,8.19,8.36,8.1,8.33,8.34,-0.15,-1.7986,1.4422,6206153,50981718.3,3524403281.49,3524403281.49
