日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002146,荣盛发展,10.25,10.59,10.16,10.42,10.47,-0.22,-2.1012,0.9192,39969242,414123753.24,44568679472.8,44568679472.8
2019-04-25,'002146,荣盛发展,10.47,10.75,10.41,10.66,10.66,-0.19,-1.7824,0.6854,29804154,315595989.87,45525275520.0,45525275520.0
2019-04-24,'002146,荣盛发展,10.66,10.74,10.42,10.67,10.6,0.06,0.566,0.6919,30084521,318226104.65,46351426651.7,46351426651.7
2019-04-23,'002146,荣盛发展,10.6,10.71,10.42,10.44,10.44,0.16,1.5326,0.9253,40235474,426218347.8,46090536820.6,46090536820.6
2019-04-22,'002146,荣盛发展,10.44,11.24,10.4,11.24,11.33,-0.89,-7.8553,2.1396,93032266,989332103.75,45394830604.4,45394830604.4
2019-04-19,'002146,荣盛发展,11.33,11.42,11.2,11.26,11.24,0.09,0.8007,0.735,31957706,360740011.83,49264696431.8,49264696431.8
2019-04-18,'002146,荣盛发展,11.24,11.56,11.2,11.51,11.49,-0.25,-2.1758,0.7394,32152435,364478661.52,48873361685.2,48873361685.2
2019-04-17,'002146,荣盛发展,11.49,11.77,11.39,11.72,11.76,-0.27,-2.2959,1.1406,49593199,573263183.25,49960402648.0,49960402648.0
2019-04-16,'002146,荣盛发展,11.76,11.78,11.1,11.67,11.74,0.02,0.1704,1.6129,70132157,802208408.02,51134406887.8,51134406887.8
2019-04-15,'002146,荣盛发展,11.74,12.25,11.72,12.21,11.96,-0.22,-1.8395,0.8075,35111330,422472260.6,51047443610.7,51047443610.7
2019-04-12,'002146,荣盛发展,11.96,12.1,11.83,11.86,11.88,0.08,0.6734,0.5951,25873920,309655719.04,52004039658.0,52004039658.0
2019-04-11,'002146,荣盛发展,11.88,12.39,11.81,12.28,12.3,-0.42,-3.4146,0.7648,33255191,400107905.9,51656186549.9,51656186549.9
2019-04-10,'002146,荣盛发展,12.3,12.45,12.1,12.36,12.51,-0.21,-1.6787,1.0742,46707788,572339820.02,53482415367.3,53482415367.3
2019-04-09,'002146,荣盛发展,12.51,12.6,12.09,12.1,11.89,0.62,5.2145,2.0405,88725453,1094923539.85,54395529776.0,54395529776.0
