日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600543,莫高股份,7.43,7.59,7.34,7.42,7.39,0.04,0.5413,1.722,5529547,41242675.0,2385921600.0,2385921600.0
2019-04-25,'600543,莫高股份,7.39,7.97,7.36,7.97,7.94,-0.55,-6.927,2.0717,6652528,51071447.0,2373076800.0,2373076800.0
2019-04-24,'600543,莫高股份,7.94,7.97,7.79,7.87,7.87,0.07,0.8895,1.203,3862925,30512977.0,2549692800.0,2549692800.0
2019-04-23,'600543,莫高股份,7.87,8.05,7.73,7.99,8.0,-0.13,-1.625,1.8629,5982097,47303678.0,2527214400.0,2527214400.0
2019-04-22,'600543,莫高股份,8.0,8.27,7.97,8.14,8.14,-0.14,-1.7199,2.1085,6770783,54928208.0,2568960000.0,2568960000.0
2019-04-19,'600543,莫高股份,8.14,8.34,7.96,8.25,8.26,-0.12,-1.4528,2.7484,8825571,71792297.0,2613916800.0,2613916800.0
2019-04-18,'600543,莫高股份,8.26,8.49,8.12,8.16,8.17,0.09,1.1016,3.9287,12615866,104869089.0,2652451200.0,2652451200.0
2019-04-17,'600543,莫高股份,8.17,8.25,8.07,8.08,8.11,0.06,0.7398,2.6663,8561980,69961689.0,2623550400.0,2623550400.0
2019-04-16,'600543,莫高股份,8.11,8.11,7.88,8.01,8.04,0.07,0.8706,2.1542,6917588,55410335.0,2604283200.0,2604283200.0
2019-04-15,'600543,莫高股份,8.04,8.19,7.96,7.98,7.89,0.15,1.9011,3.2514,10440736,84373476.0,2581804800.0,2581804800.0
2019-04-12,'600543,莫高股份,7.89,8.06,7.82,7.89,7.86,0.03,0.3817,2.0162,6474264,51466825.0,2533636800.0,2533636800.0
2019-04-11,'600543,莫高股份,7.86,8.22,7.86,8.22,8.22,-0.36,-4.3796,3.238,10397786,83342353.0,2524003200.0,2524003200.0
2019-04-10,'600543,莫高股份,8.22,8.32,8.03,8.17,8.18,0.04,0.489,3.0664,9846677,80628466.0,2639606400.0,2639606400.0
2019-04-09,'600543,莫高股份,8.18,8.23,8.05,8.19,8.26,-0.08,-0.9685,3.1315,10056012,81683603.0,2626761600.0,2626761600.0
2019-04-08,'600543,莫高股份,8.26,8.57,8.06,8.43,8.39,-0.13,-1.5495,5.1761,16621480,138235876.0,2652451200.0,2652451200.0
2019-04-04,'600543,莫高股份,8.39,8.43,8.14,8.21,8.19,0.2,2.442,6.0117,19304798,159995633.0,2694196800.0,2694196800.0
2019-04-03,'600543,莫高股份,8.19,8.31,8.05,8.09,8.16,0.03,0.3676,3.7095,11912095,97461112.0,2629972800.0,2629972800.0
2019-04-02,'600543,莫高股份,8.16,8.42,8.03,8.4,8.33,-0.17,-2.0408,6.4644,20758375,171273769.0,2620339200.0,2620339200.0
2019-04-01,'600543,莫高股份,8.33,8.48,8.15,8.17,8.33,0.0,0.0,7.6337,24513380,204306272.0,2674929600.0,2674929600.0
2019-03-29,'600543,莫高股份,8.33,8.47,7.6,7.76,8.02,0.31,3.8653,9.1807,29481031,236325286.0,2674929600.0,2674929600.0
2019-03-28,'600543,莫高股份,8.02,8.5,8.02,8.31,8.91,-0.89,-9.9888,11.0645,35530349,292261915.0,2575382400.0,2575382400.0
2019-03-27,'600543,莫高股份,8.91,9.2,7.79,8.5,8.36,0.55,6.5789,18.979,60945503,521784412.0,2861179200.0,2861179200.0
2019-03-26,'600543,莫高股份,8.36,8.36,7.6,7.8,7.6,0.76,10.0,4.7248,15172273,124483190.0,2684563200.0,2684563200.0
2019-03-25,'600543,莫高股份,7.6,7.65,7.25,7.27,7.42,0.18,2.4259,5.0096,16086696,120623369.0,2440512000.0,2440512000.0
2019-03-22,'600543,莫高股份,7.42,7.57,7.32,7.39,7.38,0.04,0.542,4.2864,13764526,102402411.0,2382710400.0,2382710400.0
2019-03-21,'600543,莫高股份,7.38,7.54,7.16,7.22,7.22,0.16,2.2161,6.0034,19278080,141552292.0,2369865600.0,2369865600.0
2019-03-20,'600543,莫高股份,7.22,7.42,7.11,7.13,7.14,0.08,1.1204,5.0459,16203305,117310502.0,2318486400.0,2318486400.0
2019-03-19,'600543,莫高股份,7.14,7.19,7.04,7.13,7.15,-0.01,-0.1399,3.5958,11546797,82074542.0,2292796800.0,2292796800.0
2019-03-18,'600543,莫高股份,7.15,7.19,6.86,6.98,6.92,0.23,3.3237,4.7754,15334702,108859970.0,2296008000.0,2296008000.0
2019-03-15,'600543,莫高股份,6.92,6.96,6.82,6.83,6.81,0.11,1.6153,2.6468,8499519,58658376.0,2222150400.0,2222150400.0
2019-03-14,'600543,莫高股份,6.81,7.03,6.69,6.93,7.0,-0.19,-2.7143,2.9649,9521036,65054987.0,2186827200.0,2186827200.0
2019-03-13,'600543,莫高股份,7.0,7.16,6.91,7.13,7.11,-0.11,-1.5471,3.3391,10722662,75916875.0,2247840000.0,2247840000.0
2019-03-12,'600543,莫高股份,7.11,7.16,6.94,6.94,6.93,0.18,2.5974,5.1713,16606028,117127731.0,2283163200.0,2283163200.0
2019-03-11,'600543,莫高股份,6.93,6.95,6.72,6.72,6.66,0.27,4.0541,3.4528,11087634,75817112.0,2225361600.0,2225361600.0
2019-03-08,'600543,莫高股份,6.66,7.03,6.64,6.97,7.12,-0.46,-6.4607,5.5253,17742958,122242344.0,2138659200.0,2138659200.0
2019-03-07,'600543,莫高股份,7.12,7.22,6.94,7.02,7.03,0.09,1.2802,9.9217,31860513,223476490.0,2286374400.0,2286374400.0
2019-03-06,'600543,莫高股份,7.03,7.07,6.85,6.9,6.88,0.15,2.1802,4.9617,15932909,110801878.0,2257473600.0,2257473600.0
2019-03-05,'600543,莫高股份,6.88,6.89,6.74,6.79,6.88,0.0,0.0,5.4845,17611712,119896236.0,2209305600.0,2209305600.0
2019-03-04,'600543,莫高股份,6.88,6.98,6.66,6.71,6.69,0.19,2.8401,9.0623,29101000,196826505.0,2209305600.0,2209305600.0
2019-03-01,'600543,莫高股份,6.69,6.79,6.6,6.75,6.74,-0.05,-0.7418,1.7232,5533524,37036558.0,2148292800.0,2148292800.0
2019-02-28,'600543,莫高股份,6.74,6.81,6.66,6.72,6.68,0.06,0.8982,2.0285,6513852,43840434.0,2164348800.0,2164348800.0
2019-02-27,'600543,莫高股份,6.68,6.83,6.6,6.69,6.65,0.03,0.4511,2.6724,8581576,57652760.0,2145081600.0,2145081600.0
2019-02-26,'600543,莫高股份,6.65,6.81,6.58,6.62,6.63,0.02,0.3017,3.7928,12179563,81185481.0,2135448000.0,2135448000.0
2019-02-25,'600543,莫高股份,6.63,6.65,6.4,6.4,6.35,0.28,4.4094,3.7276,11969982,78123483.0,2129025600.0,2129025600.0
2019-02-22,'600543,莫高股份,6.35,6.37,6.26,6.34,6.33,0.02,0.316,2.6806,8607925,54326869.0,2039112000.0,2039112000.0
2019-02-21,'600543,莫高股份,6.33,6.41,6.29,6.37,6.36,-0.03,-0.4717,2.3232,7460256,47419944.0,2032689600.0,2032689600.0
2019-02-20,'600543,莫高股份,6.36,6.42,6.3,6.38,6.37,-0.01,-0.157,1.8779,6030455,38359686.0,2042323200.0,2042323200.0
2019-02-19,'600543,莫高股份,6.37,6.44,6.32,6.43,6.44,-0.07,-1.087,1.614,5182917,33102273.0,2045534400.0,2045534400.0
2019-02-18,'600543,莫高股份,6.44,6.45,6.28,6.28,6.29,0.15,2.3847,0.9364,3006923,19196054.0,2068012800.0,2068012800.0
2019-02-15,'600543,莫高股份,6.29,6.35,6.25,6.3,6.28,0.01,0.1592,0.864,2774581,17492401.0,2019844800.0,2019844800.0
2019-02-14,'600543,莫高股份,6.28,6.32,6.2,6.21,6.21,0.07,1.1272,1.0936,3511677,22051988.0,2016633600.0,2016633600.0
2019-02-13,'600543,莫高股份,6.21,6.23,6.13,6.16,6.15,0.06,0.9756,0.9514,3055276,18872901.0,1994155200.0,1994155200.0
2019-02-12,'600543,莫高股份,6.15,6.18,6.04,6.05,6.06,0.09,1.4851,0.8514,2733979,16736526.0,1974888000.0,1974888000.0
2019-02-11,'600543,莫高股份,6.06,6.08,5.94,5.97,5.96,0.1,1.6779,0.8237,2645175,15960201.0,1945987200.0,1945987200.0
2019-02-01,'600543,莫高股份,5.96,5.96,5.84,5.85,5.82,0.14,2.4055,0.7306,2346016,13875275.0,1913875200.0,1913875200.0
2019-01-31,'600543,莫高股份,5.82,5.9,5.81,5.86,5.86,-0.04,-0.6826,0.6785,2178700,12747351.0,1868918400.0,1868918400.0
2019-01-30,'600543,莫高股份,5.86,5.99,5.86,5.9,5.97,-0.11,-1.8425,0.7392,2373582,14071215.0,1881763200.0,1881763200.0
2019-01-29,'600543,莫高股份,5.97,6.11,5.86,6.11,6.1,-0.13,-2.1311,1.2215,3922496,23305449.0,1917086400.0,1917086400.0
2019-01-28,'600543,莫高股份,6.1,6.38,6.07,6.37,6.34,-0.24,-3.7855,1.6518,5304194,33028295.0,1958832000.0,1958832000.0
2019-01-25,'600543,莫高股份,6.34,6.43,6.3,6.42,6.44,-0.1,-1.5528,1.2641,4059300,25887376.0,2035900800.0,2035900800.0
