»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'603900,¿≥…Õ®¡È,14.2,14.47,14.13,14.26,14.39,-0.19,-1.3204,1.8077,1538717,22018406.0,4834728528.0,1208682132.0
2019-04-25,'603900,¿≥…Õ®¡È,14.39,14.95,14.31,14.95,14.95,-0.56,-3.7458,2.7571,2346759,34305263.0,4899418557.6,1224854639.4
2019-04-24,'603900,¿≥…Õ®¡È,14.95,14.97,14.57,14.79,14.77,0.18,1.2187,2.311,1967100,29121698.0,5090083908.0,1272520977.0
2019-04-23,'603900,¿≥…Õ®¡È,14.77,14.93,14.54,14.78,14.73,0.04,0.2716,2.7184,2313849,34164992.0,5028798616.8,1257199654.2
2019-04-22,'603900,¿≥…Õ®¡È,14.73,15.15,14.71,15.1,15.15,-0.42,-2.7723,3.8983,3318160,49571276.0,5015179663.2,1253794915.8
2019-04-19,'603900,¿≥…Õ®¡È,15.15,16.07,14.84,16.06,16.04,-0.89,-5.5486,8.7111,7414765,113030838.0,5158178676.0,1289544669.0
2019-04-18,'603900,¿≥…Õ®¡È,16.04,16.19,15.81,15.97,15.98,0.06,0.3755,3.7626,3202674,51383889.0,5461200393.6,1365300098.4
2019-04-17,'603900,¿≥…Õ®¡È,15.98,16.29,15.75,16.15,16.1,-0.12,-0.7453,4.2734,3637454,58101600.0,5440771963.2,1360192990.8
2019-04-16,'603900,¿≥…Õ®¡È,16.1,16.22,15.7,16.2,16.26,-0.16,-0.984,5.3441,4548801,72395109.0,5481628824.0,1370407206.0
2019-04-15,'603900,¿≥…Õ®¡È,16.26,17.19,16.24,17.13,17.0,-0.74,-4.3529,7.0988,6042421,101309394.0,5536104638.4,1384026159.6
