日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000558,莱茵体育,3.94,4.06,3.91,4.04,4.02,-0.08,-1.99,0.9931,12798077,50963469.81,5079542359.06,5077473205.02
2019-04-25,'000558,莱茵体育,4.02,4.22,4.02,4.21,4.19,-0.17,-4.0573,1.0536,13577450,55649722.0,5182680274.98,5180569107.66
2019-04-24,'000558,莱茵体育,4.19,4.29,4.12,4.26,4.26,-0.07,-1.6432,0.886,11417801,47843492.18,5401848346.31,5399647900.77
2019-04-23,'000558,莱茵体育,4.26,4.32,4.24,4.29,4.29,-0.03,-0.6993,0.6934,8936004,38208120.16,5492094022.74,5489856815.58
2019-04-22,'000558,莱茵体育,4.29,4.35,4.23,4.34,4.31,-0.02,-0.464,1.1516,14841078,63667873.34,5530770741.21,5528517779.07
2019-04-19,'000558,莱茵体育,4.31,4.44,4.27,4.27,4.27,0.04,0.9368,1.2929,16661441,72317089.97,5556555220.19,5554291754.73
2019-04-18,'000558,莱茵体育,4.27,4.39,4.25,4.37,4.37,-0.1,-2.2883,1.0876,14016009,60189976.84,5504986262.23,5502743803.41
2019-04-17,'000558,莱茵体育,4.37,4.44,4.28,4.31,4.32,0.05,1.1574,1.4608,18825592,82141706.54,5633908657.13,5631613681.71
2019-04-16,'000558,莱茵体育,4.32,4.33,4.14,4.29,4.33,-0.01,-0.2309,1.7427,22458285,95486724.3,5569447459.68,5567178742.56
2019-04-15,'000558,莱茵体育,4.33,4.55,4.31,4.51,4.48,-0.15,-3.3482,1.4455,18628040,82738104.9,5582339699.17,5580065730.39
2019-04-12,'000558,莱茵体育,4.48,4.54,4.41,4.45,4.47,0.01,0.2237,0.9959,12834558,57466637.63,5775723291.52,5773370547.84
2019-04-11,'000558,莱茵体育,4.47,4.65,4.47,4.61,4.56,-0.09,-1.9737,1.4031,18082124,82055826.52,5762831052.03,5760483560.01
