ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'600186,Á«»¨½¡¿µ,0.0,0.0,0.0,0.0,2.24,None,None,0.0,0,0.0,2378934456.64,2378934456.64
2019-04-25,'600186,Á«»¨½¡¿µ,2.24,2.42,2.16,2.23,2.3,-0.06,-2.6087,9.2225,97945368,225316477.0,2378934456.64,2378934456.64
2019-04-24,'600186,Á«»¨½¡¿µ,2.3,2.32,2.07,2.09,2.11,0.19,9.0047,8.8826,94335146,211362291.0,2442655915.3,2442655915.3
2019-04-23,'600186,Á«»¨½¡¿µ,2.11,2.2,2.11,2.2,2.2,-0.09,-4.0909,4.0784,43313772,92625025.0,2240871296.21,2240871296.21
2019-04-22,'600186,Á«»¨½¡¿µ,2.2,2.25,2.11,2.12,2.12,0.08,3.7736,7.536,80033840,176465241.0,2336453484.2,2336453484.2
2019-04-19,'600186,Á«»¨½¡¿µ,2.12,2.12,2.06,2.08,2.08,0.04,1.9231,2.782,29545067,62114335.0,2251491539.32,2251491539.32
2019-04-18,'600186,Á«»¨½¡¿µ,2.08,2.12,2.07,2.11,2.11,-0.03,-1.4218,2.0817,22107924,46188588.0,2209010566.88,2209010566.88
2019-04-17,'600186,Á«»¨½¡¿µ,2.11,2.12,2.08,2.11,2.1,0.01,0.4762,1.9408,20611725,43353857.0,2240871296.21,2240871296.21
2019-04-16,'600186,Á«»¨½¡¿µ,2.1,2.11,2.02,2.07,2.08,0.02,0.9615,2.0444,21712077,44772799.0,2230251053.1,2230251053.1
2019-04-15,'600186,Á«»¨½¡¿µ,2.08,2.14,2.07,2.11,2.11,-0.03,-1.4218,2.2494,23888660,50350196.0,2209010566.88,2209010566.88
2019-04-12,'600186,Á«»¨½¡¿µ,2.11,2.13,2.1,2.12,2.13,-0.02,-0.939,1.8211,19340002,40848389.0,2240871296.21,2240871296.21
2019-04-11,'600186,Á«»¨½¡¿µ,2.13,2.18,2.11,2.18,2.2,-0.07,-3.1818,2.9743,31587765,67720265.0,2262111782.43,2262111782.43
2019-04-10,'600186,Á«»¨½¡¿µ,2.2,2.2,2.14,2.16,2.15,0.05,2.3256,3.4526,36667485,79707353.0,2336453484.2,2336453484.2
