日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300484,蓝海华腾,12.18,12.3,12.03,12.1,12.18,0.0,0.0,0.9937,2066907,25191931.37,2533440000.0,2533440000.0
2019-04-25,'300484,蓝海华腾,12.18,12.93,12.18,12.87,12.85,-0.67,-5.214,1.4491,3014189,37967389.39,2533440000.0,2533440000.0
2019-04-24,'300484,蓝海华腾,12.85,12.9,12.48,12.79,12.8,0.05,0.3906,1.3856,2881989,36553495.64,2672800000.0,2672800000.0
2019-04-23,'300484,蓝海华腾,12.8,13.45,12.8,12.95,13.05,-0.25,-1.9157,2.0659,4297150,56215320.5,2662400000.0,2662400000.0
2019-04-22,'300484,蓝海华腾,13.05,13.49,12.92,13.25,13.28,-0.23,-1.7319,1.4841,3086933,40748895.25,2714400000.0,2714400000.0
2019-04-19,'300484,蓝海华腾,13.28,13.38,12.81,12.98,13.09,0.19,1.4515,1.9084,3969539,52072732.32,2762240000.0,2762240000.0
2019-04-18,'300484,蓝海华腾,13.09,13.58,13.05,13.4,13.42,-0.33,-2.459,1.7763,3694750,49081390.0,2722720000.0,2722720000.0
2019-04-17,'300484,蓝海华腾,13.42,13.59,13.13,13.22,13.35,0.07,0.5243,2.4294,5053239,67497826.12,2791360000.0,2791360000.0
2019-04-16,'300484,蓝海华腾,13.35,13.6,12.71,13.6,14.01,-0.66,-4.7109,3.8767,8063440,106433787.46,2776800000.0,2776800000.0
2019-04-15,'300484,蓝海华腾,14.01,14.39,13.88,14.25,14.15,-0.14,-0.9894,3.5625,7409900,104652289.46,2914080000.0,2914080000.0
2019-04-12,'300484,蓝海华腾,14.15,15.27,13.5,13.8,13.88,0.27,1.9452,6.6132,13755408,195403210.46,2943200000.0,2943200000.0
2019-04-11,'300484,蓝海华腾,13.88,14.05,13.1,13.25,13.31,0.57,4.2825,4.4814,9321269,126406664.09,2887040000.0,2887040000.0
2019-04-10,'300484,蓝海华腾,13.31,13.8,13.02,13.23,13.07,0.24,1.8363,3.5432,7369909,99324993.69,2768480000.0,2768480000.0
2019-04-09,'300484,蓝海华腾,13.07,13.33,12.83,13.0,13.0,0.07,0.5385,1.6204,3370417,44238791.26,2718560000.0,2718560000.0
2019-04-08,'300484,蓝海华腾,13.0,13.28,12.76,13.01,13.04,-0.04,-0.3067,2.1584,4489570,58401051.14,2704000000.0,2704000000.0
