日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300058,蓝色光标,5.64,5.88,5.57,5.84,5.81,-0.17,-2.926,10.9156,233094802,1339064038.05,13447962859.9,12043842435.8
2019-04-25,'300058,蓝色光标,5.81,5.81,5.27,5.3,5.28,0.53,10.0379,11.7965,251906901,1432458727.37,13853309258.2,12406866055.4
2019-04-24,'300058,蓝色光标,5.28,5.3,5.14,5.21,5.19,0.09,1.7341,1.6224,34644207,180786160.2,12589582251.8,11275086535.7
2019-04-23,'300058,蓝色光标,5.19,5.32,5.17,5.25,5.26,-0.07,-1.3308,1.4283,30500404,160018882.96,12374987099.8,11082897560.6
2019-04-22,'300058,蓝色光标,5.26,5.5,5.25,5.46,5.44,-0.18,-3.3088,2.0808,44434823,238139108.51,12541894440.3,11232377874.6
2019-04-19,'300058,蓝色光标,5.44,5.47,5.32,5.39,5.39,0.05,0.9276,1.3816,29504147,159511994.93,12971084744.3,11616755824.6
2019-04-18,'300058,蓝色光标,5.39,5.46,5.36,5.44,5.45,-0.06,-1.1009,1.2682,27081474,146589726.8,12851865215.4,11509984171.8
2019-04-17,'300058,蓝色光标,5.45,5.55,5.39,5.42,5.45,0.0,0.0,2.1804,46561576,254441076.24,12994928650.1,11638110155.2
2019-04-16,'300058,蓝色光标,5.45,5.47,5.18,5.29,5.28,0.17,3.2197,2.0713,44230725,235276346.09,12994928650.1,11638110155.2
2019-04-15,'300058,蓝色光标,5.28,5.49,5.27,5.42,5.37,-0.09,-1.676,2.1075,45004835,243112339.6,12589582251.8,11275086535.7
2019-04-12,'300058,蓝色光标,5.37,5.4,5.3,5.35,5.35,0.02,0.3738,1.3808,29485852,157818319.14,12804177403.9,11467275510.7
2019-04-11,'300058,蓝色光标,5.35,5.52,5.35,5.52,5.52,-0.17,-3.0797,1.9964,42631905,230957819.44,12756489592.3,11424566849.6
2019-04-10,'300058,蓝色光标,5.52,5.56,5.41,5.55,5.58,-0.06,-1.0753,2.0694,44190971,242773594.61,13161835990.6,11787590469.1
2019-04-09,'300058,蓝色光标,5.58,5.66,5.48,5.56,5.58,0.0,0.0,3.2039,68417996,380658467.28,13304899425.2,11915716452.5
