»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'000678,œÂ—Ù÷·≥–,9.39,9.56,9.26,9.4,9.34,0.05,0.5353,1.6471,7067306,66489924.9,4315754773.83,4029059293.83
2019-04-25,'000678,œÂ—Ù÷·≥–,9.34,10.15,9.05,10.12,10.05,-0.71,-7.0647,3.0831,13228894,126524005.37,4292774183.98,4007605303.98
2019-04-24,'000678,œÂ—Ù÷·≥–,10.05,10.22,9.89,10.0,9.95,0.1,1.005,1.7895,7678200,77073992.78,4619098559.85,4312251959.85
2019-04-23,'000678,œÂ—Ù÷·≥–,9.95,10.55,9.8,10.55,10.48,-0.53,-5.0573,2.5423,10908539,109904457.43,4573137380.15,4269343980.15
2019-04-22,'000678,œÂ—Ù÷·≥–,10.48,11.03,10.23,10.52,10.6,-0.12,-1.1321,2.7794,11925838,126779216.0,4816731632.56,4496756272.56
2019-04-19,'000678,œÂ—Ù÷·≥–,10.6,10.87,10.43,10.71,10.71,-0.11,-1.0271,1.8097,7765140,82280924.66,4871885048.2,4548245848.2
2019-04-18,'000678,œÂ—Ù÷·≥–,10.71,11.3,10.63,10.94,11.03,-0.32,-2.9012,2.7104,11629840,126472416.11,4922442345.87,4595444625.87
2019-04-17,'000678,œÂ—Ù÷·≥–,11.03,11.22,10.29,10.29,10.25,0.78,7.6098,4.1125,17645771,192315423.56,5069518120.91,4732750160.91
2019-04-16,'000678,œÂ—Ù÷·≥–,10.25,10.5,10.08,10.5,10.64,-0.39,-3.6654,4.1086,17629293,181624979.25,4711020919.25,4398067919.25
2019-04-15,'000678,œÂ—Ù÷·≥–,10.64,11.2,10.39,11.11,11.0,-0.36,-3.2727,4.107,17622338,190968036.7,4890269520.08,4565409040.08
