日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600117,西宁特钢,3.67,3.82,3.67,3.82,3.81,-0.14,-3.6745,1.2344,9149608,33957269.0,3835583984.84,2720274654.84
2019-04-25,'600117,西宁特钢,3.81,4.02,3.79,4.0,4.01,-0.2,-4.9875,1.589,11778186,46021699.0,3981900540.12,2824045350.12
2019-04-24,'600117,西宁特钢,4.01,4.02,3.96,3.97,4.0,0.01,0.25,1.0133,7510710,29947856.0,4190924190.52,2972289200.52
2019-04-23,'600117,西宁特钢,4.0,4.09,3.97,4.03,4.07,-0.07,-1.7199,1.351,10013912,40181114.0,4180473008.0,2964877008.0
2019-04-22,'600117,西宁特钢,4.07,4.19,4.04,4.18,4.19,-0.12,-2.864,2.1846,16192516,66275037.0,4253631285.64,3016762355.64
2019-04-19,'600117,西宁特钢,4.19,4.22,4.12,4.19,4.2,-0.01,-0.2381,1.3533,10030897,41904470.0,4379045475.88,3105708665.88
2019-04-18,'600117,西宁特钢,4.2,4.23,4.16,4.22,4.2,0.0,0.0,1.1967,8870500,37213020.0,4389496658.4,3113120858.4
2019-04-17,'600117,西宁特钢,4.2,4.22,4.15,4.17,4.18,0.02,0.4785,1.2604,9342301,39200635.0,4389496658.4,3113120858.4
2019-04-16,'600117,西宁特钢,4.18,4.18,4.04,4.1,4.11,0.07,1.7032,1.3173,9764001,40218749.0,4368594293.36,3098296473.36
2019-04-15,'600117,西宁特钢,4.11,4.27,4.11,4.24,4.2,-0.09,-2.1429,1.532,11355702,47633528.0,4295436015.72,3046411125.72
2019-04-12,'600117,西宁特钢,4.2,4.22,4.15,4.19,4.21,-0.01,-0.2375,1.1986,8884401,37156401.0,4389496658.4,3113120858.4
2019-04-11,'600117,西宁特钢,4.21,4.34,4.21,4.28,4.28,-0.07,-1.6355,1.5879,11769900,50160607.0,4399947840.92,3120533050.92
2019-04-10,'600117,西宁特钢,4.28,4.36,4.23,4.3,4.36,-0.08,-1.8349,2.551,18908352,80777418.0,4473106118.56,3172418398.56
2019-04-09,'600117,西宁特钢,4.36,4.46,4.33,4.45,4.53,-0.17,-3.7528,3.6134,26782907,117127186.0,4556715578.72,3231715938.72
2019-04-08,'600117,西宁特钢,4.53,4.6,4.22,4.32,4.31,0.22,5.1044,6.7736,50207273,222254997.0,4734385681.56,3357723211.56
2019-04-04,'600117,西宁特钢,4.31,4.51,4.3,4.39,4.38,-0.07,-1.5982,5.0454,37397555,163516506.0,4504459666.12,3194654976.12
2019-04-03,'600117,西宁特钢,4.38,4.46,4.2,4.23,4.25,0.13,3.0588,5.0348,37318633,161295567.0,4577617943.76,3246540323.76
2019-04-02,'600117,西宁特钢,4.25,4.35,4.15,4.2,4.19,0.06,1.432,3.3721,24994335,105806125.0,4441752571.0,3150181821.0
2019-04-01,'600117,西宁特钢,4.19,4.22,4.03,4.03,4.06,0.13,3.202,2.3918,17728131,73723894.0,4379045475.88,3105708665.88
2019-03-29,'600117,西宁特钢,4.06,4.08,3.93,3.95,3.96,0.1,2.5253,1.5526,11507956,46310252.0,4243180103.12,3009350163.12
2019-03-28,'600117,西宁特钢,3.96,4.07,3.95,4.05,4.09,-0.13,-3.1785,1.4958,11087304,44491206.0,4138668277.92,2935228237.92
2019-03-27,'600117,西宁特钢,4.09,4.09,4.0,4.08,4.05,0.04,0.9877,1.5438,11442574,46326864.0,4274533650.68,3031586740.68
2019-03-26,'600117,西宁特钢,4.05,4.24,4.0,4.15,4.17,-0.12,-2.8777,2.0454,15161146,62438855.0,4232728920.6,3001937970.6
2019-03-25,'600117,西宁特钢,4.17,4.31,4.11,4.16,4.24,-0.07,-1.6509,2.3646,17526550,73458394.0,4358143110.84,3090884280.84
2019-03-22,'600117,西宁特钢,4.24,4.3,4.14,4.27,4.3,-0.06,-1.3953,2.7525,20402420,85921733.0,4431301388.48,3142769628.48
2019-03-21,'600117,西宁特钢,4.3,4.35,4.26,4.31,4.38,-0.08,-1.8265,3.9719,29440409,126875539.0,4494008483.6,3187242783.6
2019-03-20,'600117,西宁特钢,4.38,4.48,4.23,4.25,4.31,0.07,1.6241,5.5222,40931642,178072210.0,4577617943.76,3246540323.76
2019-03-19,'600117,西宁特钢,4.31,4.53,4.27,4.53,4.47,-0.16,-3.5794,7.1134,52725987,229656532.0,4504459666.12,3194654976.12
2019-03-18,'600117,西宁特钢,4.47,4.47,4.0,4.05,4.06,0.41,10.0985,6.2608,46406622,197026734.0,4671678586.44,3313250056.44
2019-03-15,'600117,西宁特钢,4.06,4.09,3.92,3.98,3.98,0.08,2.0101,2.548,18886525,75756411.0,4243180103.12,3009350163.12
2019-03-14,'600117,西宁特钢,3.98,4.14,3.95,4.02,3.96,0.02,0.5051,3.1559,23391829,94592918.0,4159570642.96,2950052622.96
2019-03-13,'600117,西宁特钢,3.96,4.14,3.94,4.1,4.03,-0.07,-1.737,2.7347,20269900,82137642.0,4138668277.92,2935228237.92
2019-03-12,'600117,西宁特钢,4.03,4.11,3.96,4.03,3.96,0.07,1.7677,2.8099,20827741,84321717.0,4211826555.56,2987113585.56
2019-03-11,'600117,西宁特钢,3.96,3.98,3.83,3.83,3.8,0.16,4.2105,2.2338,16557254,64591879.0,4138668277.92,2935228237.92
2019-03-08,'600117,西宁特钢,3.8,4.12,3.79,4.1,4.21,-0.41,-9.7387,4.0878,30299317,121195982.0,3971449357.6,2816633157.6
2019-03-07,'600117,西宁特钢,4.21,4.25,4.07,4.11,4.17,0.04,0.9592,5.3665,39777757,165915579.0,4399947840.92,3120533050.92
2019-03-06,'600117,西宁特钢,4.17,4.24,4.0,4.08,4.04,0.13,3.2178,6.1556,45626643,188731020.0,4358143110.84,3090884280.84
2019-03-05,'600117,西宁特钢,4.04,4.06,3.91,3.97,4.02,0.02,0.4975,2.996,22207086,88600493.0,4222277738.08,2994525778.08
2019-03-04,'600117,西宁特钢,4.02,4.2,3.88,3.92,3.93,0.09,2.2901,5.0631,37528375,150395877.0,4201375373.04,2979701393.04
2019-03-01,'600117,西宁特钢,3.93,4.07,3.85,3.91,3.92,0.01,0.2551,3.619,26824762,106474034.0,4107314730.36,2912991660.36
2019-02-28,'600117,西宁特钢,3.92,4.0,3.88,4.0,3.98,-0.06,-1.5075,3.1374,23255183,91280876.0,4096863547.84,2905579467.84
2019-02-27,'600117,西宁特钢,3.98,4.13,3.93,4.07,4.11,-0.13,-3.163,5.8838,43611490,175258612.0,4159570642.96,2950052622.96
2019-02-26,'600117,西宁特钢,4.11,4.11,3.67,3.75,3.74,0.37,9.893,6.0109,44554064,176332534.0,4295436015.72,3046411125.72
2019-02-25,'600117,西宁特钢,3.74,3.76,3.55,3.61,3.59,0.15,4.1783,3.532,26180182,96277205.0,3908742262.48,2772160002.48
2019-02-22,'600117,西宁特钢,3.59,3.63,3.52,3.55,3.52,0.07,1.9886,1.899,14075782,50337555.0,3751974524.68,2660977114.68
2019-02-21,'600117,西宁特钢,3.52,3.62,3.51,3.59,3.59,-0.07,-1.9499,1.6229,12029041,42887652.0,3678816247.04,2609091767.04
2019-02-20,'600117,西宁特钢,3.59,3.69,3.48,3.53,3.55,0.04,1.1268,2.2974,17028975,61082130.0,3751974524.68,2660977114.68
2019-02-19,'600117,西宁特钢,3.55,3.55,3.45,3.52,3.5,0.05,1.4286,2.082,15432351,54191501.0,3710169794.6,2631328344.6
2019-02-18,'600117,西宁特钢,3.5,3.5,3.42,3.42,3.42,0.08,2.3392,1.7105,12678920,43915809.0,3657913882.0,2594267382.0
2019-02-15,'600117,西宁特钢,3.42,3.45,3.4,3.43,3.43,-0.01,-0.2915,1.0476,7765153,26551742.0,3574304421.84,2534969841.84
2019-02-14,'600117,西宁特钢,3.43,3.49,3.37,3.39,3.41,0.02,0.5865,1.4391,10666762,36681307.0,3584755604.36,2542382034.36
2019-02-13,'600117,西宁特钢,3.41,3.43,3.33,3.36,3.4,0.01,0.2941,1.8478,13696392,46308517.0,3563853239.32,2527557649.32
2019-02-12,'600117,西宁特钢,3.4,3.47,3.26,3.29,3.31,0.09,2.719,1.7702,13120774,44150250.0,3553402056.8,2520145456.8
2019-02-11,'600117,西宁特钢,3.31,3.38,3.25,3.32,3.19,0.12,3.7618,1.3798,10226987,33951887.0,3459341414.12,2453435724.12
2019-02-01,'600117,西宁特钢,3.19,3.19,3.13,3.13,3.11,0.08,2.5723,0.687,5092112,16116107.0,3333927223.88,2364489413.88
2019-01-31,'600117,西宁特钢,3.11,3.22,3.07,3.17,3.2,-0.09,-2.8125,1.3041,9666000,30327406.0,3250317763.72,2305191873.72
2019-01-30,'600117,西宁特钢,3.2,3.34,3.2,3.2,3.56,-0.36,-10.1124,3.1484,23336394,75789165.0,3344378406.4,2371901606.4
2019-01-29,'600117,西宁特钢,3.56,3.59,3.38,3.51,3.54,0.02,0.565,1.5221,11282206,39570292.0,3720620977.12,2638740537.12
2019-01-28,'600117,西宁特钢,3.54,3.72,3.52,3.7,3.67,-0.13,-3.5422,1.433,10621600,38368920.0,3699718612.08,2623916152.08
2019-01-25,'600117,西宁特钢,3.67,3.78,3.65,3.73,3.69,-0.02,-0.542,1.2853,9527206,35412305.0,3835583984.84,2720274654.84
2019-01-24,'600117,西宁特钢,3.69,3.79,3.65,3.79,3.77,-0.08,-2.122,1.5722,11653312,43223327.0,3856486349.88,2735099039.88
2019-01-23,'600117,西宁特钢,3.77,3.86,3.7,3.76,3.78,-0.01,-0.2646,1.591,11792647,44557539.0,3940095810.04,2794396580.04
2019-01-22,'600117,西宁特钢,3.78,3.91,3.75,3.87,3.9,-0.12,-3.0769,2.2639,16780289,63990447.0,3950546992.56,2801808772.56
2019-01-21,'600117,西宁特钢,3.9,3.99,3.84,3.97,4.02,-0.12,-2.9851,2.9307,21722713,84368953.0,4075961182.8,2890755082.8
2019-01-18,'600117,西宁特钢,4.02,4.18,3.89,3.9,3.96,0.06,1.5152,5.0882,37714907,153405232.0,4201375373.04,2979701393.04
2019-01-17,'600117,西宁特钢,3.96,4.2,3.79,3.81,3.9,0.06,1.5385,5.0536,37458353,150118813.0,4138668277.92,2935228237.92
2019-01-16,'600117,西宁特钢,3.9,4.04,3.64,3.7,3.84,0.06,1.5625,3.8034,28191277,106871721.0,4075961182.8,2890755082.8
2019-01-15,'600117,西宁特钢,3.84,4.07,3.78,3.89,3.8,0.04,1.0526,5.3658,39772229,156459204.0,4013254087.68,2846281927.68
2019-01-14,'600117,西宁特钢,3.8,3.8,3.43,3.46,3.45,0.35,10.1449,2.1911,16240883,59797729.0,3971449357.6,2816633157.6
2019-01-11,'600117,西宁特钢,3.45,3.46,3.39,3.39,3.41,0.04,1.173,0.5153,3819600,13100550.0,3605657969.4,2557206419.4
2019-01-10,'600117,西宁特钢,3.41,3.48,3.39,3.45,3.45,-0.04,-1.1594,0.5195,3850700,13252499.0,3563853239.32,2527557649.32
2019-01-09,'600117,西宁特钢,3.45,3.5,3.44,3.45,3.44,0.01,0.2907,0.6125,4539753,15771252.0,3605657969.4,2557206419.4
2019-01-08,'600117,西宁特钢,3.44,3.48,3.43,3.46,3.47,-0.03,-0.8646,0.3756,2784201,9603410.0,3595206786.88,2549794226.88
2019-01-07,'600117,西宁特钢,3.47,3.48,3.41,3.44,3.42,0.05,1.462,0.6929,5136100,17726415.0,3626560334.44,2572030804.44
2019-01-04,'600117,西宁特钢,3.42,3.43,3.28,3.33,3.38,0.04,1.1834,0.8128,6024751,20264070.0,3574304421.84,2534969841.84
2019-01-03,'600117,西宁特钢,3.38,3.41,3.37,3.37,3.34,0.04,1.1976,0.5252,3892650,13183890.0,3532499691.76,2505321071.76
