日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300106,西部牧业,6.92,7.25,6.73,7.25,7.42,-0.5,-6.7385,5.7777,12210250,85926034.98,1462419585.2,1462419585.2
2019-04-25,'300106,西部牧业,7.42,7.81,7.21,7.21,7.24,0.18,2.4862,7.6427,16151479,121716698.72,1568085740.2,1568085740.2
2019-04-24,'300106,西部牧业,7.24,7.39,7.0,7.2,7.44,-0.2,-2.6882,6.0623,12811501,92138147.01,1530045924.4,1530045924.4
2019-04-23,'300106,西部牧业,7.44,7.88,7.42,7.83,7.9,-0.46,-5.8228,6.6463,14045831,106949339.84,1572312386.4,1572312386.4
2019-04-22,'300106,西部牧业,7.9,8.21,7.42,7.56,7.47,0.43,5.7564,9.2792,19609879,153049769.77,1669525249.0,1669525249.0
2019-04-19,'300106,西部牧业,7.47,7.89,7.33,7.34,7.19,0.28,3.8943,7.1287,15065199,113661783.71,1578652355.7,1578652355.7
2019-04-18,'300106,西部牧业,7.19,7.38,7.14,7.33,7.36,-0.17,-2.3098,4.3739,9243386,67167658.82,1519479308.9,1519479308.9
2019-04-17,'300106,西部牧业,7.36,7.45,7.24,7.31,7.33,0.03,0.4093,4.9251,10408290,76482732.25,1555405801.6,1555405801.6
2019-04-16,'300106,西部牧业,7.33,7.34,6.83,6.92,6.98,0.35,5.0143,4.6853,9901451,70357512.48,1549065832.3,1549065832.3
2019-04-15,'300106,西部牧业,6.98,7.32,6.96,7.3,7.28,-0.3,-4.1209,4.7856,10113600,72473605.48,1475099523.8,1475099523.8
2019-04-12,'300106,西部牧业,7.28,7.31,7.0,7.1,7.12,0.16,2.2472,5.307,11215511,80509859.95,1538499216.8,1538499216.8
2019-04-11,'300106,西部牧业,7.12,7.22,6.97,7.0,7.1,0.02,0.2817,3.7535,7932308,56361077.71,1504686047.2,1504686047.2
2019-04-10,'300106,西部牧业,7.1,7.14,6.93,7.0,7.09,0.01,0.141,3.4824,7359390,51777118.22,1500459401.0,1500459401.0
2019-04-09,'300106,西部牧业,7.09,7.15,6.88,6.88,6.83,0.26,3.8067,5.0215,10612111,74520470.18,1498346077.9,1498346077.9
2019-04-08,'300106,西部牧业,6.83,6.97,6.73,6.94,6.92,-0.09,-1.3006,3.0294,6402129,44023727.49,1443399677.3,1443399677.3
2019-04-04,'300106,西部牧业,6.92,6.99,6.81,6.92,6.92,0.0,0.0,3.8835,8207001,56399246.97,1462419585.2,1462419585.2
2019-04-03,'300106,西部牧业,6.92,6.92,6.81,6.83,6.86,0.06,0.8746,2.837,5995496,41156240.32,1462419585.2,1462419585.2
2019-04-02,'300106,西部牧业,6.86,7.04,6.83,6.83,6.84,0.02,0.2924,3.5492,7500623,51977781.69,1449739646.6,1449739646.6
2019-04-01,'300106,西部牧业,6.84,6.85,6.55,6.65,6.61,0.23,3.4796,2.861,6046158,40897153.64,1445513000.4,1445513000.4
2019-03-29,'300106,西部牧业,6.61,6.62,6.32,6.45,6.44,0.17,2.6398,2.3187,4900199,31864831.54,1396906569.1,1396906569.1
2019-03-28,'300106,西部牧业,6.44,6.62,6.41,6.48,6.52,-0.08,-1.227,1.8944,4003448,26045697.6,1360980076.4,1360980076.4
2019-03-27,'300106,西部牧业,6.52,6.68,6.44,6.62,6.62,-0.1,-1.5106,2.9534,6241470,40613070.96,1377886661.2,1377886661.2
2019-03-26,'300106,西部牧业,6.62,6.92,6.59,6.84,6.84,-0.22,-3.2164,3.2701,6910750,46659866.23,1399019892.2,1399019892.2
