日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002197,证通电子,8.5,8.73,8.22,8.27,8.32,0.18,2.1635,2.6751,13780804,117898349.11,4378834058.0,4378834058.0
2019-04-25,'002197,证通电子,8.32,8.75,8.31,8.59,8.59,-0.27,-3.1432,1.9885,10243640,87791807.6,4286105807.36,4286105807.36
2019-04-24,'002197,证通电子,8.59,8.6,8.37,8.43,8.41,0.18,2.1403,1.7537,9034516,76730705.64,4425198183.32,4425198183.32
2019-04-23,'002197,证通电子,8.41,8.7,8.38,8.62,8.63,-0.22,-2.5492,2.0464,10542005,90223502.22,4332469932.68,4332469932.68
2019-04-22,'002197,证通电子,8.63,8.8,8.54,8.8,9.17,-0.54,-5.8888,4.3016,22159800,192126237.73,4445804461.24,4445804461.24
2019-04-19,'002197,证通电子,9.17,9.18,9.0,9.06,9.11,0.06,0.6586,1.6057,8271894,75304140.31,4723989213.16,4723989213.16
2019-04-18,'002197,证通电子,9.11,9.23,9.08,9.13,9.17,-0.06,-0.6543,1.7172,8846337,80951565.38,4693079796.28,4693079796.28
2019-04-17,'002197,证通电子,9.17,9.27,9.09,9.18,9.13,0.04,0.4381,2.6074,13431985,123377516.19,4723989213.16,4723989213.16
2019-04-16,'002197,证通电子,9.13,9.14,8.84,8.9,9.03,0.1,1.1074,2.9637,15267731,137414312.79,4703382935.24,4703382935.24
2019-04-15,'002197,证通电子,9.03,9.3,8.99,9.2,9.13,-0.1,-1.0953,2.0514,10567778,97133063.54,4651867240.44,4651867240.44
2019-04-12,'002197,证通电子,9.13,9.14,8.99,9.01,9.06,0.07,0.7726,1.4997,7725675,70074022.5,4703382935.24,4703382935.24
2019-04-11,'002197,证通电子,9.06,9.3,9.04,9.23,9.23,-0.17,-1.8418,2.1908,11286005,103169872.36,4667321948.88,4667321948.88
2019-04-10,'002197,证通电子,9.23,9.4,9.18,9.4,9.47,-0.24,-2.5343,2.4707,12728067,117857175.62,4754898630.04,4754898630.04
2019-04-09,'002197,证通电子,9.47,9.64,9.35,9.47,9.47,0.0,0.0,2.1071,10854725,102898734.77,4878536297.56,4878536297.56
2019-04-08,'002197,证通电子,9.47,9.85,9.31,9.8,9.78,-0.31,-3.1697,4.088,21059845,201677850.75,4878536297.56,4878536297.56
2019-04-04,'002197,证通电子,9.78,9.84,9.63,9.73,9.69,0.09,0.9288,3.8931,20055463,195483799.15,5038234951.44,5038234951.44
2019-04-03,'002197,证通电子,9.69,9.7,9.46,9.64,9.74,-0.05,-0.5133,3.5146,18105845,173671069.24,4991870826.12,4991870826.12
2019-04-02,'002197,证通电子,9.74,9.94,9.62,9.78,9.7,0.04,0.4124,5.0761,26149777,255884766.61,5017628673.52,5017628673.52
2019-04-01,'002197,证通电子,9.7,9.74,9.42,9.49,9.4,0.3,3.1915,4.5056,23210966,223598288.54,4997022395.6,4997022395.6
2019-03-29,'002197,证通电子,9.4,9.44,8.97,9.1,9.1,0.3,3.2967,3.603,18560932,171708190.27,4842475311.2,4842475311.2
2019-03-28,'002197,证通电子,9.1,9.43,9.01,9.36,9.49,-0.39,-4.1096,4.8075,24766027,227674738.81,4687928226.8,4687928226.8
2019-03-27,'002197,证通电子,9.49,9.7,9.2,9.64,9.55,-0.06,-0.6283,3.714,19132753,181232073.13,4888839436.52,4888839436.52
2019-03-26,'002197,证通电子,9.55,10.13,9.51,9.97,10.0,-0.45,-4.5,4.1844,21556219,210617014.34,4919748853.4,4919748853.4
2019-03-25,'002197,证通电子,10.0,10.35,9.74,9.85,10.0,0.0,0.0,6.6046,34023863,342891007.2,5151569480.0,5151569480.0
2019-03-22,'002197,证通电子,10.0,10.27,9.77,10.27,10.51,-0.51,-4.8525,9.3475,48154394,482935918.71,5151569480.0,5151569480.0
2019-03-21,'002197,证通电子,10.51,11.16,10.32,10.6,10.15,0.36,3.5468,15.3409,79029494,839879151.29,5414299523.48,5414299523.48
2019-03-20,'002197,证通电子,10.15,10.5,9.95,10.5,10.3,-0.15,-1.4563,6.9369,35736161,364896478.56,5228843022.2,5228843022.2
2019-03-19,'002197,证通电子,10.3,10.3,9.52,9.73,9.36,0.94,10.0427,7.6184,39246651,392095688.81,5306116564.4,5306116564.4
2019-03-18,'002197,证通电子,9.36,9.39,8.97,8.97,9.0,0.36,4.0,2.07,10663594,98471557.46,4821869033.28,4821869033.28
2019-03-15,'002197,证通电子,9.0,9.23,8.91,9.0,8.98,0.02,0.2227,1.6515,8507619,77155522.96,4636412532.0,4636412532.0
2019-03-14,'002197,证通电子,8.98,9.64,8.81,9.47,9.44,-0.46,-4.8729,3.704,19081221,173329551.98,4626109393.04,4626109393.04
2019-03-13,'002197,证通电子,9.44,10.01,9.35,9.72,9.79,-0.35,-3.5751,4.0369,20796220,201967031.3,4863081589.12,4863081589.12
2019-03-12,'002197,证通电子,9.79,10.24,9.61,9.7,9.55,0.24,2.5131,6.2883,32394737,320369648.33,5043386520.92,5043386520.92
2019-03-11,'002197,证通电子,9.55,9.6,9.22,9.22,9.09,0.46,5.0605,3.9589,20394680,192639556.15,4919748853.4,4919748853.4
2019-03-08,'002197,证通电子,9.09,9.68,9.01,9.3,9.7,-0.61,-6.2887,5.3724,27676484,259537217.48,4682776657.32,4682776657.32
2019-03-07,'002197,证通电子,9.7,9.92,9.3,9.63,9.6,0.1,1.0417,7.2353,37273254,360655988.92,4997022395.6,4997022395.6
2019-03-06,'002197,证通电子,9.6,10.2,9.11,9.59,9.45,0.15,1.5873,8.095,41702200,397723696.65,4945506700.8,4945506700.8
2019-03-05,'002197,证通电子,9.45,9.66,8.66,8.68,8.79,0.66,7.5085,7.9985,41204576,374817128.37,4868233158.6,4868233158.6
2019-03-04,'002197,证通电子,8.79,9.09,8.62,8.63,8.59,0.2,2.3283,4.5383,23379518,205514855.59,4528229572.92,4528229572.92
2019-03-01,'002197,证通电子,8.59,8.68,8.32,8.52,8.63,-0.04,-0.4635,2.556,13167341,112035768.01,4425198183.32,4425198183.32
2019-02-28,'002197,证通电子,8.63,8.89,8.22,8.4,8.47,0.16,1.889,4.5952,23672361,202209047.26,4445804461.24,4445804461.24
2019-02-27,'002197,证通电子,8.47,8.8,8.4,8.46,8.63,-0.16,-1.854,4.1314,21282981,181957515.67,4363379349.56,4363379349.56
2019-02-26,'002197,证通电子,8.63,9.2,8.62,8.7,8.45,0.18,2.1302,8.3243,42883351,381599357.36,4445804461.24,4445804461.24
2019-02-25,'002197,证通电子,8.45,8.45,7.5,8.15,7.68,0.77,10.026,5.4241,27942594,228980492.74,4353076210.6,4353076210.6
2019-02-22,'002197,证通电子,7.68,7.8,7.25,7.33,7.29,0.39,5.3498,2.9854,15379540,116033575.38,3956405360.64,3956405360.64
2019-02-21,'002197,证通电子,7.29,7.48,7.24,7.3,7.33,-0.04,-0.5457,1.565,8062359,59427143.03,3755494150.92,3755494150.92
2019-02-20,'002197,证通电子,7.33,7.44,7.23,7.35,7.4,-0.07,-0.9459,1.4054,7240045,53060287.98,3776100428.84,3776100428.84
2019-02-19,'002197,证通电子,7.4,7.87,7.29,7.3,7.21,0.19,2.6352,3.6261,18680051,140545398.15,3812161415.2,3812161415.2
2019-02-18,'002197,证通电子,7.21,7.24,7.01,7.01,6.99,0.22,3.1474,1.173,6042745,43218809.55,3714281595.08,3714281595.08
2019-02-15,'002197,证通电子,6.99,7.11,6.99,7.06,7.06,-0.07,-0.9915,0.626,3224631,22695296.05,3600947066.52,3600947066.52
2019-02-14,'002197,证通电子,7.06,7.1,6.99,7.07,7.05,0.01,0.1418,0.7576,3902907,27469640.54,3637008052.88,3637008052.88
2019-02-13,'002197,证通电子,7.05,7.08,6.85,6.86,6.87,0.18,2.6201,1.3637,7025410,49163419.27,3631856483.4,3631856483.4
2019-02-12,'002197,证通电子,6.87,6.88,6.74,6.77,6.77,0.1,1.4771,0.8383,4318315,29502832.21,3539128232.76,3539128232.76
2019-02-11,'002197,证通电子,6.77,6.8,6.61,6.67,6.65,0.12,1.8045,1.3976,7199947,48477929.8,3487612537.96,3487612537.96
2019-02-01,'002197,证通电子,6.65,6.65,6.5,6.52,6.62,0.03,0.4532,0.8525,4391838,28857989.38,3425793704.2,3425793704.2
2019-01-31,'002197,证通电子,6.62,6.88,6.08,6.88,6.76,-0.14,-2.071,2.5367,13067941,85096721.82,3410338995.76,3410338995.76
2019-01-30,'002197,证通电子,6.76,6.93,6.74,6.88,6.91,-0.15,-2.1708,0.526,2709551,18475071.03,3482460968.48,3482460968.48
2019-01-29,'002197,证通电子,6.91,7.03,6.72,6.85,6.91,0.0,0.0,0.9177,4727481,32573630.17,3559734510.68,3559734510.68
2019-01-28,'002197,证通电子,6.91,7.08,6.9,7.02,6.99,-0.08,-1.1445,0.5625,2897552,20249688.05,3559734510.68,3559734510.68
2019-01-25,'002197,证通电子,6.99,7.07,6.95,7.03,7.03,-0.04,-0.569,0.573,2952061,20763080.23,3600947066.52,3600947066.52
2019-01-24,'002197,证通电子,7.03,7.18,6.92,6.93,6.93,0.1,1.443,0.6813,3509587,24669911.55,3621553344.44,3621553344.44
2019-01-23,'002197,证通电子,6.93,6.96,6.9,6.93,6.95,-0.02,-0.2878,0.3502,1804319,12509550.97,3570037649.64,3570037649.64
2019-01-22,'002197,证通电子,6.95,7.1,6.9,7.1,7.11,-0.16,-2.2504,0.6932,3571022,24963668.33,3580340788.6,3580340788.6
2019-01-21,'002197,证通电子,7.11,7.13,7.03,7.1,7.07,0.04,0.5658,0.6524,3361044,23832686.49,3662765900.28,3662765900.28
2019-01-18,'002197,证通电子,7.07,7.11,6.98,7.06,7.06,0.01,0.1416,0.8063,4153818,29272984.08,3642159622.36,3642159622.36
2019-01-17,'002197,证通电子,7.06,7.27,7.06,7.21,7.21,-0.15,-2.0804,0.9051,4662800,33312036.54,3637008052.88,3637008052.88
2019-01-16,'002197,证通电子,7.21,7.41,7.19,7.29,7.22,-0.01,-0.1385,1.383,7124410,51939651.64,3714281595.08,3714281595.08
2019-01-15,'002197,证通电子,7.22,7.26,7.07,7.11,7.12,0.1,1.4045,0.993,5115570,36764628.75,3719433164.56,3719433164.56
2019-01-14,'002197,证通电子,7.12,7.16,7.07,7.16,7.15,-0.03,-0.4196,0.5303,2731678,19417465.92,3667917469.76,3667917469.76
2019-01-11,'002197,证通电子,7.15,7.18,7.06,7.07,7.11,0.04,0.5626,0.8025,4134299,29484658.86,3683372178.2,3683372178.2
2019-01-10,'002197,证通电子,7.11,7.3,7.04,7.04,7.08,0.03,0.4237,0.928,4780686,34277411.19,3662765900.28,3662765900.28
2019-01-09,'002197,证通电子,7.08,7.22,7.03,7.11,7.12,-0.04,-0.5618,0.9971,5136547,36764801.79,3647311191.84,3647311191.84
2019-01-08,'002197,证通电子,7.12,7.18,7.08,7.17,7.19,-0.07,-0.9736,0.6678,3440263,24522220.47,3667917469.76,3667917469.76
2019-01-07,'002197,证通电子,7.19,7.23,7.07,7.08,7.07,0.12,1.6973,1.1383,5864031,41898966.88,3703978456.12,3703978456.12
2019-01-04,'002197,证通电子,7.07,7.15,6.82,6.89,6.89,0.18,2.6125,0.7972,4106941,28773206.05,3642159622.36,3642159622.36
2019-01-03,'002197,证通电子,6.89,7.04,6.87,6.9,6.89,0.0,0.0,0.3384,1743288,12066098.64,3549431371.72,3549431371.72
2019-01-02,'002197,证通电子,6.89,6.99,6.86,6.99,7.0,-0.11,-1.5714,0.3882,1999831,13822945.95,3549431371.72,3549431371.72
2018-12-28,'002197,证通电子,7.0,7.0,6.78,6.8,6.79,0.21,3.0928,0.7871,4054817,27979436.84,3606098636.0,3606098636.0
2018-12-27,'002197,证通电子,6.79,7.1,6.79,7.08,6.98,-0.19,-2.7221,0.8491,4374399,30359011.43,3497915676.92,3497915676.92
2018-12-26,'002197,证通电子,6.98,7.12,6.97,7.08,7.08,-0.1,-1.4124,0.5488,2827106,19833712.11,3595795497.04,3595795497.04
2018-12-25,'002197,证通电子,7.08,7.17,6.94,7.17,7.3,-0.22,-3.0137,1.1272,5807068,40973008.55,3647311191.84,3647311191.84
2018-12-24,'002197,证通电子,7.3,7.31,7.11,7.14,7.19,0.11,1.5299,1.1222,5780960,41793894.16,3760645720.4,3760645720.4
2018-12-21,'002197,证通电子,7.19,7.2,7.04,7.09,7.11,0.08,1.1252,0.9333,4808158,34299139.56,3703978456.12,3703978456.12
2018-12-20,'002197,证通电子,7.11,7.15,7.04,7.1,7.1,0.01,0.1408,0.3888,2002952,14226803.68,3662765900.28,3662765900.28
2018-12-19,'002197,证通电子,7.1,7.18,7.01,7.09,7.13,-0.03,-0.4208,0.473,2436653,17277756.92,3657614330.8,3657614330.8
2018-12-18,'002197,证通电子,7.13,7.27,7.0,7.04,6.98,0.15,2.149,0.8739,4501886,32230482.75,3673069039.24,3673069039.24
2018-12-17,'002197,证通电子,6.98,7.05,6.93,6.96,7.0,-0.02,-0.2857,0.3593,1851207,12927970.74,3595795497.04,3595795497.04
2018-12-14,'002197,证通电子,7.0,7.14,6.97,7.1,7.14,-0.14,-1.9608,0.6392,3293115,23227649.01,3606098636.0,3606098636.0
2018-12-13,'002197,证通电子,7.14,7.2,7.06,7.12,7.1,0.04,0.5634,0.5235,2696679,19247979.24,3678220608.72,3678220608.72
2018-12-12,'002197,证通电子,7.1,7.19,7.08,7.14,7.15,-0.05,-0.6993,0.4992,2571434,18316114.74,3657614330.8,3657614330.8
2018-12-11,'002197,证通电子,7.15,7.2,7.11,7.15,7.1,0.05,0.7042,0.3955,2037665,14546772.07,3683372178.2,3683372178.2
2018-12-10,'002197,证通电子,7.1,7.34,7.07,7.25,7.28,-0.18,-2.4725,0.5861,3019568,21612009.76,3657614330.8,3657614330.8
2018-12-07,'002197,证通电子,7.28,7.37,7.25,7.32,7.3,-0.02,-0.274,0.5387,2775305,20268761.17,3750342581.44,3750342581.44
2018-12-06,'002197,证通电子,7.3,7.45,7.29,7.4,7.43,-0.13,-1.7497,0.9783,5039669,37083222.8,3760645720.4,3760645720.4
2018-12-05,'002197,证通电子,7.43,7.49,7.2,7.24,7.38,0.05,0.6775,1.4437,7437405,54545409.05,3827616123.64,3827616123.64
2018-12-04,'002197,证通电子,7.38,7.44,7.29,7.33,7.36,0.02,0.2717,1.018,5244208,38635845.08,3801858276.24,3801858276.24
2018-12-03,'002197,证通电子,7.36,7.42,7.19,7.21,7.08,0.28,3.9548,1.463,7536855,54959181.66,3791555137.28,3791555137.28
2018-11-30,'002197,证通电子,7.08,7.14,6.92,7.07,7.12,-0.04,-0.5618,1.0006,5154700,36246442.6,3647311191.84,3647311191.84
