日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000990,诚志股份,23.31,24.07,23.23,23.52,23.75,-0.44,-1.8526,4.588,17786893,419270678.03,29207707831.9,9036905741.64
2019-04-25,'000990,诚志股份,23.75,25.2,23.09,24.99,24.93,-1.18,-4.7333,7.8677,30501954,732385473.78,29759033076.2,9207486545.0
2019-04-24,'000990,诚志股份,24.93,25.19,24.3,24.55,24.52,0.41,1.6721,5.0689,19651403,485896376.76,31237587140.7,9664953244.92
2019-04-23,'000990,诚志股份,24.52,26.2,24.0,25.9,25.66,-1.14,-4.4427,6.9609,26986306,677567186.97,30723852253.9,9506002950.88
2019-04-22,'000990,诚志股份,25.66,26.7,24.55,25.98,26.01,-0.35,-1.3456,9.484,36767808,934782490.97,32152285841.5,9947962305.04
2019-04-19,'000990,诚志股份,26.01,26.5,25.46,25.77,26.85,-0.84,-3.1285,8.4153,32624716,845640446.97,32590840013.2,10083651580.4
2019-04-18,'000990,诚志股份,26.85,29.76,26.84,28.88,29.82,-2.97,-9.9598,9.9532,38587072,1104732878.94,33643370025.2,10409305841.4
2019-04-17,'000990,诚志股份,29.82,30.68,27.68,28.1,28.71,1.11,3.8662,11.6913,45325440,1307174921.26,37364815424.6,11560726264.1
2019-04-16,'000990,诚志股份,28.71,29.27,27.66,28.38,28.28,0.43,1.5205,8.5697,33223457,944971630.4,35973972194.5,11130397419.2
2019-04-15,'000990,诚志股份,28.28,29.68,28.2,28.5,29.23,-0.95,-3.2501,7.602,29471811,852799605.62,35435177069.3,10963693452.3
2019-04-12,'000990,诚志股份,29.23,29.49,27.1,28.37,28.31,0.92,3.2497,9.4975,36820242,1055456850.56,36625538392.4,11331992914.1
2019-04-11,'000990,诚志股份,28.31,30.31,28.3,28.65,29.64,-1.33,-4.4872,9.9983,38761851,1124996555.62,35472767426.9,10975323961.6
2019-04-10,'000990,诚志股份,29.64,33.69,29.51,31.66,32.2,-2.56,-7.9503,15.1708,58814589,1876680532.31,37139273279.2,11490943208.2
2019-04-09,'000990,诚志股份,32.2,34.6,31.66,34.6,31.54,0.66,2.0926,17.0701,66177859,2193079642.32,40346983791.8,12483413336.8
2019-04-08,'000990,诚志股份,31.54,31.54,30.05,30.77,28.67,2.87,10.0105,6.5161,25261912,786041487.32,39519995925.3,12227542131.8
2019-04-04,'000990,诚志股份,28.67,28.67,26.42,26.64,26.06,2.61,10.0153,15.3435,59484284,1657695470.39,35923851717.7,11114890073.5
2019-04-03,'000990,诚志股份,26.06,26.72,25.0,25.94,26.51,-0.45,-1.6975,9.6453,37393349,968361175.93,32653490609.1,10103035762.6
2019-04-02,'000990,诚志股份,26.51,29.0,25.88,26.0,26.8,-0.29,-1.0821,16.0913,62383391,1721599822.87,33217345972.7,10277493402.4
2019-04-01,'000990,诚志股份,26.8,27.65,24.88,26.28,26.04,0.76,2.9186,14.2373,55195734,1459571721.15,33580719429.2,10389921659.2
2019-03-29,'000990,诚志股份,26.04,28.0,24.59,25.04,27.32,-1.28,-4.6852,15.2709,59202606,1509857316.67,32628430370.8,10095282089.8
2019-03-28,'000990,诚志股份,27.32,29.48,27.32,29.0,30.36,-3.04,-10.0132,15.1155,58600413,1647750982.04,34232285627.1,10591517154.1
2019-03-27,'000990,诚志股份,30.36,30.36,26.12,27.0,27.6,2.76,10.0,16.8514,65330079,1875362321.84,38041441860.8,11770075431.8
2019-03-26,'000990,诚志股份,27.6,30.77,26.8,29.74,28.7,-1.1,-3.8328,18.1216,70254555,2024037970.8,34583128964.4,10700068574.4
