日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603238,诺邦股份,18.07,18.6,18.0,18.42,18.42,-0.35,-1.9001,1.564,469200,8607827.0,2168400000.0,542100000.0
2019-04-25,'603238,诺邦股份,18.42,19.15,18.4,18.99,19.1,-0.68,-3.5602,2.8853,865600,16264802.0,2210400000.0,552600000.0
2019-04-24,'603238,诺邦股份,19.1,19.11,18.66,18.9,18.89,0.21,1.1117,2.4313,729400,13760948.0,2292000000.0,573000000.0
2019-04-23,'603238,诺邦股份,18.89,19.21,18.82,19.11,19.09,-0.2,-1.0477,2.3123,693696,13218545.0,2266800000.0,566700000.0
2019-04-22,'603238,诺邦股份,19.09,19.4,19.08,19.35,19.38,-0.29,-1.4964,2.762,828606,15914205.0,2290800000.0,572700000.0
2019-04-19,'603238,诺邦股份,19.38,19.42,19.15,19.34,19.35,0.03,0.155,2.4457,733700,14128429.0,2325600000.0,581400000.0
2019-04-18,'603238,诺邦股份,19.35,19.63,19.35,19.62,19.62,-0.27,-1.3761,3.2713,981400,19111693.0,2322000000.0,580500000.0
2019-04-17,'603238,诺邦股份,19.62,19.89,19.41,19.53,19.49,0.13,0.667,4.129,1238700,24333183.0,2354400000.0,588600000.0
2019-04-16,'603238,诺邦股份,19.49,19.49,18.86,19.08,19.19,0.3,1.5633,3.5103,1053100,20177963.0,2338800000.0,584700000.0
2019-04-15,'603238,诺邦股份,19.19,19.6,19.19,19.25,19.2,-0.01,-0.0521,2.8059,841764,16370192.0,2302800000.0,575700000.0
2019-04-12,'603238,诺邦股份,19.2,19.35,19.03,19.3,19.3,-0.1,-0.5181,2.326,697806,13354542.0,2304000000.0,576000000.0
2019-04-11,'603238,诺邦股份,19.3,19.63,19.3,19.56,19.55,-0.25,-1.2788,2.5543,766300,14909120.0,2316000000.0,579000000.0
2019-04-10,'603238,诺邦股份,19.55,19.81,19.4,19.65,19.66,-0.11,-0.5595,3.666,1099798,21488416.0,2346000000.0,586500000.0
2019-04-09,'603238,诺邦股份,19.66,19.87,19.4,19.71,19.72,-0.06,-0.3043,3.7515,1125462,22069929.0,2359200000.0,589800000.0
2019-04-08,'603238,诺邦股份,19.72,20.22,19.46,20.06,20.06,-0.34,-1.6949,6.609,1982698,39382972.0,2366400000.0,591600000.0
2019-04-04,'603238,诺邦股份,20.06,20.29,19.7,19.75,19.68,0.38,1.9309,9.9424,2982726,59586270.0,2407200000.0,601800000.0
2019-04-03,'603238,诺邦股份,19.68,19.72,19.45,19.61,19.58,0.1,0.5107,4.8303,1449090,28397744.0,2361600000.0,590400000.0
2019-04-02,'603238,诺邦股份,19.58,19.65,19.36,19.55,19.5,0.08,0.4103,5.3564,1606926,31357485.0,2349600000.0,587400000.0
2019-04-01,'603238,诺邦股份,19.5,19.52,18.98,19.02,18.99,0.51,2.6856,5.3792,1613772,31245942.0,2340000000.0,585000000.0
2019-03-29,'603238,诺邦股份,18.99,18.99,18.62,18.72,18.75,0.24,1.28,2.7076,812271,15316097.0,2278800000.0,569700000.0
2019-03-28,'603238,诺邦股份,18.75,19.0,18.71,18.81,18.93,-0.18,-0.9509,2.53,759000,14321320.0,2250000000.0,562500000.0
2019-03-27,'603238,诺邦股份,18.93,19.3,18.65,19.19,19.28,-0.35,-1.8154,3.9953,1198600,22635452.0,2271600000.0,567900000.0
2019-03-26,'603238,诺邦股份,19.28,19.82,19.25,19.75,19.56,-0.28,-1.4315,4.8708,1461226,28457511.0,2313600000.0,578400000.0
2019-03-25,'603238,诺邦股份,19.56,19.6,19.2,19.51,19.54,0.02,0.1024,4.8308,1449252,28185673.0,2347200000.0,586800000.0
2019-03-22,'603238,诺邦股份,19.54,19.56,19.11,19.44,19.31,0.23,1.1911,4.3465,1303939,25236514.0,2344800000.0,586200000.0
2019-03-21,'603238,诺邦股份,19.31,19.48,19.22,19.37,19.27,0.04,0.2076,4.6744,1402326,27152971.0,2317200000.0,579300000.0
