日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600655,豫园股份,9.45,9.62,9.4,9.44,9.4,0.05,0.5319,0.587,8436450,80154891.0,36676053514.8,13582692673.2
2019-04-25,'600655,豫园股份,9.4,9.86,9.39,9.81,9.78,-0.38,-3.8855,0.6093,8757600,84131522.0,36482000321.6,13510826574.4
2019-04-24,'600655,豫园股份,9.78,9.82,9.61,9.79,9.79,-0.01,-0.1021,0.4882,7017325,68333131.0,37956804589.9,14057008925.3
2019-04-23,'600655,豫园股份,9.79,9.92,9.77,9.86,9.9,-0.11,-1.1111,0.5558,7988516,78560928.0,37995615228.6,14071382145.0
2019-04-22,'600655,豫园股份,9.9,10.05,9.8,9.9,9.92,-0.02,-0.2016,0.5993,8614320,85487352.0,38422532253.6,14229487562.4
2019-04-19,'600655,豫园股份,9.92,9.94,9.7,9.81,9.9,0.02,0.202,0.6922,9948689,97686945.0,38500153530.9,14258234001.9
2019-04-18,'600655,豫园股份,9.9,9.99,9.89,9.97,9.96,-0.06,-0.6024,0.4249,6107415,60612296.0,38422532253.6,14229487562.4
2019-04-17,'600655,豫园股份,9.96,10.12,9.9,10.09,10.08,-0.12,-1.1905,0.7774,11173750,111526908.0,38655396085.4,14315726881.0
2019-04-16,'600655,豫园股份,10.08,10.08,9.83,10.01,9.9,0.18,1.8182,0.8227,11825426,117797499.0,39121123749.1,14488205518.1
2019-04-15,'600655,豫园股份,9.9,10.2,9.87,10.02,9.91,-0.01,-0.1009,0.8716,12527416,126041338.0,38422532253.6,14229487562.4
2019-04-12,'600655,豫园股份,9.91,10.1,9.81,10.0,9.9,0.01,0.101,0.7324,10526636,104725882.0,38461342892.2,14243860782.2
2019-04-11,'600655,豫园股份,9.9,10.24,9.88,10.15,10.15,-0.25,-2.4631,1.0999,15809283,158512238.0,38422532253.6,14229487562.4
2019-04-10,'600655,豫园股份,10.15,10.35,10.08,10.26,10.29,-0.14,-1.3605,0.8513,12235630,124482731.0,39392798219.6,14588818056.4
2019-04-09,'600655,豫园股份,10.29,10.44,10.06,10.08,10.01,0.28,2.7972,1.1432,16431826,168322294.0,39936147160.6,14790043133.0
2019-04-08,'600655,豫园股份,10.01,10.29,9.91,10.24,10.17,-0.16,-1.5733,1.2636,18161643,183496819.0,38849449278.6,14387592979.8
2019-04-04,'600655,豫园股份,10.17,10.33,10.06,10.18,10.17,0.0,0.0,1.055,15164181,154182723.0,39470419496.9,14617564495.9
2019-04-03,'600655,豫园股份,10.17,10.3,9.99,10.11,10.15,0.02,0.197,1.4587,20966656,212215239.0,39470419496.9,14617564495.9
2019-04-02,'600655,豫园股份,10.15,10.36,9.8,9.81,9.8,0.35,3.5714,1.9493,28018362,284536860.0,39392798219.6,14588818056.4
2019-04-01,'600655,豫园股份,9.8,9.97,9.5,9.59,9.57,0.23,2.4033,1.5586,22401919,219162041.0,38034425867.2,14085755364.8
2019-03-29,'600655,豫园股份,9.57,9.61,9.2,9.24,9.22,0.35,3.7961,1.5043,21621071,205131753.0,37141781178.5,13755171310.3
2019-03-28,'600655,豫园股份,9.22,9.43,9.19,9.39,9.48,-0.26,-2.7426,1.2417,17847346,166466199.0,35783408826.1,13252108618.7
2019-03-27,'600655,豫园股份,9.48,9.63,8.91,8.91,8.83,0.65,7.3613,2.257,32441012,302239620.0,36792485430.7,13625812332.5
2019-03-26,'600655,豫园股份,8.83,9.2,8.82,9.13,9.04,-0.21,-2.323,0.9371,13468894,121282138.0,34269793919.1,12691553048.1
2019-03-25,'600655,豫园股份,9.04,9.38,9.01,9.04,9.16,-0.12,-1.31,1.0042,14432915,132165689.0,35084817330.6,12993390663.0
2019-03-22,'600655,豫园股份,9.16,9.22,8.97,9.05,9.12,0.04,0.4386,1.0679,15349630,139512151.0,35550544994.2,13165869300.2
2019-03-21,'600655,豫园股份,9.12,9.2,8.79,8.85,8.8,0.32,3.6364,1.548,22249391,201174182.0,35395302439.7,13108376421.1
2019-03-20,'600655,豫园股份,8.8,8.94,8.71,8.82,8.81,-0.01,-0.1135,0.75,10779769,95080304.0,34153362003.2,12648433388.8
2019-03-19,'600655,豫园股份,8.81,8.86,8.75,8.86,8.78,0.03,0.3417,0.6588,9468946,83385994.0,34192172641.8,12662806608.6
2019-03-18,'600655,豫园股份,8.78,8.78,8.58,8.71,8.73,0.05,0.5727,1.0706,15388192,133850004.0,34075740725.9,12619686949.3
2019-03-15,'600655,豫园股份,8.73,9.05,8.35,8.35,8.35,0.38,4.5509,1.6279,23398655,204783636.0,33881687532.7,12547820850.5
2019-03-14,'600655,豫园股份,8.35,8.69,8.3,8.55,8.56,-0.21,-2.4533,0.8618,12387339,104410807.0,32406883264.4,12001638499.6
2019-03-13,'600655,豫园股份,8.56,8.78,8.48,8.75,8.73,-0.17,-1.9473,1.0531,15135893,130833833.0,33221906675.8,12303476114.6
2019-03-12,'600655,豫园股份,8.73,8.85,8.68,8.81,8.74,-0.01,-0.1144,0.9961,14317464,125435969.0,33881687532.7,12547820850.5
2019-03-11,'600655,豫园股份,8.74,8.79,8.53,8.53,8.62,0.12,1.3921,0.9628,13838327,120073006.0,33920498171.4,12562194070.2
2019-03-08,'600655,豫园股份,8.62,8.84,8.57,8.71,8.84,-0.22,-2.4887,1.3864,19927035,173118591.0,33454770507.7,12389715433.1
2019-03-07,'600655,豫园股份,8.84,8.96,8.75,8.87,8.92,-0.08,-0.8969,1.3946,20045475,177447235.0,34308604557.8,12705926267.8
2019-03-06,'600655,豫园股份,8.92,8.95,8.66,8.77,8.76,0.16,1.8265,1.1613,16691019,147000242.0,34619089666.9,12820912025.9
2019-03-05,'600655,豫园股份,8.76,8.79,8.62,8.7,8.71,0.05,0.5741,0.829,11915874,103675085.0,33998119448.6,12590940509.8
2019-03-04,'600655,豫园股份,8.71,8.85,8.49,8.52,8.48,0.23,2.7123,1.4307,20564251,178680782.0,33804066255.4,12519074411.0
2019-03-01,'600655,豫园股份,8.48,8.54,8.38,8.51,8.5,-0.02,-0.2353,0.6133,8814888,74416347.0,32911421566.7,12188490356.5
2019-02-28,'600655,豫园股份,8.5,8.51,8.38,8.38,8.38,0.12,1.432,0.5672,8152770,68927039.0,32989042844.0,12217236796.0
2019-02-27,'600655,豫园股份,8.38,8.53,8.32,8.35,8.38,0.0,0.0,0.8348,11998134,101319735.0,32523315180.3,12044758158.9
2019-02-26,'600655,豫园股份,8.38,8.55,8.36,8.53,8.53,-0.15,-1.7585,1.1749,16887363,142890525.0,32523315180.3,12044758158.9
2019-02-25,'600655,豫园股份,8.53,8.58,8.2,8.2,8.2,0.33,4.0244,1.3593,19537995,163493796.0,33105474759.9,12260356455.3
2019-02-22,'600655,豫园股份,8.2,8.2,8.03,8.07,8.11,0.09,1.1097,0.6071,8725517,70813461.0,31824723684.8,11786040203.2
2019-02-21,'600655,豫园股份,8.11,8.23,8.07,8.17,8.17,-0.06,-0.7344,0.8304,11936013,97256993.0,31475427937.0,11656681225.4
2019-02-20,'600655,豫园股份,8.17,8.29,8.11,8.22,8.16,0.01,0.1225,0.6268,9008846,73975025.0,31708291768.9,11742920543.9
2019-02-19,'600655,豫园股份,8.16,8.36,8.11,8.23,8.22,-0.06,-0.7299,0.7764,11159243,91504225.0,31669481130.2,11728547324.2
2019-02-18,'600655,豫园股份,8.22,8.23,8.06,8.07,8.03,0.19,2.3661,0.6774,9736333,79358988.0,31902344962.1,11814786642.7
2019-02-15,'600655,豫园股份,8.03,8.2,7.98,8.2,8.17,-0.14,-1.7136,0.5088,7313663,59063238.0,31164942827.9,11541695467.3
2019-02-14,'600655,豫园股份,8.17,8.2,8.09,8.13,8.2,-0.03,-0.3659,0.5592,8037633,65423916.0,31708291768.9,11742920543.9
2019-02-13,'600655,豫园股份,8.2,8.27,7.94,7.98,7.97,0.23,2.8858,0.9958,14313112,116245110.0,31824723684.8,11786040203.2
2019-02-12,'600655,豫园股份,7.97,8.02,7.92,8.01,8.05,-0.08,-0.9938,0.5677,8159168,64941649.0,30932078996.1,11455456148.7
2019-02-11,'600655,豫园股份,8.05,8.08,7.91,7.96,8.0,0.05,0.625,0.6497,9338958,74451380.0,31242564105.2,11570441906.8
2019-02-01,'600655,豫园股份,8.0,8.03,7.71,7.71,7.66,0.34,4.4386,0.5878,8449136,66868945.0,31048510912.0,11498575808.0
2019-01-31,'600655,豫园股份,7.66,7.8,7.61,7.74,7.71,-0.05,-0.6485,0.3745,5382225,41522018.0,29728949198.2,11009886336.2
2019-01-30,'600655,豫园股份,7.71,7.85,7.71,7.82,7.86,-0.15,-1.9084,0.2979,4281279,33254851.0,29923002391.4,11081752435.0
2019-01-29,'600655,豫园股份,7.86,7.9,7.61,7.83,7.81,0.05,0.6402,0.5384,7738199,60093798.0,30505161971.0,11297350731.4
2019-01-28,'600655,豫园股份,7.81,8.0,7.79,7.86,7.8,0.01,0.1282,0.479,6884215,54290969.0,30311108777.8,11225484632.6
2019-01-25,'600655,豫园股份,7.8,7.92,7.77,7.89,7.89,-0.09,-1.1407,0.4772,6859032,53707962.0,30272298139.2,11211111412.8
2019-01-24,'600655,豫园股份,7.89,7.96,7.82,7.88,7.89,0.0,0.0,0.5248,7542633,59569402.0,30621593887.0,11340470390.6
2019-01-23,'600655,豫园股份,7.89,8.06,7.83,8.06,8.02,-0.13,-1.6209,0.5609,8062400,63680572.0,30621593887.0,11340470390.6
2019-01-22,'600655,豫园股份,8.02,8.15,7.91,7.95,7.96,0.06,0.7538,1.111,15968373,128096397.0,31126132189.3,11527322247.5
2019-01-21,'600655,豫园股份,7.96,8.18,7.65,7.8,7.56,0.4,5.291,1.3144,18892100,148889918.0,30893268357.4,11441082929.0
2019-01-18,'600655,豫园股份,7.56,7.59,7.42,7.51,7.54,0.02,0.2653,0.4419,6351157,47706501.0,29340842811.8,10866154138.6
2019-01-17,'600655,豫园股份,7.54,7.69,7.52,7.66,7.69,-0.15,-1.9506,0.4296,6174912,46831574.0,29263221534.6,10837407699.0
2019-01-16,'600655,豫园股份,7.69,7.72,7.39,7.43,7.45,0.24,3.2215,0.7948,11424420,86691087.0,29845381114.2,11053005995.4
2019-01-15,'600655,豫园股份,7.45,7.47,7.29,7.36,7.43,0.02,0.2692,0.3853,5538155,40926056.0,28913925786.8,10708048721.2
2019-01-14,'600655,豫园股份,7.43,7.49,7.36,7.36,7.36,0.07,0.9511,0.3597,5170206,38373273.0,28836304509.5,10679302281.7
2019-01-11,'600655,豫园股份,7.36,7.49,7.35,7.39,7.44,-0.08,-1.0753,0.4251,6110408,45192040.0,28564630039.0,10578689743.4
2019-01-10,'600655,豫园股份,7.44,7.51,7.38,7.39,7.39,0.05,0.6766,0.4952,7117991,53116221.0,28875115148.2,10693675501.4
2019-01-09,'600655,豫园股份,7.39,7.6,7.3,7.5,7.49,-0.1,-1.3351,0.6702,9633390,72036584.0,28681061955.0,10621809402.6
2019-01-08,'600655,豫园股份,7.49,7.64,7.46,7.61,7.64,-0.15,-1.9634,0.5445,7826636,58944438.0,29069168341.4,10765541600.2
2019-01-07,'600655,豫园股份,7.64,7.68,7.49,7.63,7.66,-0.02,-0.2611,0.738,10606871,80533898.0,29651327921.0,10981139896.6
2019-01-04,'600655,豫园股份,7.66,7.69,7.43,7.44,7.5,0.16,2.1333,0.9467,13607164,103133991.0,29728949198.2,11009886336.2
2019-01-03,'600655,豫园股份,7.5,7.53,7.21,7.25,7.26,0.24,3.3058,0.6331,9099525,66964747.0,29107978980.0,10779914820.0
2019-01-02,'600655,豫园股份,7.26,7.42,7.26,7.4,7.4,-0.14,-1.8919,0.3613,5193616,37943181.0,28176523652.6,10434957545.8
2018-12-28,'600655,豫园股份,7.4,7.44,7.13,7.18,7.18,0.22,3.0641,0.4463,6414943,46912830.0,28719872593.6,10636182622.4
2018-12-27,'600655,豫园股份,7.18,7.38,7.16,7.32,7.27,-0.09,-1.238,0.3273,4705069,34346241.0,27866038543.5,10319971787.7
2018-12-26,'600655,豫园股份,7.27,7.28,7.18,7.18,7.22,0.05,0.6925,0.2036,2925701,21194480.0,28215334291.3,10449330765.5
2018-12-25,'600655,豫园股份,7.22,7.3,7.09,7.29,7.32,-0.1,-1.3661,0.3288,4726132,33946241.0,28021281098.1,10377464666.7
2018-12-24,'600655,豫园股份,7.32,7.32,7.16,7.23,7.23,0.09,1.2448,0.3488,5012856,36387583.0,28409387484.5,10521196864.3
2018-12-21,'600655,豫园股份,7.23,7.34,7.18,7.24,7.25,-0.02,-0.2759,0.3671,5275949,38265333.0,28060091736.7,10391837886.5
2018-12-20,'600655,豫园股份,7.25,7.39,7.19,7.39,7.4,-0.15,-2.027,0.3793,5452120,39552368.0,28137713014.0,10420584326.0
2018-12-19,'600655,豫园股份,7.4,7.54,7.33,7.52,7.49,-0.09,-1.2016,0.4791,6885848,51048343.0,28719872593.6,10636182622.4
2018-12-18,'600655,豫园股份,7.49,7.59,7.23,7.27,7.26,0.23,3.168,0.8543,12279741,91873102.0,29069168341.4,10765541600.2
2018-12-17,'600655,豫园股份,7.26,7.33,7.18,7.19,7.23,0.03,0.4149,0.2414,3469642,25176718.0,28176523652.6,10434957545.8
