日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300558,贝达药业,40.97,42.79,40.88,42.79,42.8,-1.83,-4.2757,1.1993,2041400,85256657.91,16428970000.0,6973685606.8
2019-04-25,'300558,贝达药业,42.8,44.18,42.59,43.12,43.4,-0.6,-1.3825,2.1145,3599128,156159892.8,17162800000.0,7285178032.0
2019-04-24,'300558,贝达药业,43.4,43.58,40.85,41.21,41.08,2.32,5.6475,2.1033,3580045,152115326.12,17403400000.0,7387306696.0
2019-04-23,'300558,贝达药业,41.08,41.85,40.9,41.0,41.09,-0.01,-0.0243,0.9837,1674355,69006879.32,16473080000.0,6992409195.2
2019-04-22,'300558,贝达药业,41.09,42.49,40.8,41.8,42.0,-0.91,-2.1667,1.256,2137847,88593628.55,16477090000.0,6994111339.6
2019-04-19,'300558,贝达药业,42.0,42.38,41.27,42.3,42.26,-0.26,-0.6152,0.9662,1644632,68591342.76,16842000000.0,7149006480.0
2019-04-18,'300558,贝达药业,42.26,42.6,41.69,41.69,41.69,0.57,1.3672,1.3202,2247189,94852190.72,16946260000.0,7193262234.4
2019-04-17,'300558,贝达药业,41.69,42.89,41.67,42.87,42.95,-1.26,-2.9336,1.8289,3113035,131130086.92,16717690000.0,7096240003.6
2019-04-16,'300558,贝达药业,42.95,42.98,41.53,42.37,42.32,0.63,1.4887,1.2937,2202144,93450724.07,17222950000.0,7310710198.0
2019-04-15,'300558,贝达药业,42.32,42.86,41.68,41.69,41.33,0.99,2.3954,1.9306,3286115,139706166.88,16970320000.0,7203475100.8
2019-04-12,'300558,贝达药业,41.33,42.49,41.15,42.01,42.28,-0.95,-2.2469,1.1698,1991100,82975947.28,16573330000.0,7034962805.2
2019-04-11,'300558,贝达药业,42.28,43.46,41.9,42.99,43.4,-1.12,-2.5806,1.5758,2682282,113876147.3,16954280000.0,7196666523.2
2019-04-10,'300558,贝达药业,43.4,45.55,42.91,44.56,43.57,-0.17,-0.3902,3.3709,5737838,252715115.54,17403400000.0,7387306696.0
2019-04-09,'300558,贝达药业,43.57,43.76,42.02,42.02,42.52,1.05,2.4694,1.9567,3330557,143678405.28,17471570000.0,7416243150.8
