日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600523,贵航股份,14.32,14.74,14.15,14.3,14.26,0.06,0.4208,1.6565,6692806,96471733.0,5789738102.4,5785918958.4
2019-04-25,'600523,贵航股份,14.26,15.15,14.26,14.87,15.06,-0.8,-5.3121,2.0135,8135255,119374738.0,5765479423.2,5761676281.2
2019-04-24,'600523,贵航股份,15.06,15.65,14.81,15.2,15.01,0.05,0.3331,2.0376,8232981,125002556.0,6088928479.2,6084911977.2
2019-04-23,'600523,贵航股份,15.01,16.25,14.75,16.01,16.17,-1.16,-7.1738,3.4887,14095968,216307089.0,6068712913.2,6064709746.2
2019-04-22,'600523,贵航股份,16.17,17.0,15.62,16.15,16.44,-0.27,-1.6423,3.5631,14396477,233767673.0,6537714044.4,6533401505.4
2019-04-19,'600523,贵航股份,16.44,16.87,15.0,15.01,15.34,1.1,7.1708,5.1253,20708474,332271177.0,6646878100.8,6642493552.8
2019-04-18,'600523,贵航股份,15.34,15.87,14.32,14.8,14.76,0.58,3.9295,3.8748,15655784,235526692.0,6202135648.8,6198044470.8
2019-04-17,'600523,贵航股份,14.76,15.0,14.48,14.99,15.02,-0.26,-1.731,2.4085,9731459,143271789.0,5967635083.2,5963698591.2
2019-04-16,'600523,贵航股份,15.02,15.05,13.8,13.97,14.09,0.93,6.6004,3.4795,14058632,203785332.0,6072756026.4,6068750192.4
2019-04-15,'600523,贵航股份,14.09,14.7,13.75,13.9,14.01,0.08,0.571,3.1841,12865257,181882654.0,5696746498.8,5692988695.8
2019-04-12,'600523,贵航股份,14.01,14.41,13.61,14.14,14.07,-0.06,-0.4264,4.1507,16770672,235326094.0,5664401593.2,5660665126.2
2019-04-11,'600523,贵航股份,14.07,14.07,12.46,12.69,12.79,1.28,10.0078,4.9464,19985834,271232096.0,5688660272.4,5684907803.4
2019-04-10,'600523,贵航股份,12.79,13.0,12.73,12.94,13.1,-0.31,-2.3664,1.7948,7251747,93117439.0,5171141782.8,5167730689.8
2019-04-09,'600523,贵航股份,13.1,13.22,12.6,13.11,13.07,0.03,0.2295,2.4191,9774352,126381779.0,5296478292.0,5292984522.0
2019-04-08,'600523,贵航股份,13.07,13.65,12.97,13.51,13.8,-0.73,-5.2899,3.3911,13701439,182011174.0,5284348952.4,5280863183.4
2019-04-04,'600523,贵航股份,13.8,13.88,13.28,13.7,13.58,0.22,1.62,2.9848,12060102,163919815.0,5579496216.0,5575815756.0
2019-04-03,'600523,贵航股份,13.58,14.26,13.24,13.35,13.51,0.07,0.5181,4.4829,18113096,247446845.0,5490547725.6,5486925939.6
2019-04-02,'600523,贵航股份,13.51,13.51,12.21,12.46,12.28,1.23,10.0163,5.2464,21197719,277232077.0,5462245933.2,5458642816.2
2019-04-01,'600523,贵航股份,12.28,12.59,12.05,12.48,11.95,0.33,2.7615,3.3229,13425956,165012424.0,4964943009.6,4961667933.6
2019-03-29,'600523,贵航股份,11.95,11.98,11.06,11.16,11.12,0.83,7.464,3.0254,12223829,142795148.0,4831520274.0,4828333209.0
2019-03-28,'600523,贵航股份,11.12,11.57,11.02,11.23,11.22,-0.1,-0.8913,1.5597,6302009,71275364.0,4495941878.4,4492976174.4
2019-03-27,'600523,贵航股份,11.22,11.35,10.97,11.34,11.23,-0.01,-0.089,1.537,6210099,69601489.0,4536373010.4,4533380636.4
2019-03-26,'600523,贵航股份,11.23,11.99,11.2,11.93,11.93,-0.7,-5.8676,2.9779,12032161,139557888.0,4540416123.6,4537421082.6
2019-03-25,'600523,贵航股份,11.93,12.3,11.35,11.48,11.4,0.53,4.6491,5.2625,21262975,251528579.0,4823434047.6,4820252316.6
2019-03-22,'600523,贵航股份,11.4,11.44,11.1,11.18,11.21,0.19,1.6949,1.8145,7331355,82861911.0,4609149048.0,4606108668.0
2019-03-21,'600523,贵航股份,11.21,11.31,11.1,11.15,11.2,0.01,0.0893,1.3684,5528775,61974371.0,4532329897.2,4529340190.2
2019-03-20,'600523,贵航股份,11.2,11.36,10.96,11.34,11.34,-0.14,-1.2346,1.0719,4331021,48136140.0,4528286784.0,4525299744.0
2019-03-19,'600523,贵航股份,11.34,11.55,11.19,11.26,11.25,0.09,0.8,1.7604,7112681,80700085.0,4584890368.8,4581865990.8
2019-03-18,'600523,贵航股份,11.25,11.25,10.84,11.15,11.17,0.08,0.7162,1.4772,5968384,66179395.0,4548502350.0,4545501975.0
2019-03-15,'600523,贵航股份,11.17,11.44,11.08,11.26,11.2,-0.03,-0.2679,1.7996,7270993,81761732.0,4516157444.4,4513178405.4
2019-03-14,'600523,贵航股份,11.2,11.76,11.06,11.5,11.55,-0.35,-3.0303,2.0857,8427334,95421202.0,4528286784.0,4525299744.0
2019-03-13,'600523,贵航股份,11.55,12.1,11.4,11.53,11.69,-0.14,-1.1976,3.1122,12574687,147978555.0,4669795746.0,4666715361.0
2019-03-12,'600523,贵航股份,11.69,11.96,11.28,11.79,11.53,0.16,1.3877,3.899,15753599,182232813.0,4726399330.8,4723281607.8
2019-03-11,'600523,贵航股份,11.53,11.56,10.87,10.87,10.87,0.66,6.0718,2.9106,11760031,133124078.0,4661709519.6,4658634468.6
2019-03-08,'600523,贵航股份,10.87,11.66,10.75,10.86,11.06,-0.19,-1.7179,4.0567,16390853,182991703.0,4394864048.4,4391965019.4
2019-03-07,'600523,贵航股份,11.06,11.26,10.77,10.84,10.9,0.16,1.4679,3.3774,13646146,150907892.0,4471683199.2,4468733497.2
2019-03-06,'600523,贵航股份,10.9,10.91,10.69,10.86,10.93,-0.03,-0.2745,2.6446,10685299,115387241.0,4406993388.0,4404086358.0
2019-03-05,'600523,贵航股份,10.93,11.01,10.52,10.59,10.66,0.27,2.5328,3.2424,13100560,140964844.0,4419122727.6,4416207696.6
2019-03-04,'600523,贵航股份,10.66,10.81,10.56,10.6,10.63,0.03,0.2822,2.7555,11133505,119079056.0,4309958671.2,4307115649.2
2019-03-01,'600523,贵航股份,10.63,10.65,10.34,10.46,10.41,0.22,2.1134,1.7015,6874767,72103178.0,4297829331.6,4294994310.6
2019-02-28,'600523,贵航股份,10.41,10.85,10.3,10.68,10.56,-0.15,-1.4205,2.1957,8871715,93399032.0,4208880841.2,4206104494.2
2019-02-27,'600523,贵航股份,10.56,11.07,10.4,10.59,10.55,0.01,0.0948,2.9699,11999827,128795116.0,4269527539.2,4266711187.2
2019-02-26,'600523,贵航股份,10.55,10.88,10.4,10.56,10.59,-0.04,-0.3777,2.9375,11868692,126372297.0,4265484426.0,4262670741.0
2019-02-25,'600523,贵航股份,10.59,10.63,10.1,10.1,10.14,0.45,4.4379,3.1926,12899587,133950056.0,4281656878.8,4278832525.8
2019-02-22,'600523,贵航股份,10.14,10.15,9.83,9.98,10.01,0.13,1.2987,1.5932,6437080,64564108.0,4099716784.8,4097012446.8
2019-02-21,'600523,贵航股份,10.01,10.57,9.98,10.35,10.17,-0.16,-1.5733,2.2009,8892792,91509861.0,4047156313.2,4044486646.2
2019-02-20,'600523,贵航股份,10.17,10.31,10.01,10.16,10.2,-0.03,-0.2941,1.2959,5236101,53105268.0,4111846124.4,4109133785.4
2019-02-19,'600523,贵航股份,10.2,10.21,9.96,10.12,10.13,0.07,0.691,1.2098,4888137,49288061.0,4123975464.0,4121255124.0
2019-02-18,'600523,贵航股份,10.13,10.26,9.77,9.77,9.78,0.35,3.5787,1.9028,7688297,77401715.0,4095673671.6,4092972000.6
2019-02-15,'600523,贵航股份,9.78,10.0,9.65,9.84,9.81,-0.03,-0.3058,0.9806,3962235,38987076.0,3954164709.6,3951556383.6
2019-02-14,'600523,贵航股份,9.81,9.92,9.71,9.88,9.87,-0.06,-0.6079,0.7169,2896601,28439671.0,3966294049.2,3963677722.2
2019-02-13,'600523,贵航股份,9.87,9.98,9.64,9.73,9.74,0.13,1.3347,1.3141,5309359,52159239.0,3990552728.4,3987920399.4
2019-02-12,'600523,贵航股份,9.74,9.75,9.59,9.62,9.69,0.05,0.516,0.5091,2056979,19938265.0,3937992256.8,3935394598.8
2019-02-11,'600523,贵航股份,9.69,9.7,9.53,9.54,9.51,0.18,1.8927,0.5617,2269438,21849716.0,3917776690.8,3915192367.8
2019-02-01,'600523,贵航股份,9.51,9.52,9.25,9.25,9.25,0.26,2.8108,0.3439,1389382,13097449.0,3845000653.2,3842464336.2
2019-01-31,'600523,贵航股份,9.25,9.57,9.16,9.52,9.47,-0.22,-2.3231,0.5445,2199940,20638166.0,3739879710.0,3737412735.0
2019-01-30,'600523,贵航股份,9.47,9.79,9.4,9.4,9.45,0.02,0.2116,0.4312,1742283,16722549.0,3828828200.4,3826302551.4
2019-01-29,'600523,贵航股份,9.45,9.55,9.06,9.48,9.48,-0.03,-0.3165,0.5868,2370906,22153691.0,3820741974.0,3818221659.0
2019-01-28,'600523,贵航股份,9.48,9.7,9.45,9.51,9.51,-0.03,-0.3155,0.6555,2648500,25372727.0,3832871313.6,3830342997.6
2019-01-25,'600523,贵航股份,9.51,9.84,9.48,9.83,9.84,-0.33,-3.3537,0.7357,2972756,28769216.0,3845000653.2,3842464336.2
2019-01-24,'600523,贵航股份,9.84,9.86,9.6,9.76,9.76,0.08,0.8197,0.6573,2655780,25928193.0,3978423388.8,3975799060.8
2019-01-23,'600523,贵航股份,9.76,9.88,9.69,9.72,9.83,-0.07,-0.7121,0.3486,1408440,13776324.0,3946078483.2,3943475491.2
2019-01-22,'600523,贵航股份,9.83,9.93,9.72,9.77,9.77,0.06,0.6141,0.529,2137386,20991076.0,3974380275.6,3971758614.6
2019-01-21,'600523,贵航股份,9.77,9.92,9.66,9.7,9.71,0.06,0.6179,0.6293,2542794,24924499.0,3950121596.4,3947515937.4
2019-01-18,'600523,贵航股份,9.71,10.05,9.58,9.91,9.97,-0.26,-2.6078,1.3931,5628885,54960994.0,3925862917.2,3923273260.2
2019-01-17,'600523,贵航股份,9.97,10.25,9.95,10.21,10.47,-0.5,-4.7755,1.8928,7647574,77115269.0,4030983860.4,4028324861.4
2019-01-16,'600523,贵航股份,10.47,11.02,10.47,10.55,10.47,0.0,0.0,2.6651,10768202,115542711.0,4233139520.4,4230347171.4
2019-01-15,'600523,贵航股份,10.47,10.47,10.03,10.22,10.3,0.17,1.6505,1.3819,5583621,57760696.0,4233139520.4,4230347171.4
2019-01-14,'600523,贵航股份,10.3,10.46,9.95,10.2,10.27,0.03,0.2921,1.2934,5225992,53519022.0,4164406596.0,4161659586.0
2019-01-11,'600523,贵航股份,10.27,10.4,10.1,10.26,10.32,-0.05,-0.4845,1.2415,5016240,51438614.0,4152277256.4,4149538247.4
2019-01-10,'600523,贵航股份,10.32,10.6,9.9,10.0,10.03,0.29,2.8913,2.0456,8265196,84368880.0,4172492822.4,4169740478.4
2019-01-09,'600523,贵航股份,10.03,10.28,9.93,10.03,10.03,0.0,0.0,1.8778,7587250,76833281.0,4055242539.6,4052567538.6
