日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601997,贵阳银行,13.85,14.02,13.83,13.86,13.89,-0.04,-0.288,1.4138,17516185,243595012.0,31835497815.0,17159666565.8
2019-04-25,'601997,贵阳银行,13.89,14.27,13.86,14.14,14.2,-0.31,-2.1831,1.8873,23383372,328872819.0,31927441491.0,17209225169.5
2019-04-24,'601997,贵阳银行,14.2,14.29,13.99,14.17,14.1,0.1,0.7092,1.7138,21233281,300650947.0,32640004980.0,17593304349.0
2019-04-23,'601997,贵阳银行,14.1,14.37,14.06,14.17,14.2,-0.1,-0.7042,2.0177,24998370,355357184.0,32410145790.0,17469407839.5
2019-04-22,'601997,贵阳银行,14.2,14.73,14.13,14.7,14.7,-0.5,-3.4014,3.5058,43435926,623988270.0,32640004980.0,17593304349.0
2019-04-19,'601997,贵阳银行,14.7,14.85,14.51,14.59,14.6,0.1,0.6849,2.8574,35402083,518953721.0,33789300930.0,18212786896.5
2019-04-18,'601997,贵阳银行,14.6,14.77,14.47,14.72,14.69,-0.09,-0.6127,3.5393,43850152,639585914.0,33559441740.0,18088890387.0
2019-04-17,'601997,贵阳银行,14.69,14.92,14.57,14.82,15.07,-0.38,-2.5216,6.9342,85912308,1264984562.0,33766315011.0,18200397245.5
2019-04-16,'601997,贵阳银行,15.07,15.07,13.83,13.93,13.7,1.37,10.0,11.2845,139811309,2055349986.0,34639779933.0,18671203981.7
2019-04-15,'601997,贵阳银行,13.7,14.03,13.69,13.86,13.59,0.11,0.8094,3.1173,38621819,536465562.0,31490709030.0,16973821801.5
2019-04-12,'601997,贵阳银行,13.59,13.63,13.41,13.43,13.44,0.15,1.1161,0.9612,11908873,161173750.0,31237863921.0,16837535641.0
2019-04-11,'601997,贵阳银行,13.44,13.73,13.42,13.62,13.62,-0.18,-1.3216,1.3312,16493208,223758639.0,30893075136.0,16651690876.8
2019-04-10,'601997,贵阳银行,13.62,13.71,13.47,13.68,13.69,-0.07,-0.5113,1.384,17146747,233042270.0,31306821678.0,16874704593.9
2019-04-09,'601997,贵阳银行,13.69,13.81,13.53,13.61,13.77,-0.08,-0.581,1.6723,20719672,283257385.0,31467723111.0,16961432150.5
2019-04-08,'601997,贵阳银行,13.77,14.07,13.6,13.75,13.7,0.07,0.5109,3.1344,38834347,538068746.0,31651610463.0,17060549358.1
2019-04-04,'601997,贵阳银行,13.7,13.86,13.45,13.48,13.41,0.29,2.1626,2.9735,36840295,503927777.0,31490709030.0,16973821801.5
