日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002337,赛象科技,4.86,5.07,4.86,5.01,5.0,-0.14,-2.8,1.7036,10027700,49716775.97,2860672545.0,2860672545.0
2019-04-25,'002337,赛象科技,5.0,5.39,5.0,5.35,5.31,-0.31,-5.838,2.307,13579397,70566143.97,2943078750.0,2943078750.0
2019-04-24,'002337,赛象科技,5.31,5.32,5.14,5.19,5.15,0.16,3.1068,1.6962,9984263,52441727.58,3125549632.5,3125549632.5
2019-04-23,'002337,赛象科技,5.15,5.32,5.12,5.32,5.32,-0.17,-3.1955,2.1542,12680099,66046257.88,3031371112.5,3031371112.5
2019-04-22,'002337,赛象科技,5.32,5.46,5.31,5.46,5.46,-0.14,-2.5641,1.5242,8971500,48383839.97,3131435790.0,3131435790.0
2019-04-19,'002337,赛象科技,5.46,5.46,5.3,5.36,5.37,0.09,1.676,1.6279,9581803,51470410.2,3213841995.0,3213841995.0
2019-04-18,'002337,赛象科技,5.37,5.48,5.35,5.47,5.51,-0.14,-2.5408,2.0925,12316622,66715584.14,3160866577.5,3160866577.5
2019-04-17,'002337,赛象科技,5.51,5.56,5.45,5.53,5.5,0.01,0.1818,2.1436,12617299,69571487.23,3243272782.5,3243272782.5
2019-04-16,'002337,赛象科技,5.5,5.5,5.21,5.4,5.42,0.08,1.476,2.4426,14377796,76982943.12,3237386625.0,3237386625.0
2019-04-15,'002337,赛象科技,5.42,5.59,5.41,5.54,5.45,-0.03,-0.5505,1.7943,10561440,58151361.8,3190297365.0,3190297365.0
2019-04-12,'002337,赛象科技,5.45,5.49,5.41,5.43,5.44,0.01,0.1838,1.7867,10516626,57284369.22,3207955837.5,3207955837.5
2019-04-11,'002337,赛象科技,5.44,5.66,5.43,5.62,5.67,-0.23,-4.0564,3.2732,19266740,106866447.9,3202069680.0,3202069680.0
2019-04-10,'002337,赛象科技,5.67,5.75,5.55,5.75,5.85,-0.18,-3.0769,3.3551,19748760,111943706.64,3337451302.5,3337451302.5
2019-04-09,'002337,赛象科技,5.85,6.06,5.83,5.89,5.8,0.05,0.8621,5.0069,29471180,174589343.5,3443402137.5,3443402137.5
2019-04-08,'002337,赛象科技,5.8,5.87,5.61,5.84,5.84,-0.04,-0.6849,4.253,25034002,143658296.24,3413971350.0,3413971350.0
2019-04-04,'002337,赛象科技,5.84,5.96,5.8,5.92,5.89,-0.05,-0.8489,3.5099,20659920,121148834.4,3437515980.0,3437515980.0
2019-04-03,'002337,赛象科技,5.89,5.9,5.72,5.82,5.91,-0.02,-0.3384,4.34,25545892,148386571.16,3466946767.5,3466946767.5
2019-04-02,'002337,赛象科技,5.91,6.08,5.85,5.9,5.9,0.01,0.1695,6.3732,37513567,223375406.93,3478719082.5,3478719082.5
2019-04-01,'002337,赛象科技,5.9,5.93,5.63,5.65,5.84,0.06,1.0274,7.6793,45201497,264337910.91,3472832925.0,3472832925.0
2019-03-29,'002337,赛象科技,5.84,6.14,5.69,5.75,6.32,-0.48,-7.5949,10.0237,59001235,341968474.15,3437515980.0,3437515980.0
2019-03-28,'002337,赛象科技,6.32,6.62,6.32,6.62,7.02,-0.7,-9.9715,9.261,54511789,348737420.19,3720051540.0,3720051540.0
2019-03-27,'002337,赛象科技,7.02,7.2,6.15,6.25,6.56,0.46,7.0122,17.3297,102005561,682636782.85,4132082565.0,4132082565.0
2019-03-26,'002337,赛象科技,6.56,6.84,6.07,6.3,6.22,0.34,5.4662,17.589,103531772,679604879.15,3861319320.0,3861319320.0
2019-03-25,'002337,赛象科技,6.22,6.22,5.51,5.6,5.65,0.57,10.0885,10.1253,59598965,361723373.67,3661189965.0,3661189965.0
2019-03-22,'002337,赛象科技,5.65,5.75,5.39,5.59,5.71,-0.06,-1.0508,5.95,35022650,194435798.01,3325678987.5,3325678987.5
2019-03-21,'002337,赛象科技,5.71,5.94,5.33,5.38,5.41,0.3,5.5453,7.7617,45686850,259138447.47,3360995932.5,3360995932.5
2019-03-20,'002337,赛象科技,5.41,5.53,5.24,5.48,5.47,-0.06,-1.0969,4.1442,24393388,131499284.89,3184411207.5,3184411207.5
2019-03-19,'002337,赛象科技,5.47,5.53,5.32,5.45,5.52,-0.05,-0.9058,4.7228,27799148,150812059.98,3219728152.5,3219728152.5
2019-03-18,'002337,赛象科技,5.52,5.75,5.35,5.74,5.71,-0.19,-3.3275,5.4729,32214136,176084107.82,3249158940.0,3249158940.0
2019-03-15,'002337,赛象科技,5.71,5.75,5.45,5.55,5.45,0.26,4.7706,6.0067,35356621,198801065.46,3360995932.5,3360995932.5
2019-03-14,'002337,赛象科技,5.45,5.94,5.36,5.75,5.89,-0.44,-7.4703,6.2888,37016988,205735490.93,3207955837.5,3207955837.5
2019-03-13,'002337,赛象科技,5.89,6.2,5.71,5.81,5.67,0.22,3.8801,8.9557,52714624,314998985.35,3466946767.5,3466946767.5
