ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'002460,¸Ó·æï®Òµ,26.08,27.27,25.89,26.99,27.0,-0.92,-3.4074,2.2124,24168110,639107818.83,34297352095.5,28490114061.9
2019-04-25,'002460,¸Ó·æï®Òµ,27.0,28.15,27.0,27.8,27.85,-0.85,-3.0521,1.9448,21245131,584800093.82,35507228013.0,29495133423.0
2019-04-24,'002460,¸Ó·æï®Òµ,27.85,28.14,27.42,28.0,27.97,-0.12,-0.429,1.3599,14856172,412698280.27,36625048154.2,30423683919.7
2019-04-23,'002460,¸Ó·æï®Òµ,27.97,28.26,27.25,27.86,27.85,0.12,0.4309,1.9305,21089312,583430354.87,36782858056.4,30554773401.5
2019-04-22,'002460,¸Ó·æï®Òµ,27.85,28.7,27.76,28.59,28.53,-0.68,-2.3835,2.244,24513892,688877824.7,36625048154.2,30423683919.7
2019-04-19,'002460,¸Ó·æï®Òµ,28.53,28.6,28.06,28.5,28.67,-0.14,-0.4883,1.927,21050266,596246445.98,37519304267.1,31166524317.0
2019-04-18,'002460,¸Ó·æï®Òµ,28.67,29.8,28.51,29.49,29.37,-0.7,-2.3834,2.7591,30141026,874325226.51,37703415819.7,31319462045.8
2019-04-17,'002460,¸Ó·æï®Òµ,29.37,29.87,28.76,28.93,28.71,0.66,2.2989,3.7423,40881380,1203556666.12,38623973583.0,32084150690.1
2019-04-16,'002460,¸Ó·æï®Òµ,28.71,28.75,27.6,27.6,27.93,0.78,2.7927,2.454,26808052,762062230.93,37756019120.5,31363158539.8
2019-04-15,'002460,¸Ó·æï®Òµ,27.93,29.09,27.8,28.94,28.52,-0.59,-2.0687,2.541,27757832,792368306.96,36730254755.7,30511076907.6
2019-04-12,'002460,¸Ó·æï®Òµ,28.52,29.53,28.41,29.5,29.85,-1.33,-4.4556,3.8298,41837415,1203038110.67,37506153441.9,31155600193.5
2019-04-11,'002460,¸Ó·æï®Òµ,29.85,30.81,29.13,29.23,29.27,0.58,1.9816,5.8564,63975745,1928138396.49,39255213192.2,32608508617.7
2019-04-10,'002460,¸Ó·æï®Òµ,29.27,29.6,28.58,29.2,29.38,-0.11,-0.3744,3.1083,33955475,985030656.89,38492465331.1,31974909455.2
2019-04-09,'002460,¸Ó·æï®Òµ,29.38,30.26,29.1,30.11,30.07,-0.69,-2.2946,3.6101,39437327,1162384101.53,38637124408.2,32095074813.6
2019-04-08,'002460,¸Ó·æï®Òµ,30.07,31.44,29.73,31.42,29.44,0.63,2.1399,6.2399,68165265,2075019068.16,39544531346.3,32848839334.4
2019-04-04,'002460,¸Ó·æï®Òµ,29.44,30.36,29.26,29.65,29.5,-0.06,-0.2034,4.9646,54233653,1614278740.25,38716029359.4,32160619554.6
2019-04-03,'002460,¸Ó·æï®Òµ,29.5,29.99,29.09,29.25,29.74,-0.24,-0.807,3.5273,38532589,1139621863.55,38794934310.5,32226164295.5
2019-04-02,'002460,¸Ó·æï®Òµ,29.74,30.68,28.41,29.18,28.98,0.76,2.6225,5.8191,63568644,1857907436.21,39110554115.1,32488343259.3
