日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002725,跃岭股份,11.26,11.43,10.25,10.57,10.58,0.68,6.4272,8.2291,21066402,232215744.23,2882560000.0,2882560000.0
2019-04-25,'002725,跃岭股份,10.58,11.15,10.34,10.62,10.67,-0.09,-0.8435,4.5441,11632802,126063711.87,2708480000.0,2708480000.0
2019-04-24,'002725,跃岭股份,10.67,10.84,10.3,10.3,10.26,0.41,3.9961,2.8967,7415434,78557149.74,2731520000.0,2731520000.0
2019-04-23,'002725,跃岭股份,10.26,10.85,10.18,10.85,10.76,-0.5,-4.6468,2.9352,7514183,78545983.7,2626560000.0,2626560000.0
2019-04-22,'002725,跃岭股份,10.76,11.17,10.76,10.93,10.96,-0.2,-1.8248,3.6598,9369039,102868397.04,2754560000.0,2754560000.0
2019-04-19,'002725,跃岭股份,10.96,11.03,10.57,10.82,10.82,0.14,1.2939,3.3268,8516486,92192667.93,2805760000.0,2805760000.0
2019-04-18,'002725,跃岭股份,10.82,10.99,10.76,10.99,10.91,-0.09,-0.8249,2.9283,7496471,81514500.05,2769920000.0,2769920000.0
2019-04-17,'002725,跃岭股份,10.91,11.04,10.73,10.96,10.93,-0.02,-0.183,4.2027,10758901,117103322.11,2792960000.0,2792960000.0
2019-04-16,'002725,跃岭股份,10.93,10.94,10.18,10.4,10.4,0.53,5.0962,4.5647,11685666,124491401.0,2798080000.0,2798080000.0
2019-04-15,'002725,跃岭股份,10.4,10.75,10.32,10.39,10.23,0.17,1.6618,2.8211,7221953,76019349.27,2662400000.0,2662400000.0
2019-04-12,'002725,跃岭股份,10.23,10.5,10.16,10.5,10.44,-0.21,-2.0115,1.9006,4865579,49920794.37,2618880000.0,2618880000.0
2019-04-11,'002725,跃岭股份,10.44,10.61,10.34,10.45,10.38,0.06,0.578,2.1895,5605060,58814067.4,2672640000.0,2672640000.0
2019-04-10,'002725,跃岭股份,10.38,10.56,10.3,10.56,10.81,-0.43,-3.9778,3.2532,8328137,86958862.62,2657280000.0,2657280000.0
2019-04-09,'002725,跃岭股份,10.81,10.92,10.56,10.67,10.7,0.11,1.028,2.9414,7529871,81429664.93,2767360000.0,2767360000.0
2019-04-08,'002725,跃岭股份,10.7,11.17,10.61,11.1,11.0,-0.3,-2.7273,3.7926,9709033,105304462.37,2739200000.0,2739200000.0
2019-04-04,'002725,跃岭股份,11.0,11.04,10.63,10.74,10.72,0.28,2.6119,4.9218,12599862,137070484.38,2816000000.0,2816000000.0
