»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'600132,÷ÿ«Ï∆°æ∆,35.0,36.0,34.81,35.88,36.0,-1.0,-2.7778,0.5149,2492205,87772134.0,16938991930.0,16938991930.0
2019-04-25,'600132,÷ÿ«Ï∆°æ∆,36.0,36.88,35.87,36.64,36.73,-0.73,-1.9875,0.5033,2435669,88319597.0,17422963128.0,17422963128.0
2019-04-24,'600132,÷ÿ«Ï∆°æ∆,36.73,36.87,35.91,36.57,36.46,0.27,0.7405,0.4421,2139709,77796777.0,17776262102.5,17776262102.5
2019-04-23,'600132,÷ÿ«Ï∆°æ∆,36.46,36.71,35.07,35.53,35.5,0.96,2.7042,0.9502,4598639,165770489.0,17645589879.1,17645589879.1
2019-04-22,'600132,÷ÿ«Ï∆°æ∆,35.5,36.19,34.87,35.38,35.4,0.1,0.2825,0.5956,2882577,101899759.0,17180977529.0,17180977529.0
2019-04-19,'600132,÷ÿ«Ï∆°æ∆,35.4,35.52,35.1,35.47,35.71,-0.31,-0.8681,0.5745,2780309,98153766.0,17132580409.2,17132580409.2
2019-04-18,'600132,÷ÿ«Ï∆°æ∆,35.71,35.88,34.5,34.74,34.74,0.97,2.7922,1.1569,5599171,197747815.0,17282611480.6,17282611480.6
2019-04-17,'600132,÷ÿ«Ï∆°æ∆,34.74,34.89,34.26,34.66,34.7,0.04,0.1153,0.5917,2863891,99115976.0,16813159418.5,16813159418.5
2019-04-16,'600132,÷ÿ«Ï∆°æ∆,34.7,34.7,33.73,34.38,34.21,0.49,1.4323,0.8561,4143422,141441713.0,16793800570.6,16793800570.6
2019-04-15,'600132,÷ÿ«Ï∆°æ∆,34.21,35.93,33.9,35.69,35.39,-1.18,-3.3343,1.2342,5973356,207224809.0,16556654683.6,16556654683.6
